"year","semestre","region","indice"
"2003","2","Total","100.00000"
"2003","2","Partidos del GBA","78.89064"
"2003","2","CABA","219.27481"
"2003","2","Pampeana","91.77559"
"2003","2","NEA","68.67320"
"2003","2","NOA","77.37107"
"2003","2","Cuyo","80.94244"
"2003","2","Patagonia","104.85160"
"2004","1","Total","100.42376"
"2004","1","Partidos del GBA","83.59813"
"2004","1","CABA","195.43997"
"2004","1","Pampeana","96.25266"
"2004","1","NEA","69.41273"
"2004","1","NOA","77.53660"
"2004","1","Cuyo","82.15760"
"2004","1","Patagonia","110.91039"
"2004","2","Total","110.13902"
"2004","2","Partidos del GBA","90.07594"
"2004","2","CABA","224.58052"
"2004","2","Pampeana","102.15406"
"2004","2","NEA","72.62358"
"2004","2","NOA","87.79379"
"2004","2","Cuyo","90.90049"
"2004","2","Patagonia","124.68931"
"2005","1","Total","112.98705"
"2005","1","Partidos del GBA","95.44277"
"2005","1","CABA","217.44951"
"2005","1","Pampeana","106.18120"
"2005","1","NEA","75.45688"
"2005","1","NOA","91.91962"
"2005","1","Cuyo","93.99852"
"2005","1","Patagonia","131.37282"
"2005","2","Total","124.54371"
"2005","2","Partidos del GBA","103.13049"
"2005","2","CABA","248.54585"
"2005","2","Pampeana","119.45583"
"2005","2","NEA","83.78077"
"2005","2","NOA","95.96548"
"2005","2","Cuyo","100.19335"
"2005","2","Patagonia","140.21878"
"2006","1","Total","129.24782"
"2006","1","Partidos del GBA","111.86572"
"2006","1","CABA","232.13316"
"2006","1","Pampeana","125.67540"
"2006","1","NEA","87.71732"
"2006","1","NOA","102.29366"
"2006","1","Cuyo","109.25060"
"2006","1","Patagonia","163.18835"
"2006","2","Total","143.80061"
"2006","2","Partidos del GBA","121.73775"
"2006","2","CABA","253.41484"
"2006","2","Pampeana","139.96103"
"2006","2","NEA","104.08232"
"2006","2","NOA","129.31689"
"2006","2","Cuyo","121.68945"
"2006","2","Patagonia","172.39688"
"2007","1","Total","145.15681"
"2007","1","Partidos del GBA","125.48447"
"2007","1","CABA","255.28793"
"2007","1","Pampeana","143.27020"
"2007","1","NEA","98.43263"
"2007","1","NOA","118.27218"
"2007","1","Cuyo","125.20283"
"2007","1","Patagonia","172.75957"
"2007","2","Total","141.50604"
"2007","2","Partidos del GBA","120.64444"
"2007","2","CABA","258.22247"
"2007","2","Pampeana","137.30156"
"2007","2","NEA","97.32622"
"2007","2","NOA","117.26555"
"2007","2","Cuyo","120.75408"
"2007","2","Patagonia","170.83684"
"2008","1","Total","145.44507"
"2008","1","Partidos del GBA","121.65454"
"2008","1","CABA","257.99725"
"2008","1","Pampeana","146.85114"
"2008","1","NEA","108.64327"
"2008","1","NOA","118.60597"
"2008","1","Cuyo","127.43797"
"2008","1","Patagonia","173.52773"
"2008","2","Total","149.28262"
"2008","2","Partidos del GBA","126.88172"
"2008","2","CABA","265.63516"
"2008","2","Pampeana","151.34544"
"2008","2","NEA","102.73223"
"2008","2","NOA","119.08560"
"2008","2","Cuyo","125.34267"
"2008","2","Patagonia","177.67870"
"2009","1","Total","150.04419"
"2009","1","Partidos del GBA","133.15311"
"2009","1","CABA","253.19731"
"2009","1","Pampeana","149.05890"
"2009","1","NEA","106.36520"
"2009","1","NOA","121.45606"
"2009","1","Cuyo","123.23466"
"2009","1","Patagonia","180.31790"
"2009","2","Total","153.16731"
"2009","2","Partidos del GBA","132.77460"
"2009","2","CABA","265.56845"
