"mes","ano","indice"
"1","2016",""
"2","2016",""
"3","2016",""
"4","2016",""
"5","2016",""
"6","2016",""
"7","2016",""
"8","2016",""
"9","2016",""
"10","2016","100.00000"
"11","2016","99.79486"
"12","2016","99.95591"
"1","2017","99.91748"
"2","2017","99.18805"
"3","2017","99.69104"
"4","2017","100.51199"
"5","2017","100.67391"
"6","2017","101.24417"
"7","2017","103.49419"
"8","2017","104.46395"
"9","2017","103.97379"
"10","2017","103.97854"
"11","2017","104.16751"
"12","2017","102.10078"
"1","2018","101.44785"
"2","2018","99.88167"
"3","2018","99.45982"
"4","2018","99.41792"
"5","2018","98.87345"
"6","2018","96.12451"
"7","2018","95.68183"
"8","2018","94.70153"
"9","2018","91.47653"
"10","2018","89.96846"
"11","2018","89.76779"
"12","2018","89.68782"
"1","2019","89.84738"
"2","2019","88.88509"
"3","2019","88.26389"
"4","2019","87.22802"
"5","2019","87.03041"
"6","2019","86.42198"
"7","2019","88.55445"
"8","2019","87.26411"
"9","2019","84.61741"
"10","2019","84.57250"
"11","2019","83.04314"
"12","2019","82.14606"
"1","2020","85.14748"
"2","2020","86.68007"
"3","2020","86.43128"
"4","2020","85.29795"
"5","2020","83.94335"
"6","2020","82.59367"
"7","2020","82.47828"
"8","2020","81.91100"
"9","2020","81.64431"
"10","2020","81.90788"
"11","2020","82.01481"
"12","2020","80.24218"
"1","2021","79.64326"
"2","2021","80.21970"
"3","2021","80.37945"
"4","2021","79.70627"
"5","2021","79.33779"
"6","2021","78.65410"
"7","2021","80.11573"
"8","2021","80.67017"
"9","2021","81.02208"
"10","2021","81.42138"
"11","2021","82.54014"
"12","2021","81.52799"
"1","2022","81.43540"
"2","2022","80.22178"
"3","2022","80.71630"
"4","2022","79.89094"
"5","2022","80.77843"
"6","2022","80.43282"
"7","2022","79.03996"
"8","2022","78.70729"
"9","2022","79.12466"
"10","2022","78.22676"
"11","2022","79.56356"
"12","2022","79.67041"
"1","2023","78.68077"
"2","2023","78.21674"
"3","2023","79.98475"
"4","2023","77.97081"
"5","2023","77.76946"
"6","2023","77.85233"
"7","2023","81.27265"
"8","2023","77.78967"
"9","2023","77.04965"
"10","2023","77.06937"
"11","2023","74.50962"
"12","2023","64.64494"
"1","2024","62.40859"
"2","2024","62.45094"
"3","2024","62.03212"
"4","2024","62.78356"
"5","2024","65.27966"
"6","2024","66.28793"
"7","2024","68.47964"
"8","2024","69.45134"
"9","2024","70.28239"
"10","2024","71.58255"
"11","2024","72.57420"
"12","2024","72.86936"
"1","2025","73.38192"
"2","2025","74.40261"
"3","2025","73.86136"
"4","2025","74.29245"
"5","2025","75.37985"
"6","2025","76.38876"
"7","2025","76.82487"
"8","2025","77.79262"
"9","2025","77.90573"
"10","2025","78.02502"
"11","2025","77.49836"
"12","2025","76.56931"
"1","2026","76.31163"
"2","2026","75.96405"
