"ano","salario"
"1947","7834.16000"
"1948","9185.16000"
"1949","9151.66000"
"1950","8596.90000"
"1951","8125.48000"
"1952","7568.35000"
"1953","8079.97000"
"1954","8864.58000"
"1955","8654.30000"
"1956","9278.73000"
"1957","8961.30000"
"1958","9800.98000"
"1959","7551.45000"
"1960","7691.55000"
"1961","8447.10000"
"1962","8417.76000"
"1963","8290.17000"
"1964","9163.54000"
"1965","10073.16000"
"1966","10118.25000"
"1967","10078.55000"
"1968","9661.45000"
"1969","10157.31000"
"1970","10581.03000"
"1971","11153.35000"
"1972","10525.38000"
"1973","12130.16000"
"1974","13984.62000"
"1975","13705.42000"
"1976","8617.20000"
"1977","8240.61000"
"1978","8340.40000"
"1979","9447.71000"
"1980","10734.86000"
"1981","9700.19000"
"1982","8044.86000"
"1983","10666.55000"
"1984","11986.12000"
"1985","10270.87000"
"1986","10247.29000"
"1987","10029.47000"
"1988","9989.05000"
"1989","7597.66000"
"1990","8115.57000"
"1991","7674.56000"
"1992","8001.67000"
"1993","9196.54000"
"1994","8961.47000"
"1995","8629.32000"
"1996","8303.20000"
"1997","8184.47000"
"1998","8177.75000"
"1999","8256.80000"
"2000","8312.23000"
"2001","8451.01000"
"2002","6857.05000"
"2003","6659.54000"
"2004","7213.14000"
"2005","7873.00000"
"2006","8769.41000"
"2007","9049.65000"
"2008","9487.22000"
"2009","10027.73000"
"2010","10203.00000"
"2011","11022.47000"
"2012","11445.75000"
"2013","11606.95000"
"2014","11195.74000"
"2015","11965.43000"
"2016","11356.62000"
"2017","11560.96000"
"2018","10738.25000"
"2019","9822.51000"
"2020","9740.95000"
"2021","9578.30000"
"2022","9428.99000"
