region,variable,valor
GBA,Total,105.492202181128
GBA,Baja,59.0992333992736
GBA,Media,86.4507683410038
GBA,Alta,151.762030099136
Pampeana,Total,92.125167913652
Pampeana,Baja,56.9458285872672
Pampeana,Media,78.2647666700034
Pampeana,Alta,121.645212185449
Cuyo,Total,83.3761159074643
Cuyo,Baja,57.0571553847255
Cuyo,Media,70.9947064305563
Cuyo,Alta,112.000538585518
NOA,Total,81.4450148709406
NOA,Baja,50.5258344034546
NOA,Media,70.1744914383194
NOA,Alta,113.176037123324
Patagonia,Total,147.437376187547
Patagonia,Baja,96.856259317556
Patagonia,Media,136.955454198404
Patagonia,Alta,188.8603742286
NEA,Total,51.5666577426788
NEA,Baja,34.7925340034447
NEA,Media,44.7834770889569
NEA,Alta,70.0760460130396
