"ano_trim","variable","valor"
"2016-I","Cuyo","81.85210"
"2016-I","GBA","102.52423"
"2016-I","NEA","83.41823"
"2016-I","NOA","85.73808"
"2016-I","Pampeana","91.70698"
"2016-I","Patagonia","111.22244"
"2016-I","Total","98.80803"
"2016-II","Cuyo","85.68122"
"2016-II","GBA","101.01247"
"2016-II","NEA","87.53952"
"2016-II","NOA","93.71399"
"2016-II","Pampeana","94.87214"
"2016-II","Patagonia","112.30377"
"2016-II","Total","100.00000"
"2017-I","Cuyo","90.64251"
"2017-I","GBA","104.86777"
"2017-I","NEA","89.40038"
"2017-I","NOA","94.47934"
"2017-I","Pampeana","96.23425"
"2017-I","Patagonia","115.14512"
"2017-I","Total","103.11568"
"2017-II","Cuyo","94.16927"
"2017-II","GBA","106.74444"
"2017-II","NEA","91.39874"
"2017-II","NOA","97.62726"
"2017-II","Pampeana","98.58750"
"2017-II","Patagonia","118.85527"
"2017-II","Total","105.34680"
"2018-I","Cuyo","89.64401"
"2018-I","GBA","102.60590"
"2018-I","NEA","93.32389"
"2018-I","NOA","95.08444"
"2018-I","Pampeana","96.19962"
"2018-I","Patagonia","111.61281"
"2018-I","Total","101.75049"
"2018-II","Cuyo","82.80107"
"2018-II","GBA","90.92174"
"2018-II","NEA","81.05591"
"2018-II","NOA","83.81486"
"2018-II","Pampeana","83.49919"
"2018-II","Patagonia","103.72011"
"2018-II","Total","90.06694"
"2019-I","Cuyo","76.56246"
"2019-I","GBA","85.16826"
"2019-I","NEA","79.64464"
"2019-I","NOA","76.53028"
"2019-I","Pampeana","80.80932"
"2019-I","Patagonia","93.56594"
"2019-I","Total","84.94732"
"2019-II","Cuyo","73.25025"
"2019-II","GBA","85.54519"
"2019-II","NEA","74.67714"
"2019-II","NOA","75.14173"
"2019-II","Pampeana","79.13220"
"2019-II","Patagonia","92.84753"
"2019-II","Total","83.88694"
"2020-I","Cuyo","70.11594"
"2020-I","GBA","82.30272"
"2020-I","NEA","67.75539"
"2020-I","NOA","75.16621"
"2020-I","Pampeana","75.66456"
"2020-I","Patagonia","90.59620"
"2020-I","Total","80.58812"
"2020-II","Cuyo","63.52927"
"2020-II","GBA","78.18630"
"2020-II","NEA","66.65995"
"2020-II","NOA","68.46987"
"2020-II","Pampeana","70.65681"
"2020-II","Patagonia","82.55956"
"2020-II","Total","75.47808"
"2021-I","Cuyo","66.04695"
"2021-I","GBA","82.90688"
"2021-I","NEA","64.65937"
"2021-I","NOA","66.75320"
"2021-I","Pampeana","69.40462"
"2021-I","Patagonia","83.86802"
"2021-I","Total","78.40690"
"2021-II","Cuyo","66.32095"
"2021-II","GBA","90.13033"
"2021-II","NEA","71.40702"
"2021-II","NOA","70.26506"
"2021-II","Pampeana","77.61729"
"2021-II","Patagonia","88.33641"
"2021-II","Total","85.50364"
"2022-I","Cuyo","67.73068"
"2022-I","GBA","84.04049"
"2022-I","NEA","69.81399"
"2022-I","NOA","71.60041"
"2022-I","Pampeana","75.09317"
"2022-I","Patagonia","89.74707"
"2022-I","Total","81.03284"
"2022-II","Cuyo","64.13105"
"2022-II","GBA","79.66519"
"2022-II","NEA","61.74805"
"2022-II","NOA","63.79920"
"2022-II","Pampeana","71.41139"
"2022-II","Patagonia","83.23690"
"2022-II","Total","76.35861"
"2023-I","Cuyo","62.96426"
"2023-I","GBA","78.55728"
"2023-I","NEA","64.50940"
"2023-I","NOA","64.63483"
"2023-I","Pampeana","71.74899"
"2023-I","Patagonia","83.82201"
"2023-I","Total","75.87636"
"2023-II","Cuyo","60.84706"
"2023-II","GBA","74.71194"
"2023-II","NEA","59.49432"
"2023-II","NOA","58.19813"
"2023-II","Pampeana","68.07605"
"2023-II","Patagonia","80.45423"
"2023-II","Total","71.83167"
"2024-I","Cuyo","52.38333"
"2024-I","GBA","66.27837"
"2024-I","NEA","45.04028"
"2024-I","NOA","51.17006"
"2024-I","Pampeana","57.88016"
"2024-I","Patagonia","66.63132"
"2024-I","Total","62.82774"
"2024-II","Cuyo","65.13374"
"2024-II","GBA","81.93439"
"2024-II","NEA","59.24968"
"2024-II","NOA","64.75128"
"2024-II","Pampeana","76.20869"
"2024-II","Patagonia","85.97475"
"2024-II","Total","79.01637"
"2025-I","Cuyo","73.60910"
"2025-I","GBA","96.59092"
"2025-I","NEA","70.28207"
"2025-I","NOA","77.69108"
"2025-I","Pampeana","86.11683"
"2025-I","Patagonia","99.64740"
"2025-I","Total","92.25983"
"2025-II","Cuyo","83.22882"
"2025-II","GBA","98.34710"
"2025-II","NEA","78.23565"
"2025-II","NOA","84.67209"
"2025-II","Pampeana","91.69822"
"2025-II","Patagonia","101.31424"
"2025-II","Total","95.75972"
