"ano","variable","valor"
"1992","Empresarios","31832.2826622226"
"1992","Asalariadosfirmasgrandes","16306.2780942557"
"1992","Asalariadospúblico","15549.668229968"
"1992","Profesionales","29541.1403028102"
"1992","Asalariadospequeñas","11521.9232494932"
"1992","Cuentapropistas","16078.166309387"
"1993","Empresarios","32047.04486518"
"1993","Asalariadosfirmasgrandes","16608.4493441754"
"1993","Asalariadospúblico","16744.0332695932"
"1993","Profesionales","29740.4449030057"
"1993","Asalariadospequeñas","10488.6372929672"
"1993","Cuentapropistas","14534.3129478162"
"1994","Empresarios","33438.1599165555"
"1994","Asalariadosfirmasgrandes","16820.5087307217"
"1994","Asalariadospúblico","16792.5733337169"
"1994","Profesionales","31031.4338448324"
"1994","Asalariadospequeñas","10342.514164411"
"1994","Cuentapropistas","14874.2389219217"
"1995","Empresarios","31560.2119650468"
"1995","Asalariadosfirmasgrandes","15893.38460916"
"1995","Asalariadospúblico","15120.1403614928"
"1995","Profesionales","29288.6520121387"
"1995","Asalariadospequeñas","9053.37211189696"
"1995","Cuentapropistas","12564.9306458473"
"1996","Empresarios","31227.1057668235"
"1996","Asalariadosfirmasgrandes","15803.3010049502"
"1996","Asalariadospúblico","15572.2337914897"
"1996","Profesionales","28443.7739515786"
"1996","Asalariadospequeñas","8887.17060957373"
"1996","Cuentapropistas","12025.4621057661"
"1997","Empresarios","28755.1561622112"
"1997","Asalariadosfirmasgrandes","15317.300404819"
"1997","Asalariadospúblico","16169.6359654062"
"1997","Profesionales","30586.2412432573"
"1997","Asalariadospequeñas","8559.38810841693"
"1997","Cuentapropistas","11390.1592242432"
"1998","Empresarios","32781.881613002"
"1998","Asalariadosfirmasgrandes","16333.1497267828"
"1998","Asalariadospúblico","16610.1752998338"
"1998","Profesionales","34826.7828272743"
"1998","Asalariadospequeñas","8723.07639123849"
"1998","Cuentapropistas","11536.2442408798"
"1999","Empresarios","28959.4081307142"
"1999","Asalariadosfirmasgrandes","16101.0216680757"
"1999","Asalariadospúblico","16363.4164669288"
"1999","Profesionales","32475.7971334533"
"1999","Asalariadospequeñas","8491.22440588569"
"1999","Cuentapropistas","10570.2011067377"
"2000","Empresarios","26074.9723002329"
"2000","Asalariadosfirmasgrandes","16208.1300636574"
"2000","Asalariadospúblico","16375.2491183644"
"2000","Profesionales","29096.6689304191"
"2000","Asalariadospequeñas","8617.6340349585"
"2000","Cuentapropistas","10469.7266366087"
"2001","Empresarios","25991.3650144134"
"2001","Asalariadosfirmasgrandes","16254.7742812464"
"2001","Asalariadospúblico","15657.2562189612"
"2001","Profesionales","27745.3690397066"
"2001","Asalariadospequeñas","8161.18322126291"
"2001","Cuentapropistas","9313.10862225993"
"2002","Empresarios","19838.2521935438"
"2002","Asalariadosfirmasgrandes","11813.2240874739"
"2002","Asalariadospúblico","11464.3524605783"
"2002","Profesionales","19530.9321547518"
"2002","Asalariadospequeñas","5828.45316320493"
"2002","Cuentapropistas","6720.80724193125"
"2003","Empresarios","20023.5955034344"
"2003","Asalariadosfirmasgrandes","11385.8966720434"
"2003","Asalariadospúblico","11130.8873452987"
"2003","Profesionales","18221.960050782"
"2003","Asalariadospequeñas","5519.87108782091"
"2003","Cuentapropistas","6432.46032948803"
"2004","Empresarios","19419.5852568681"
"2004","Asalariadosfirmasgrandes","11612.6058273113"
"2004","Asalariadospúblico","12590.4802322181"
"2004","Profesionales","15781.3207743633"
"2004","Asalariadospequeñas","5502.26395721809"
"2004","Cuentapropistas","6698.26458874382"
"2005","Empresarios","25446.1524317469"
"2005","Asalariadosfirmasgrandes","12219.0632426536"
"2005","Asalariadospúblico","14559.1734416317"
"2005","Profesionales","16832.4722697777"
"2005","Asalariadospequeñas","5859.80669467589"
"2005","Cuentapropistas","7101.97480721558"
"2006","Empresarios","23462.9077039429"
"2006","Asalariadosfirmasgrandes","13879.7364777926"
"2006","Asalariadospúblico","15759.3454127031"
"2006","Profesionales","18698.7298627367"
"2006","Asalariadospequeñas","6365.9809306588"
"2006","Cuentapropistas","7605.82800238166"
"2007","Empresarios","24860.2164381542"
"2007","Asalariadosfirmasgrandes","14089.2065598481"
"2007","Asalariadospúblico","15197.6267494686"
"2007","Profesionales","18410.6040141365"
"2007","Asalariadospequeñas","6236.70726873629"
"2007","Cuentapropistas","8274.94035655117"
"2008","Empresarios","20218.0403232389"
"2008","Asalariadosfirmasgrandes","13701.2711413909"
"2008","Asalariadospúblico","15960.3762101633"
"2008","Profesionales","15477.4648851721"
"2008","Asalariadospequeñas","6668.7055356186"
"2008","Cuentapropistas","8089.59634768254"
"2009","Empresarios","22376.0572049618"
"2009","Asalariadosfirmasgrandes","14083.6244160664"
"2009","Asalariadospúblico","16790.0339863875"
"2009","Profesionales","15889.2259985502"
"2009","Asalariadospequeñas","7365.21138562523"
"2009","Cuentapropistas","8088.95883753206"
"2010","Empresarios","20509.8359717765"
"2010","Asalariadosfirmasgrandes","14320.3468241022"
"2010","Asalariadospúblico","16297.0246975895"
"2010","Profesionales","15207.0975688253"
"2010","Asalariadospequeñas","7323.54635351869"
"2010","Cuentapropistas","8187.63123515405"
"2011","Empresarios","19827.0383902428"
"2011","Asalariadosfirmasgrandes","15474.104470532"
"2011","Asalariadospúblico","17694.5576266702"
"2011","Profesionales","16542.8015466945"
"2011","Asalariadospequeñas","7856.54589068946"
"2011","Cuentapropistas","8407.61674493857"
"2012","Empresarios","17759.0744969195"
"2012","Asalariadosfirmasgrandes","15337.5210997694"
"2012","Asalariadospúblico","17182.1564851923"
"2012","Profesionales","16183.5094963969"
"2012","Asalariadospequeñas","7639.4820263137"
"2012","Cuentapropistas","8738.36761031489"
"2013","Empresarios","19044.5809301399"
"2013","Asalariadosfirmasgrandes","15349.964363989"
"2013","Asalariadospúblico","17090.9312284519"
"2013","Profesionales","15331.4797147101"
"2013","Asalariadospequeñas","8197.01204784011"
"2013","Cuentapropistas","8746.3056106001"
"2014","Empresarios","18145.0170869535"
"2014","Asalariadosfirmasgrandes","14014.8985781665"
"2014","Asalariadospúblico","16432.9752095328"
"2014","Profesionales","14391.7837824485"
"2014","Asalariadospequeñas","7263.69990634213"
"2014","Cuentapropistas","7637.96903030998"
"2015","Empresarios","16728.9727767963"
"2015","Asalariadosfirmasgrandes","14259.4968962668"
"2015","Asalariadospúblico","16597.621883225"
"2015","Profesionales","14904.9685915715"
"2015","Asalariadospequeñas","7530.71218331311"
"2015","Cuentapropistas","8146.88339989423"
"2016","Empresarios","20502.8554039376"
"2016","Asalariadosfirmasgrandes","14383.071236542"
"2016","Asalariadospúblico","16429.7297116402"
"2016","Profesionales","16459.8781885817"
"2016","Asalariadospequeñas","6864.44460143771"
"2016","Cuentapropistas","7302.40464901734"
"2017","Empresarios","19694.7379156135"
"2017","Asalariadosfirmasgrandes","14639.521976554"
"2017","Asalariadospúblico","16576.3252137224"
"2017","Profesionales","16821.7020419413"
"2017","Asalariadospequeñas","7159.04713903187"
"2017","Cuentapropistas","8298.61471306878"
"2018","Empresarios","19940.9645684997"
"2018","Asalariadosfirmasgrandes","13376.5536188288"
"2018","Asalariadospúblico","14889.9656200245"
"2018","Profesionales","13911.9589202758"
"2018","Asalariadospequeñas","6431.32817216901"
"2018","Cuentapropistas","7009.83586449502"
"2019","Empresarios","18096.9513879075"
"2019","Asalariadosfirmasgrandes","12568.5806119525"
"2019","Asalariadospúblico","13855.9120099472"
"2019","Profesionales","14936.7893692084"
"2019","Asalariadospequeñas","5854.2294582046"
"2019","Cuentapropistas","6380.14091062911"
"2020","Empresarios","14249.973924638"
"2020","Asalariadosfirmasgrandes","11978.8253965569"
"2020","Asalariadospúblico","13304.1449959266"
"2020","Profesionales","11560.8466458628"
"2020","Asalariadospequeñas","5398.45098254783"
"2020","Cuentapropistas","5234.43075370482"
"2021","Empresarios","17823.1683394962"
"2021","Asalariadosfirmasgrandes","12191.0114183792"
"2021","Asalariadospúblico","12910.6859052443"
"2021","Profesionales","11590.0327745241"
"2021","Asalariadospequeñas","5461.1745919947"
"2021","Cuentapropistas","6227.63015880855"
"2022","Empresarios","14736.1466510929"
"2022","Asalariadosfirmasgrandes","11306.9742955549"
"2022","Asalariadospúblico","12324.5037765042"
"2022","Profesionales","11474.7878221511"
"2022","Asalariadospequeñas","5278.17008396302"
"2022","Cuentapropistas","5765.06056048612"
"2023","Empresarios","13907.358219096"
"2023","Asalariadosfirmasgrandes","11092.0646656808"
"2023","Asalariadospúblico","11767.0916430199"
"2023","Profesionales","11291.5862675353"
"2023","Asalariadospequeñas","5268.99524399504"
"2023","Cuentapropistas","5667.37140801726"
"2024","Empresarios","14417.3743473313"
"2024","Asalariadosfirmasgrandes","9926.69003797132"
"2024","Asalariadospúblico","9745.42291138415"
"2024","Profesionales","9525.10009037748"
"2024","Asalariadospequeñas","4408.99733200889"
"2024","Cuentapropistas","4748.4228283721"
