"geocodigoFundar","geonombreFundar","variable","valor"
"ARG","Argentina","Asalariadosgrandes","786.47716"
"ARG","Argentina","Asalariadosmicro","386.31180"
"ARG","Argentina","Cuentapropia","370.80033"
"ARG","Argentina","Empleadores","973.44091"
"ARG","Argentina","Media","630.25065"
"ARG","Argentina","profesionales","795.59767"
"ARG","Argentina","publico","794.87209"
"BOL","Bolivia","Asalariadosgrandes","1382.72159"
"BOL","Bolivia","Asalariadosmicro","906.37640"
"BOL","Bolivia","Cuentapropia","825.20658"
"BOL","Bolivia","Empleadores","1990.58676"
"BOL","Bolivia","Media","1103.05016"
"BOL","Bolivia","profesionales","1205.35935"
"BOL","Bolivia","publico","1946.43422"
"BRA","Brasil","Asalariadosgrandes","912.62303"
"BRA","Brasil","Asalariadosmicro","468.83252"
"BRA","Brasil","Cuentapropia","623.33345"
"BRA","Brasil","Empleadores","2445.85553"
"BRA","Brasil","Media","939.54954"
"BRA","Brasil","profesionales","1655.42387"
"BRA","Brasil","publico","1489.36593"
"CHL","Chile","Asalariadosgrandes","1488.93508"
"CHL","Chile","Asalariadosmicro","798.02033"
"CHL","Chile","Cuentapropia","637.89782"
"CHL","Chile","Empleadores","1939.85673"
"CHL","Chile","Media","1270.30263"
"CHL","Chile","profesionales","1429.29562"
"CHL","Chile","publico","1681.23026"
"COL","Colombia","Asalariadosgrandes","1248.27839"
"COL","Colombia","Asalariadosmicro","560.76564"
"COL","Colombia","Cuentapropia","372.72465"
"COL","Colombia","Empleadores","1879.29137"
"COL","Colombia","Media","897.38831"
"COL","Colombia","profesionales","1182.48112"
"COL","Colombia","publico","2366.96288"
"CRI","Costa Rica","Asalariadosgrandes","1388.85735"
"CRI","Costa Rica","Asalariadosmicro","719.42258"
"CRI","Costa Rica","Cuentapropia","797.15249"
"CRI","Costa Rica","Empleadores","2952.60678"
"CRI","Costa Rica","Media","1337.40485"
"CRI","Costa Rica","profesionales","1964.93436"
"CRI","Costa Rica","publico","2293.00651"
"ECU","Ecuador","Asalariadosgrandes","895.57715"
"ECU","Ecuador","Asalariadosmicro","532.80680"
"ECU","Ecuador","Cuentapropia","467.78563"
"ECU","Ecuador","Empleadores","1826.32438"
"ECU","Ecuador","Media","699.19968"
"ECU","Ecuador","profesionales","903.82306"
"ECU","Ecuador","publico","1414.25656"
"SLV","El Salvador","Asalariadosgrandes","823.83808"
"SLV","El Salvador","Asalariadosmicro","562.27493"
"SLV","El Salvador","Cuentapropia","467.45435"
"SLV","El Salvador","Empleadores","1254.76654"
"SLV","El Salvador","Media","714.61797"
"SLV","El Salvador","profesionales","888.21873"
"SLV","El Salvador","publico","1305.66298"
"HND","Honduras","Asalariadosgrandes","864.44180"
"HND","Honduras","Asalariadosmicro","392.67022"
"HND","Honduras","Cuentapropia","446.01685"
"HND","Honduras","Empleadores","995.19537"
"HND","Honduras","Media","633.91738"
"HND","Honduras","profesionales","1005.43458"
"HND","Honduras","publico","1357.42243"
"MEX","México","Asalariadosgrandes","948.48398"
"MEX","México","Asalariadosmicro","497.16253"
"MEX","México","Cuentapropia","370.58092"
"MEX","México","Empleadores","1104.70864"
"MEX","México","Media","750.34443"
"MEX","México","profesionales","867.60305"
"MEX","México","publico","1239.10686"
"PAN","Panamá","Asalariadosgrandes","1859.64201"
"PAN","Panamá","Asalariadosmicro","763.20791"
"PAN","Panamá","Cuentapropia","650.94241"
"PAN","Panamá","Empleadores",""
"PAN","Panamá","Media","1504.34260"
"PAN","Panamá","profesionales","1794.84163"
"PAN","Panamá","publico","2656.80089"
"PRY","Paraguay","Asalariadosgrandes","1075.16336"
"PRY","Paraguay","Asalariadosmicro","633.73601"
"PRY","Paraguay","Cuentapropia","594.21217"
"PRY","Paraguay","Empleadores","2783.74180"
"PRY","Paraguay","Media","981.13926"
"PRY","Paraguay","profesionales","1199.21139"
"PRY","Paraguay","publico","1604.48719"
"PER","Perú","Asalariadosgrandes","753.83721"
"PER","Perú","Asalariadosmicro","484.73988"
"PER","Perú","Cuentapropia","367.93929"
"PER","Perú","Empleadores","1167.86776"
"PER","Perú","Media","582.40610"
"PER","Perú","profesionales","599.18183"
"PER","Perú","publico","982.27891"
"DOM","Rep. Dominicana","Asalariadosgrandes","960.12633"
"DOM","Rep. Dominicana","Asalariadosmicro","495.05081"
"DOM","Rep. Dominicana","Cuentapropia","712.93051"
"DOM","Rep. Dominicana","Empleadores","1692.53088"
"DOM","Rep. Dominicana","Media","871.68572"
"DOM","Rep. Dominicana","profesionales","1149.19480"
"DOM","Rep. Dominicana","publico","1205.00607"
"URY","Uruguay","Asalariadosgrandes","1260.82723"
"URY","Uruguay","Asalariadosmicro","629.97772"
"URY","Uruguay","Cuentapropia","620.31210"
"URY","Uruguay","Empleadores","2549.44606"
"URY","Uruguay","Media","1159.77585"
"URY","Uruguay","profesionales","2080.93005"
"URY","Uruguay","publico","1622.27263"
