"anio","prima","tipo_prima"
"2004","0.47491","Controlando por variables sociodemográficas"
"2004","0.75012","Sin control por otras variables"
"2005","0.50957","Controlando por variables sociodemográficas"
"2005","0.79222","Sin control por otras variables"
"2006","0.56578","Controlando por variables sociodemográficas"
"2006","0.85556","Sin control por otras variables"
"2007","0.52433","Controlando por variables sociodemográficas"
"2007","0.82158","Sin control por otras variables"
"2008","0.51822","Controlando por variables sociodemográficas"
"2008","0.80319","Sin control por otras variables"
"2009","0.50615","Controlando por variables sociodemográficas"
"2009","0.78678","Sin control por otras variables"
"2010","0.49130","Controlando por variables sociodemográficas"
"2010","0.76671","Sin control por otras variables"
"2011","0.48801","Controlando por variables sociodemográficas"
"2011","0.74821","Sin control por otras variables"
"2012","0.47111","Controlando por variables sociodemográficas"
"2012","0.72532","Sin control por otras variables"
"2013","0.41556","Controlando por variables sociodemográficas"
"2013","0.67006","Sin control por otras variables"
"2014","0.43062","Controlando por variables sociodemográficas"
"2014","0.67529","Sin control por otras variables"
"2015","0.41179","Controlando por variables sociodemográficas"
"2015","0.65303","Sin control por otras variables"
"2016","0.46762","Controlando por variables sociodemográficas"
"2016","0.71643","Sin control por otras variables"
"2017","0.46181","Controlando por variables sociodemográficas"
"2017","0.69879","Sin control por otras variables"
"2018","0.44729","Controlando por variables sociodemográficas"
"2018","0.67516","Sin control por otras variables"
"2019","0.47654","Controlando por variables sociodemográficas"
"2019","0.71511","Sin control por otras variables"
"2020","0.52482","Controlando por variables sociodemográficas"
"2020","0.78534","Sin control por otras variables"
"2021","0.48346","Controlando por variables sociodemográficas"
"2021","0.72920","Sin control por otras variables"
"2022","0.41912","Controlando por variables sociodemográficas"
"2022","0.65302","Sin control por otras variables"
"2023","0.45608","Controlando por variables sociodemográficas"
"2023","0.68562","Sin control por otras variables"
"2024","0.50614","Controlando por variables sociodemográficas"
"2024","0.74245","Sin control por otras variables"
"2025","0.42321","Controlando por variables sociodemográficas"
"2025","0.64591","Sin control por otras variables"
