"geocodigoFundar","geonombreFundar","anio","salario_real_ppa_consumo_privado_2017"
"DEU","Alemania","1970","2634.62367"
"DEU","Alemania","1971","2791.56204"
"DEU","Alemania","1972","2906.97383"
"DEU","Alemania","1973","3036.74162"
"DEU","Alemania","1974","3167.96302"
"DEU","Alemania","1975","3206.30455"
"DEU","Alemania","1976","3318.63998"
"DEU","Alemania","1977","3407.79850"
"DEU","Alemania","1978","3497.93941"
"DEU","Alemania","1979","3559.61157"
"DEU","Alemania","1980","3602.70342"
"DEU","Alemania","1981","3551.93192"
"DEU","Alemania","1982","3520.85603"
"DEU","Alemania","1983","3538.17128"
"DEU","Alemania","1984","3633.72819"
"DEU","Alemania","1985","3656.15752"
"DEU","Alemania","1986","3772.54226"
"DEU","Alemania","1987","3877.69156"
"DEU","Alemania","1988","3953.84095"
"DEU","Alemania","1989","3926.61159"
"DEU","Alemania","1990","3935.37812"
"DEU","Alemania","1991","4231.16873"
"DEU","Alemania","1992","4442.35978"
"DEU","Alemania","1993","4419.16534"
"DEU","Alemania","1994","4461.25941"
"DEU","Alemania","1995","4553.39463"
"DEU","Alemania","1996","4550.14185"
"DEU","Alemania","1997","4504.21235"
"DEU","Alemania","1998","4495.51375"
"DEU","Alemania","1999","4592.53728"
"DEU","Alemania","2000","4690.35649"
"DEU","Alemania","2001","4668.47281"
"DEU","Alemania","2002","4674.74299"
"DEU","Alemania","2003","4707.84357"
"DEU","Alemania","2004","4683.00629"
"DEU","Alemania","2005","4523.96328"
"DEU","Alemania","2006","4420.95298"
"DEU","Alemania","2007","4342.76419"
"DEU","Alemania","2008","4315.54595"
"DEU","Alemania","2009","4328.74741"
"DEU","Alemania","2010","4461.09408"
"DEU","Alemania","2011","4472.70638"
"DEU","Alemania","2012","4515.49926"
"DEU","Alemania","2013","4512.52527"
"DEU","Alemania","2014","4599.28310"
"DEU","Alemania","2015","4709.12109"
"DEU","Alemania","2016","4726.71518"
"DEU","Alemania","2017","4800.72106"
"DEU","Alemania","2018","4891.18826"
"DEU","Alemania","2019","4972.43149"
"DEU","Alemania","2021","5033.09948"
"ARG","Argentina","1935","1074.56992"
"ARG","Argentina","1936","1052.47093"
"ARG","Argentina","1937","1066.36623"
"ARG","Argentina","1938","1117.63289"
"ARG","Argentina","1939","1090.34593"
"ARG","Argentina","1940","1084.94095"
"ARG","Argentina","1941","1101.14684"
"ARG","Argentina","1942","1102.76322"
"ARG","Argentina","1943","1137.81193"
"ARG","Argentina","1944","1262.71246"
"ARG","Argentina","1945","1161.08956"
"ARG","Argentina","1946","1291.17167"
"ARG","Argentina","1947","1561.45644"
"ARG","Argentina","1948","1830.73070"
"ARG","Argentina","1949","1824.05277"
"ARG","Argentina","1950","1713.48205"
"ARG","Argentina","1951","1619.77653"
"ARG","Argentina","1952","1508.57222"
"ARG","Argentina","1953","1610.70489"
"ARG","Argentina","1954","1767.11285"
"ARG","Argentina","1955","1725.19509"
"ARG","Argentina","1956","1849.67298"
"ARG","Argentina","1957","1786.46178"
"ARG","Argentina","1958","1953.78050"
"ARG","Argentina","1959","1505.34640"
"ARG","Argentina","1960","1533.25784"
"ARG","Argentina","1961","1683.89070"
"ARG","Argentina","1962","1678.04231"
"ARG","Argentina","1963","1652.61730"
"ARG","Argentina","1964","1826.71774"
"ARG","Argentina","1965","2008.03785"
"ARG","Argentina","1966","2017.02597"
"ARG","Argentina","1967","2009.10819"
"ARG","Argentina","1968","1925.96335"
"ARG","Argentina","1969","2024.81377"
"ARG","Argentina","1970","2109.27803"
"ARG","Argentina","1971","2223.36818"
"ARG","Argentina","1972","2098.18644"
"ARG","Argentina","1973","2418.09112"
"ARG","Argentina","1974","2787.76914"
"ARG","Argentina","1975","2732.11238"
"ARG","Argentina","1976","1717.79958"
"ARG","Argentina","1977","1642.72767"
"ARG","Argentina","1978","1662.61994"
"ARG","Argentina","1979","1883.35742"
"ARG","Argentina","1980","2139.94472"
"ARG","Argentina","1981","1933.68456"
"ARG","Argentina","1982","1603.73236"
"ARG","Argentina","1983","2126.26151"
"ARG","Argentina","1984","2389.44806"
"ARG","Argentina","1985","2047.50505"
"ARG","Argentina","1986","2041.74533"
"ARG","Argentina","1987","1935.17800"
"ARG","Argentina","1988","1740.87457"
"ARG","Argentina","1989","1378.88176"
"ARG","Argentina","1990","1644.24010"
"ARG","Argentina","1991","1683.82950"
"ARG","Argentina","1992","1748.54920"
"ARG","Argentina","1993","1853.56839"
"ARG","Argentina","1994","1806.19259"
"ARG","Argentina","1995","1739.23844"
"ARG","Argentina","1996","1673.50923"
"ARG","Argentina","1997","1649.58415"
"ARG","Argentina","1998","1648.23669"
"ARG","Argentina","1999","1664.17044"
"ARG","Argentina","2000","1675.32959"
"ARG","Argentina","2001","1703.31166"
"ARG","Argentina","2002","1382.04686"
"ARG","Argentina","2003","1342.23627"
"ARG","Argentina","2004","1453.81331"
"ARG","Argentina","2005","1586.80534"
"ARG","Argentina","2006","1767.47665"
"ARG","Argentina","2007","1828.95146"
"ARG","Argentina","2008","1917.38480"
"ARG","Argentina","2009","2026.62403"
"ARG","Argentina","2010","2062.04331"
"ARG","Argentina","2011","2227.66117"
"ARG","Argentina","2012","2313.20926"
"ARG","Argentina","2013","2345.78577"
"ARG","Argentina","2014","2262.67999"
"ARG","Argentina","2015","2412.76631"
"ARG","Argentina","2016","2289.74170"
"ARG","Argentina","2017","2333.41548"
"ARG","Argentina","2018","2183.82235"
"ARG","Argentina","2019","2005.26250"
"ARG","Argentina","2020","2003.94435"
"ARG","Argentina","2021","1972.74780"
"ARG","Argentina","2022","1955.68385"
"ARG","Argentina","2023","1951.73542"
"ARG","Argentina","2024","1802.15116"
"ARG","Argentina","2025","1940.02373"
"AUS","Australia","1964","2253.61725"
"AUS","Australia","1965","2278.35304"
"AUS","Australia","1966","2302.80532"
"AUS","Australia","1967","2351.19789"
"AUS","Australia","1968","2464.17405"
"AUS","Australia","1969","2605.86972"
"AUS","Australia","1970","2776.80934"
"AUS","Australia","1971","2854.46306"
"AUS","Australia","1972","2957.14060"
"AUS","Australia","1973","3209.18655"
"AUS","Australia","1974","3567.22462"
"AUS","Australia","1975","3595.59158"
"AUS","Australia","1976","3577.81490"
"AUS","Australia","1977","3441.01873"
"AUS","Australia","1978","3417.39113"
"AUS","Australia","1979","3457.29996"
"AUS","Australia","1980","3529.42068"
"AUS","Australia","1981","3647.33000"
"AUS","Australia","1982","3626.90792"
"AUS","Australia","1983","3553.08466"
"AUS","Australia","1984","3642.22930"
"AUS","Australia","1985","3611.24534"
"AUS","Australia","1986","3466.68400"
"AUS","Australia","1987","3423.96538"
"AUS","Australia","1988","3442.19277"
"AUS","Australia","1989","3420.04696"
"AUS","Australia","1990","3251.62192"
"AUS","Australia","1991","3292.68360"
"AUS","Australia","1992","3410.78683"
"AUS","Australia","1993","3497.28948"
"AUS","Australia","1994","3504.72789"
"AUS","Australia","1995","3449.32397"
"AUS","Australia","1996","3538.14014"
"AUS","Australia","1997","3649.96826"
"AUS","Australia","1998","3760.31235"
"AUS","Australia","1999","3839.04068"
"AUS","Australia","2000","3815.34265"
"AUS","Australia","2001","3792.57305"
"AUS","Australia","2002","3840.35696"
"AUS","Australia","2003","3886.25959"
