"anio","geocodigoFundar","geonombreFundar","anios_educacion_promedio"
"2023","AFG","Afganistán","2.515"
"2023","AGO","Angola","5.956"
"2023","ALB","Albania","10.175"
"2023","AND","Andorra","11.61"
"2023","ARE","Emiratos Árabes Unidos","12.99"
"2023","ARG","Argentina","11.185"
"2023","ARM","Armenia","11.345"
"2023","ATG","Antigua y Barbuda","11.648"
"2023","AUS","Australia","12.87"
"2023","AUT","Austria","12.361"
"2023","AZE","Azerbaiyán","11.07"
"2023","BDI","Burundi","3.474"
"2023","BEL","Bélgica","12.69"
"2023","BEN","Benin","3.194"
"2023","BFA","Burkina Faso","2.267"
"2023","BGD","Bangladesh","6.79"
"2023","BGR","Bulgaria","11.455"
"2023","BHR","Bahrein","11.13"
"2023","BHS","Bahamas","12.814"
"2023","BIH","Bosnia y Herzegovina","10.97"
"2023","BLR","Belarús","12.335"
"2023","BLZ","Belice","8.762"
"2023","BOL","Bolivia","10.021"
"2023","BRA","Brasil","8.425"
"2023","BRB","Barbados","9.928"
"2023","BRN","Brunei","9.282"
"2023","BTN","Bhután","5.836"
"2023","BWA","Botswana","10.478"
"2023","CAF","Rep. Centroafricana","3.989"
"2023","CAN","Canadá","13.87"
"2023","CHE","Suiza","13.949"
"2023","CHL","Chile","11.291"
"2023","CHN","China","8.036"
"2023","CIV","Costa de Marfil","4.87"
"2023","CMR","Camerún","6.574"
"2023","COD","Rep. Dem. Congo","7.379"
"2023","COG","Congo","8.323"
"2023","COL","Colombia","9.032"
"2023","COM","Comoras","6.007"
"2023","CPV","Cabo Verde","6.09"
"2023","CRI","Costa Rica","8.845"
"2023","CUB","Cuba","10.631"
"2023","CYP","Chipre","12.557"
"2023","CZE","Chequia","12.963"
"2023","DEU","Alemania","14.296"
"2023","DJI","Djibouti","3.95"
"2023","DMA","Dominica","10.125"
"2023","DNK","Dinamarca","13.027"
"2023","DOM","Rep. Dominicana","9.445"
"2023","DZA","Argelia","7.416"
"2023","ECU","Ecuador","8.97"
"2023","EGY","Egipto","10.136"
"2023","ERI","Eritrea","5.091"
"2023","ESP","España","10.756"
"2023","EST","Estonia","13.562"
"2023","ETH","Etiopía","2.403"
"2023","FIN","Finlandia","12.98"
"2023","FJI","Fiji","10.371"
"2023","FRA","Francia","11.766"
"2023","FSM","Micronesia","7.333"
"2023","GAB","Gabón","9.686"
"2023","GBR","Reino Unido","13.49"
"2023","GEO","Georgia","12.7"
"2023","GHA","Ghana","7.107"
"2023","GIN","Guinea","2.486"
"2023","GMB","Gambia","4.675"
"2023","GNB","Guinea-Bissau","3.673"
"2023","GNQ","Guinea Ecuatorial","8.281"
"2023","GRC","Grecia","11.554"
"2023","GRD","Granada","9.446"
"2023","GTM","Guatemala","5.847"
"2023","GUY","Guyana","8.702"
"2023","HKG","Hong Kong","12.35"
"2023","HND","Honduras","7.51"
"2023","HRV","Croacia","12.095"
"2023","HTI","Haití","5.382"
"2023","HUN","Hungría","12.332"
"2023","IDN","Indonesia","8.697"
"2023","IND","India","6.88"
"2023","IRL","Irlanda","11.725"
"2023","IRN","Irán","10.847"
"2023","IRQ","Iraq","6.78"
"2023","ISL","Islandia","13.909"
"2023","ISR","Israel","13.535"
"2023","ITA","Italia","10.828"
"2023","JAM","Jamaica","9.96"
"2023","JOR","Jordania","10.24"
"2023","JPN","Japón","12.684"
"2023","KAZ","Kazajstán","12.547"
"2023","KEN","Kenia","8.625"
"2023","KGZ","Kirguistán","12.066"
"2023","KHM","Camboya","5.197"
"2023","KIR","Kiribati","9.129"
"2023","KNA","Saint Kitts y Nevis","10.849"
"2023","KOR","Corea del Sur","12.722"
"2023","KWT","Kuwait","7.566"
