"anio","geocodigoFundar","metrica","fuente","valor"
"1869","ARG","Tasa de alfabetización de adultos 15+ años","Fundación Norte y Sur","21.7605633802817"
"1895","ARG","Tasa de alfabetización de adultos 15+ años","Fundación Norte y Sur","45.57781201849"
"1914","ARG","Tasa de alfabetización de adultos 15+ años","Fundación Norte y Sur","62.1329947627361"
"1947","ARG","Tasa de alfabetización de adultos 15+ años","Fundación Norte y Sur","86.4"
"1960","ARG","Tasa de alfabetización de adultos 15+ años","Fundación Norte y Sur","91.6"
"1970","ARG","Tasa de alfabetización de adultos 15+ años","Fundación Norte y Sur","92.7443055454611"
"1980","ARG","Tasa de alfabetización de adultos 15+ años","Fundación Norte y Sur","93.8156414724036"
"1991","ARG","Tasa de alfabetización de adultos 15+ años","Fundación Norte y Sur","96.0441351257209"
"2001","ARG","Tasa de alfabetización de adultos 15+ años","Fundación Norte y Sur","97.3945770727117"
"2010","ARG","Tasa de alfabetización de adultos 15+ años","Fundación Norte y Sur","98.0782571528876"
"2020","ARG","Tasa de alfabetización de adultos 15+ años","UNESCO","99.1399993896484"
"1800","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","40.219"
"1801","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","40.219"
"1802","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","40.219"
"1803","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","40.219"
"1804","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","40.219"
"1805","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","40.219"
"1806","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","40.219"
"1807","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","40.219"
"1808","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","40.219"
"1809","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","40.219"
"1810","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","40.219"
"1811","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","40.219"
"1812","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","40.219"
"1813","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","40.219"
"1814","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","40.219"
"1815","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","40.219"
"1816","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","40.219"
"1817","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","40.219"
"1818","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","40.219"
"1819","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","40.219"
"1820","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","40.219"
"1821","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","40.219"
"1822","ARG","Tasa de mortalidad infantil 0-5 años, en porcentaje","Gapminder","40.219"
