"anio","geocodigoFundar","geonombreFundar","women_political_empowerment"
"2024","LCN","América Latina y el Caribe","0.792728811396981"
"2024","WLD","Mundo","0.675998265662761"
"2024","HIC","Países de altos ingresos","0.859687111751501"
"2024","MEX","México","0.793"
"2024","SUR","Suriname","0.892"
"2024","SWE","Suecia","0.93"
"2024","CHE","Suiza","0.94"
"2024","GHA","Ghana","0.797"
"2024","ZAF","Sudáfrica","0.844"
"2024","JPN","Japón","0.801"
"2024","MMR","Myanmar","0.343"
"2024","RUS","Rusia","0.493"
"2024","ALB","Albania","0.905"
"2024","EGY","Egipto","0.574"
"2024","YEM","Yemen","0.185"
"2024","COL","Colombia","0.813"
"2024","POL","Polonia","0.862"
"2024","BRA","Brasil","0.815"
"2024","USA","Estados Unidos","0.872"
"2024","PRT","Portugal","0.859"
"2024","SLV","El Salvador","0.613"
"2024","BGD","Bangladesh","0.602"
"2024","BOL","Bolivia","0.8"
"2024","HTI","Haití","0.288"
"2024","HND","Honduras","0.796"
"2024","MLI","Malí","0.744"
"2024","PAK","Pakistán","0.558"
"2024","PER","Perú","0.787"
"2024","SEN","Senegal","0.86"
"2024","SSD","Sudán del Sur","0.489"
"2024","SDN","Sudán","0.236"
"2024","VNM","Vietnam","0.745"
"2024","AFG","Afganistán","0.045"
"2024","ARG","Argentina","0.849"
"2024","ETH","Etiopía","0.676"
"2024","IND","India","0.659"
"2024","KEN","Kenia","0.776"
"2024","PRK","Corea del Norte","0.292"
"2024","KOR","Corea del Sur","0.87"
"2024","XKX","Kosovo","0.759"
"2024","LBN","Líbano","0.574"
"2024","NGA","Nigeria","0.687"
"2024","PHL","Filipinas","0.804"
"2024","TZA","Tanzanía","0.838"
"2024","TWN","Taiwán","0.899"
"2024","THA","Tailandia","0.732"
"2024","UGA","Uganda","0.698"
"2024","VEN","Venezuela","0.777"
"2024","BEN","Benin","0.893"
"2024","BTN","Bhután","0.711"
"2024","BFA","Burkina Faso","0.616"
"2024","KHM","Camboya","0.505"
"2024","IDN","Indonesia","0.728"
"2024","MOZ","Mozambique","0.691"
"2024","NPL","Nepal","0.761"
"2024","NIC","Nicaragua","0.535"
"2024","NER","Níger","0.696"
"2024","ZMB","Zambia","0.82"
"2024","ZWE","Zimbabwe","0.708"
"2024","GIN","Guinea","0.528"
"2024","CIV","Costa de Marfil","0.709"
"2024","MRT","Mauritania","0.616"
"2024","CAN","Canadá","0.876"
"2024","AUS","Australia","0.909"
"2024","BWA","Botswana","0.731"
"2024","BDI","Burundi","0.657"
"2024","CPV","Cabo Verde","0.828"
"2024","CAF","República Centroafricana","0.578"
"2024","CHL","Chile","0.917"
"2024","CRI","Costa Rica","0.918"
"2024","TLS","Timor-Leste","0.786"
"2024","ECU","Ecuador","0.799"
"2024","FRA","Francia","0.929"
"2024","DEU","Alemania","0.952"
"2024","GTM","Guatemala","0.717"
"2024","IRN","Irán","0.336"
"2024","IRQ","Iraq","0.54"
"2024","IRL","Irlanda","0.925"
"2024","ITA","Italia","0.925"
"2024","JOR","Jordania","0.614"
"2024","LVA","Letonia","0.955"
"2024","LSO","Lesotho","0.786"
"2024","LBR","Liberia","0.823"
"2024","MWI","Malawi","0.755"
"2024","MDV","Maldivas","0.536"
"2024","MNG","Mongolia","0.794"
"2024","MAR","Marruecos","0.732"
"2024","NLD","Países Bajos","0.904"
"2024","PAN","Panamá","0.784"
"2024","PNG","Papua Nueva Guinea","0.498"
"2024","QAT","Qatar","0.301"
"2024","SLE","Sierra Leona","0.831"
"2024","ESP","España","0.93"
"2024","SYR","Siria","0.214"
"2024","TUN","Túnez","0.823"
"2024","TUR","Turquía","0.609"
"2024","UKR","Ucrania","0.869"
"2024","GBR","Reino Unido","0.856"
"2024","URY","Uruguay","0.874"
"2024","DZA","Argelia","0.636"
"2024","AGO","Angola","0.768"
"2024","ARM","Armenia","0.892"
"2024","AZE","Azerbaiyán","0.621"
"2024","BLR","Belarús","0.707"
"2024","CMR","Camerún","0.794"
"2024","TCD","Chad","0.603"
"2024","CHN","China","0.587"
"2024","COD","República Democrática del Congo","0.612"
"2024","COG","Congo","0.474"
"2024","DJI","Djibouti","0.593"
"2024","DOM","República Dominicana","0.818"
"2024","ERI","Eritrea","0.142"
"2024","GAB","Gabón","0.808"
"2024","GMB","Gambia","0.809"
"2024","GEO","Georgia","0.835"
"2024","GNB","Guinea-Bissau","0.586"
"2024","JAM","Jamaica","0.936"
"2024","KAZ","Kazajstán","0.711"
"2024","KGZ","Kirguistán","0.759"
"2024","LAO","Lao","0.495"
"2024","LBY","Libia","0.443"
"2024","MDG","Madagascar","0.711"
"2024","MDA","Moldavia","0.909"
"2024","NAM","Namibia","0.863"
"2024","PSE","Palestina","0.484"
"2024","RWA","Ruanda","0.624"
"2024","SOM","Somalia","0.382"
"2024","LKA","Sri Lanka","0.672"
"2024","SWZ","Eswatini","0.388"
"2024","TJK","Tayikistán","0.462"
"2024","TGO","Togo","0.707"
"2024","TTO","Trinidad y Tobago","0.855"
"2024","TKM","Turkmenistán","0.43"
"2024","UZB","Uzbekistán","0.649"
"2024","AUT","Austria","0.914"
"2024","BHR","Bahrein","0.551"
"2024","BRB","Barbados","0.895"
"2024","BEL","Bélgica","0.948"
"2024","BIH","Bosnia y Herzegovina","0.823"
"2024","BGR","Bulgaria","0.894"
"2024","COM","Comoras","0.551"
"2024","HRV","Croacia","0.917"
"2024","CUB","Cuba","0.674"
"2024","CYP","Chipre","0.854"
"2024","CZE","Chequia","0.921"
"2024","DNK","Dinamarca","0.96"
"2024","GNQ","Guinea Ecuatorial","0.474"
"2024","EST","Estonia","0.945"
"2024","FJI","Fiji","0.657"
"2024","FIN","Finlandia","0.934"
"2024","GRC","Grecia","0.92"
"2024","GUY","Guyana","0.842"
"2024","HKG","Hong Kong","0.815"
"2024","ISL","Islandia","0.891"
"2024","ISR","Israel","0.868"
"2024","KWT","Kuwait","0.393"
"2024","LTU","Lituania","0.928"
"2024","LUX","Luxemburgo","0.908"
"2024","MKD","Macedonia del Norte","0.83"
"2024","MYS","Malasia","0.788"
"2024","MLT","Malta","0.912"
"2024","MUS","Mauricio","0.784"
"2024","MNE","Montenegro","0.846"
"2024","NZL","Nueva Zelanda","0.942"
"2024","NOR","Noruega","0.925"
"2024","OMN","Omán","0.354"
"2024","PRY","Paraguay","0.694"
"2024","ROU","Rumania","0.86"
