"anio","pib_per_capita_ppp_2011"
"1800","1484"
"1820","1591"
"1850","1994"
"1860","2160"
"1870","2340"
"1875","2606"
"1876","2611"
"1877","2820"
"1878","2619"
"1879","2664"
"1880","2557"
"1881","2541"
"1882","3108"
"1883","3373"
"1884","3486"
"1885","3904"
"1886","3771"
"1887","3841"
"1888","4219"
"1889","4288"
"1890","3851"
"1891","3631"
"1892","4251"
"1893","4409"
"1894","4968"
"1895","5384"
"1896","5716"
"1897","4500"
"1898","4741"
"1899","5412"
"1900","4583"
"1901","4591"
"1902","4331"
"1903","4769"
"1904","5086"
"1905","5545"
"1906","5608"
"1907","5514"
"1908","5829"
"1909","5896"
"1910","6092"
"1911","5971"
"1912","6223"
"1913","6052"
"1914","5263"
"1915","5171"
"1916","4927"
"1917","4447"
"1918","5177"
"1919","5271"
"1920","5536"
"1921","5533"
"1922","5796"
"1923","6213"
"1924","6464"
"1925","6247"
"1926","6366"
"1927","6625"
"1928","6840"
"1929","6961"
"1930","6503"
"1931","5917"
"1932","5614"
"1933","5772"
"1934","6129"
"1935","6296"
"1936","6236"
"1937","6575"
"1938","6491"
"1939","6612"
"1940","6633"
"1941","6861"
"1942","6829"
"1943","6666"
"1944","7299"
"1945","6943"
"1946","7436"
"1947","8112"
"1948","8372"
"1949","8045"
"1950","7949"
"1951","8086"
"1952","7519"
"1953","7769"
"1954","7938"
"1955","8348"
"1956","8424"
"1957","8705"
"1958","9083"
"1959","8354"
"1960","8861"
"1961","9344"
"1962","9049"
"1963","8695"
"1964","9446"
"1965","10155"
"1966","10076"
"1967","10200"
"1968","10485"
"1969","11217"
"1970","11639"
"1971","12003"
"1972","12170"
"1973","12691"
"1974","13284"
"1975","12946"
"1976","12696"
"1977","13236"
"1978","12444"
"1979","13114"
"1980","13080"
"1981","12125"
"1982","11550"
"1983","11775"
"1984","11837"
"1985","10895"
"1986","11515"
"1987","11633"
"1988","11244"
"1989","10393"
"1990","10254"
"1991","11223.9846365402"
"1992","12267.0835867812"
"1993","12926.7946652176"
"1994","13571.379431201"
"1995","13086.0364515543"
"1996","13715.2268187077"
"1997","14722.6459400365"
"1998","15185.9586884861"
"1999","14577.8322730293"
"2000","14368.9427373623"
"2001","13651.980987935"
"2002","12094.7728377935"
"2003","13088.5650108326"
"2004","14183.225137777"
"2005","15344.1571340567"
"2006","16490.4735815761"
"2007","17891.9434108489"
"2008","18520.3040835795"
"2009","17328.97575242"
"2010","18979.9917029921"
"2011","20003"
"2012","19573.9631854518"
"2013","19821.6424799123"
"2014","19112.2329000231"
"2015","19423.6669777037"
"2016","18819.6428869525"
"2017","19150.5204834216"
"2018","18460.8690085816"
"2019","17912.6357651773"
"2020","15975.8387725535"
"2021","17470.6824151873"
"2022","18292.3178246598"
