"anio","geocodigoFundar","geonombreFundar","le_birth","ranking"
"1870","ARG","Argentina","31.832972972973","26"
"1880","ARG","Argentina","32.9","24"
"1890","ARG","Argentina","36.45","23"
"1900","ARG","Argentina","39","22"
"1913","ARG","Argentina","45.7331380986358","19"
"1925","ARG","Argentina","49.61047081443","20"
"1929","ARG","Argentina","51.1027211698522","20"
"1933","ARG","Argentina","52.6411462905177","20"
"1938","ARG","Argentina","54.6314313864611","20"
"1950","ARG","Argentina","62.5","26"
"1955","ARG","Argentina","64.4","32"
"1960","ARG","Argentina","65.15952","33"
"1965","ARG","Argentina","65.77268","39"
"1970","ARG","Argentina","66.80927","42"
"1975","ARG","Argentina","68.17756","43"
"1980","ARG","Argentina","69.528","52"
"1985","ARG","Argentina","70.647","48"
"1990","ARG","Argentina","71.7837","45"
"1995","ARG","Argentina","73.1333","42"
"2000","ARG","Argentina","73.926","46"
"2005","ARG","Argentina","75.1388","44"
"2010","ARG","Argentina","75.7208","49"
"2015","ARG","Argentina","76.7602","51"
"2020","ARG","Argentina","75.8921","53"
"1950","BHS","Bahamas","59.85","35"
"1955","BHS","Bahamas","62.41","38"
"1960","BHS","Bahamas","63.34927","43"
"1965","BHS","Bahamas","65.03756","41"
"1970","BHS","Bahamas","66.15317","43"
"1975","BHS","Bahamas","66.94098","49"
"1980","BHS","Bahamas","67.712","59"
"1985","BHS","Bahamas","69.209","59"
"1990","BHS","Bahamas","70.1331","59"
"1995","BHS","Bahamas","70.7628","66"
"2000","BHS","Bahamas","72.0411","59"
"2005","BHS","Bahamas","72.7654","67"
"2010","BHS","Bahamas","72.7314","79"
"2015","BHS","Bahamas","73.104","84"
"2020","BHS","Bahamas","72.6766","80"
"1950","BRB","Barbados","57.22","45"
"1955","BRB","Barbados","62.57","37"
"1960","BRB","Barbados","64.52146","34"
"1965","BRB","Barbados","66.89073","35"
"1970","BRB","Barbados","68.66878","33"
"1975","BRB","Barbados","70.49707","29"
"1980","BRB","Barbados","72.088","29"
"1985","BRB","Barbados","73.564","28"
"1990","BRB","Barbados","72.7516","36"
"1995","BRB","Barbados","73.2983","39"
"2000","BRB","Barbados","74.0891","42"
"2005","BRB","Barbados","74.8901","46"
"2010","BRB","Barbados","75.7115","50"
"2015","BRB","Barbados","76.6502","52"
"2020","BRB","Barbados","77.3929","44"
"1950","BLZ","Belice","57.67","43"
"1955","BLZ","Belice","60.18","46"
"1960","BLZ","Belice","61.68537","47"
"1965","BLZ","Belice","62.68537","49"
"1970","BLZ","Belice","64.18536","52"
"1975","BLZ","Belice","66.6239","50"
"1980","BLZ","Belice","70.692","40"
