"anio","geocodigoFundar","geonombreFundar","mys","ranking"
"1870","ARG","Argentina","1.498","21"
"1880","ARG","Argentina","1.642","22"
"1890","ARG","Argentina","1.786","23"
"1900","ARG","Argentina","2.122","24"
"1913","ARG","Argentina","2.526","23"
"1925","ARG","Argentina","3.33886","24"
"1929","ARG","Argentina","3.702","24"
"1933","ARG","Argentina","4.11323645970938","24"
"1938","ARG","Argentina","4.492","24"
"1950","ARG","Argentina","5.402","28"
"1955","ARG","Argentina","5.72494296577947","29"
"1960","ARG","Argentina","6.18","29"
"1965","ARG","Argentina","6.4457429048414","29"
"1970","ARG","Argentina","6.82","30"
"1975","ARG","Argentina","7.28284349742836","31"
"1980","ARG","Argentina","7.65","49"
"1985","ARG","Argentina","7.73477983407786","54"
"1990","ARG","Argentina","7.79","59"
"1995","ARG","Argentina","8.16505263157895","62"
"2000","ARG","Argentina","8.37","66"
"2005","ARG","Argentina","9.086875","61"
"2010","ARG","Argentina","9.3","62"
"2015","ARG","Argentina","9.85","62"
"2020","ARG","Argentina","11.14726927","56"
"1950","BHS","Bahamas","6.52584445120211","21"
"1955","BHS","Bahamas","6.880670657441","21"
"1960","BHS","Bahamas","7.26422617748966","20"
"1965","BHS","Bahamas","7.79942414529333","19"
"1970","BHS","Bahamas","8.40541870140527","17"
"1975","BHS","Bahamas","8.54681640326273","20"
"1980","BHS","Bahamas","9.04572799388414","23"
"1985","BHS","Bahamas","9.63306408573575","22"
"1990","BHS","Bahamas","9.97897","24"
"1995","BHS","Bahamas","10.46067","26"
"2000","BHS","Bahamas","10.94237","20"
"2005","BHS","Bahamas","11.401185","16"
"2010","BHS","Bahamas","11.86","16"
"2015","BHS","Bahamas","10.86785","49"
"2020","BHS","Bahamas","12.64192386","24"
"1950","BRB","Barbados","5.85097763646","24"
"1955","BRB","Barbados","6.16910967485869","26"
"1960","BRB","Barbados","6.513","28"
"1965","BRB","Barbados","6.99285074791681","26"
"1970","BRB","Barbados","7.53617669173","26"
"1975","BRB","Barbados","7.66295182368438","28"
"1980","BRB","Barbados","8.11026873127","42"
"1985","BRB","Barbados","8.63686576621413","44"
"1990","BRB","Barbados","8.947","47"
"1995","BRB","Barbados","9.32296072097854","48"
"2000","BRB","Barbados","9.17397995992","55"
"2005","BRB","Barbados","9.64126357205109","51"
"2010","BRB","Barbados","9.675","59"
"2015","BRB","Barbados","10.45693616","55"
"2020","BRB","Barbados","9.852700596","75"
"1950","BLZ","Belice","7.23","14"
"1955","BLZ","Belice","7.4","16"
"1960","BLZ","Belice","7.49","18"
"1965","BLZ","Belice","7.81","18"
"1970","BLZ","Belice","7.74","24"
"1975","BLZ","Belice","7.95","25"
"1980","BLZ","Belice","7.69","48"
"1985","BLZ","Belice","7.91","50"
"1990","BLZ","Belice","8.76","48"
"1995","BLZ","Belice","9.4","45"
"2000","BLZ","Belice","10.08","38"
"2005","BLZ","Belice","10.76","33"
"2010","BLZ","Belice","11.29","29"
"2015","BLZ","Belice","10.47","54"
"2020","BLZ","Belice","8.847599983","90"
"1870","BOL","Bolivia","0.3301742185278","46"
"1880","BOL","Bolivia","0.550290364213","40"
"1890","BOL","Bolivia","0.74811822433","40"
"1900","BOL","Bolivia","1.24762276793","34"
"1913","BOL","Bolivia","1.76890786753","31"
"1925","BOL","Bolivia","2.65806286478571","28"
"1929","BOL","Bolivia","2.736188814","30"
"1933","BOL","Bolivia","2.68318967271522","35"
"1938","BOL","Bolivia","2.88332163263","35"
"1950","BOL","Bolivia","3.27400490609","49"
"1955","BOL","Bolivia","3.39561031457476","58"
"1960","BOL","Bolivia","3.56808628957","61"
"1965","BOL","Bolivia","4.02243928392909","56"
"1970","BOL","Bolivia","4.38665358285","60"
"1975","BOL","Bolivia","4.80288441924557","65"
"1980","BOL","Bolivia","5.51146474203","79"
"1985","BOL","Bolivia","6.2851809969079","74"
"1990","BOL","Bolivia","7.03919449004","73"
"1995","BOL","Bolivia","7.41527176527886","80"
"2000","BOL","Bolivia","7.6871753631","78"
"2005","BOL","Bolivia","8.18968871645461","77"
"2010","BOL","Bolivia","8.26776590547","82"
"2015","BOL","Bolivia","8.19974","90"
"2020","BOL","Bolivia","9.827750206","76"
"1870","BRA","Brasil","0.46","39"
"1880","BRA","Brasil","0.55","41"
"1890","BRA","Brasil","0.64","43"
"1900","BRA","Brasil","0.742","46"
"1913","BRA","Brasil","0.868","53"
"1925","BRA","Brasil","1.14590551181102","55"
"1929","BRA","Brasil","1.27","56"
"1933","BRA","Brasil","1.44474267100977","55"
"1938","BRA","Brasil","1.648","54"
"1950","BRA","Brasil","2.354","72"
"1955","BRA","Brasil","2.68765874730022","70"
"1960","BRA","Brasil","3.08","68"
"1965","BRA","Brasil","3.34289383561644","71"
"1970","BRA","Brasil","3.77","72"
"1975","BRA","Brasil","3.87124802527646","80"
"1980","BRA","Brasil","4.68","91"
"1985","BRA","Brasil","5.7698318240621","81"
"1990","BRA","Brasil","6.64","79"
"1995","BRA","Brasil","7.05837644959857","84"
"2000","BRA","Brasil","7.54","81"
"2005","BRA","Brasil","7.93249081956974","83"
"2010","BRA","Brasil","8.139999","85"
"2015","BRA","Brasil","7.76","99"
"2020","BRA","Brasil","8.128813955","103"
"1870","CHL","Chile","0.9400001","30"
"1880","CHL","Chile","1.045","32"
"1890","CHL","Chile","1.57","25"
"1900","CHL","Chile","1.73","25"
"1913","CHL","Chile","2.04","26"
"1925","CHL","Chile","3.44878612716763","23"
"1929","CHL","Chile","3.89","22"
"1933","CHL","Chile","4.41346153846154","20"
"1938","CHL","Chile","4.75","21"
"1950","CHL","Chile","5.2","29"
"1955","CHL","Chile","5.43678963110668","32"
"1960","CHL","Chile","5.75","34"
"1965","CHL","Chile","6.1053934571176","33"
"1970","CHL","Chile","6.45","33"
"1975","CHL","Chile","7.17963957055215","33"
"1980","CHL","Chile","7.8","47"
"1985","CHL","Chile","8.3745264532985","47"
"1990","CHL","Chile","8.96","46"
"1995","CHL","Chile","9.52551972346529","40"
"2000","CHL","Chile","9.950001","39"
"2005","CHL","Chile","10.4189766403183","42"
"2010","CHL","Chile","10.36","46"
"2015","CHL","Chile","9.8965","60"
"2020","CHL","Chile","10.9349663","60"
"1870","COL","Colombia","0.684267503148191","36"
"1880","COL","Colombia","0.898101097882","36"
"1890","COL","Colombia","1.02477755301","38"
"1900","COL","Colombia","1.29137001465","32"
"1913","COL","Colombia","1.61471918526","32"
"1925","COL","Colombia","2.60207703755968","29"
"1929","COL","Colombia","2.79874021826","29"
"1933","COL","Colombia","3.04146168966061","30"
"1938","COL","Colombia","3.18231602313","31"
"1950","COL","Colombia","3.3897188685","47"
"1955","COL","Colombia","3.57792500202952","53"
"1960","COL","Colombia","3.79283206841","54"
"1965","COL","Colombia","4.00481032527207","57"
"1970","COL","Colombia","4.35730824267","62"
"1975","COL","Colombia","4.58952328683714","69"
"1980","COL","Colombia","4.90594976746","87"
"1985","COL","Colombia","5.49510505469793","89"
"1990","COL","Colombia","5.98416735369","89"
"1995","COL","Colombia","6.49538928209207","91"
"2000","COL","Colombia","6.95641500275","91"
"2005","COL","Colombia","6.48560418340946","104"
"2010","COL","Colombia","7.60404198125","98"
"2015","COL","Colombia","7.555875831","103"
"2020","COL","Colombia","8.862859726","88"
"1913","CRI","Costa Rica","2.01","28"
"1925","CRI","Costa Rica","2.28152941176471","34"
"1929","CRI","Costa Rica","2.38","36"
"1933","CRI","Costa Rica","2.63766816143498","36"
"1938","CRI","Costa Rica","2.81","36"
"1950","CRI","Costa Rica","3.24","51"
"1955","CRI","Costa Rica","3.49215053763441","56"
"1960","CRI","Costa Rica","3.67","58"
"1965","CRI","Costa Rica","4.03054916985951","55"
"1970","CRI","Costa Rica","3.99","70"
"1975","CRI","Costa Rica","4.57094527363184","70"
"1980","CRI","Costa Rica","4.93","85"
"1985","CRI","Costa Rica","5.53940998487141","86"
"1990","CRI","Costa Rica","6","88"
"1995","CRI","Costa Rica","6.4580553679946","92"
"2000","CRI","Costa Rica","6.89","93"
"2005","CRI","Costa Rica","7.92308870453095","85"
"2010","CRI","Costa Rica","8.4","80"
"2015","CRI","Costa Rica","8.70746","81"
"2020","CRI","Costa Rica","8.804059982","92"
"1870","CUB","Cuba","0.83","35"
"1880","CUB","Cuba","0.94","34"
"1890","CUB","Cuba","1.04","36"
"1900","CUB","Cuba","1.22","36"
"1913","CUB","Cuba","1.51","34"
"1925","CUB","Cuba","2.3551867219917","33"
"1929","CUB","Cuba","2.65","31"
"1933","CUB","Cuba","2.93424092409241","31"
"1938","CUB","Cuba","3.18","32"
"1950","CUB","Cuba","3.53","44"
"1955","CUB","Cuba","3.53659090909091","54"
"1960","CUB","Cuba","3.88","53"
"1965","CUB","Cuba","3.98251883745963","58"
"1970","CUB","Cuba","4.36","61"
"1975","CUB","Cuba","4.69115269461078","67"
"1980","CUB","Cuba","5.7","71"
"1985","CUB","Cuba","6.46225301204819","70"
"1990","CUB","Cuba","7.56","65"
"1995","CUB","Cuba","8.32595988538682","58"
"2000","CUB","Cuba","8.95","57"
"2005","CUB","Cuba","9.58979024646041","53"
"2010","CUB","Cuba","10.28","49"
"2015","CUB","Cuba","11.7507808","29"
"2020","CUB","Cuba","12.49773438","28"
"1950","DOM","Rep. Dominicana","1.99","76"
"1955","DOM","Rep. Dominicana","2.20981060606061","77"
"1960","DOM","Rep. Dominicana","2.55","76"
"1965","DOM","Rep. Dominicana","3.00295774647887","76"
"1970","DOM","Rep. Dominicana","3.66","75"
"1975","DOM","Rep. Dominicana","3.84001176470588","81"
"1980","DOM","Rep. Dominicana","4.13","101"
"1985","DOM","Rep. Dominicana","4.56044158233671","109"
"1990","DOM","Rep. Dominicana","5.05","108"
"1995","DOM","Rep. Dominicana","5.46540880503145","109"
"2000","DOM","Rep. Dominicana","5.95","107"
"2005","DOM","Rep. Dominicana","6.26151724137931","108"
"2010","DOM","Rep. Dominicana","6.66","109"
"2015","DOM","Rep. Dominicana","7.6789","101"
"2020","DOM","Rep. Dominicana","9.306864107","82"
"1870","ECU","Ecuador","0.870108544988334","33"
"1880","ECU","Ecuador","1.37385559735","24"
"1890","ECU","Ecuador","1.54437581308","26"
"1900","ECU","Ecuador","1.70930990516","27"
"1913","ECU","Ecuador","1.86937303856","30"
"1925","ECU","Ecuador","2.14868156396617","36"
"1929","ECU","Ecuador","2.24533803501","37"
"1933","ECU","Ecuador","2.5297627830699","37"
"1938","ECU","Ecuador","2.71498114748","37"
"1950","ECU","Ecuador","3.41607575987","45"
"1955","ECU","Ecuador","3.83522359035731","46"
"1960","ECU","Ecuador","4.29446086604","46"
"1965","ECU","Ecuador","4.8216777392305","48"
"1970","ECU","Ecuador","5.15108219235","50"
"1975","ECU","Ecuador","5.29073662635008","55"
"1980","ECU","Ecuador","6.21539873052","67"
"1985","ECU","Ecuador","6.66261944821646","67"
"1990","ECU","Ecuador","7.14030946217","71"
"1995","ECU","Ecuador","7.62852809237454","71"
"2000","ECU","Ecuador","8.00930266494","74"
"2005","ECU","Ecuador","8.31682403839556","74"
"2010","ECU","Ecuador","8.5792066111","75"
"2015","ECU","Ecuador","8.27","89"
"2020","ECU","Ecuador","8.817119598","91"
"1913","SLV","El Salvador","1.27","42"
"1925","SLV","El Salvador","1.31024096385542","50"
"1929","SLV","El Salvador","1.35","52"
"1933","SLV","El Salvador","1.35472527472527","59"
"1938","SLV","El Salvador","1.33","61"
"1950","SLV","El Salvador","1.6","84"
"1955","SLV","El Salvador","1.7376","88"
"1960","SLV","El Salvador","2.02","90"
"1965","SLV","El Salvador","2.26166666666667","91"
"1970","SLV","El Salvador","2.58","94"
"1975","SLV","El Salvador","3.14915887850467","95"
"1980","SLV","El Salvador","3.66","111"
"1985","SLV","El Salvador","4.37863196125908","111"
"1990","SLV","El Salvador","4.85","112"
"1995","SLV","El Salvador","4.85682060390764","117"
"2000","SLV","El Salvador","5.24","118"
"2005","SLV","El Salvador","5.70945682451254","119"
"2010","SLV","El Salvador","5.93","116"
"2015","SLV","El Salvador","6.532387508","114"
"2020","SLV","El Salvador","7.150929928","114"
"1913","GTM","Guatemala","1.09","48"
"1925","GTM","Guatemala","1.1472373540856","54"
"1929","GTM","Guatemala","1.2","58"
"1933","GTM","Guatemala","1.32517374517375","61"
"1938","GTM","Guatemala","1.42","60"
"1950","GTM","Guatemala","1.68","80"
"1955","GTM","Guatemala","1.76649446494465","85"
"1960","GTM","Guatemala","1.84","95"
"1965","GTM","Guatemala","1.82153846153846","98"
"1970","GTM","Guatemala","2","103"
"1975","GTM","Guatemala","2.10655021834061","107"
"1980","GTM","Guatemala","2.8","122"
"1985","GTM","Guatemala","3.36769953051643","122"
"1990","GTM","Guatemala","4.01","123"
"1995","GTM","Guatemala","4.44744429882045","124"
"2000","GTM","Guatemala","4.92","122"
"2005","GTM","Guatemala","4.77132641291811","126"
"2010","GTM","Guatemala","5.5","124"
"2015","GTM","Guatemala","6.302370007","117"
"2020","GTM","Guatemala","5.681300163","129"
"1950","GUY","Guyana","4.41247628105","39"
"1955","GUY","Guyana","4.75191757663358","38"
"1960","GUY","Guyana","5.07051712846","39"
"1965","GUY","Guyana","5.37250780168973","41"
"1970","GUY","Guyana","5.63379765824","45"
"1975","GUY","Guyana","6.07019281001383","46"
"1980","GUY","Guyana","6.57693787846","62"
"1985","GUY","Guyana","7.07077635995786","63"
"1990","GUY","Guyana","7.39993882725","67"
"1995","GUY","Guyana","7.92871777590497","68"
"2000","GUY","Guyana","8.31296280677","69"
"2005","GUY","Guyana","8.67803787798541","67"
"2010","GUY","Guyana","8.94113835604","69"
"2015","GUY","Guyana","8.416544665","86"
"2020","GUY","Guyana","8.617477","98"
"1950","HTI","Haití","0.912502713063","108"
"1955","HTI","Haití","0.97264527535159","112"
"1960","HTI","Haití","1.10537330595","113"
"1965","HTI","Haití","1.20588504234874","114"
"1970","HTI","Haití","1.40794499284","115"
"1975","HTI","Haití","1.59441890007729","118"
"1980","HTI","Haití","1.96159361599","137"
"1985","HTI","Haití","2.70379493900967","129"
"1990","HTI","Haití","3.02295351647","134"
"1995","HTI","Haití","3.27172013397629","136"
"2000","HTI","Haití","3.45371695283","138"
"2005","HTI","Haití","3.91513140478605","138"
"2010","HTI","Haití","4.2300336628","140"
"2015","HTI","Haití","5.179501441","132"
"2020","HTI","Haití","5.554","131"
"1913","HND","Honduras","1.46","37"
"1925","HND","Honduras","1.56772058823529","45"
"1929","HND","Honduras","1.58","48"
"1933","HND","Honduras","1.575","51"
"1938","HND","Honduras","1.57","57"
"1950","HND","Honduras","1.67","81"
"1955","HND","Honduras","1.75491573033708","86"
"1960","HND","Honduras","1.9","93"
"1965","HND","Honduras","2.66823529411765","84"
"1970","HND","Honduras","3.5","78"
"1975","HND","Honduras","3.42978151260504","89"
"1980","HND","Honduras","4.23","99"
"1985","HND","Honduras","4.78018801410106","103"
"1990","HND","Honduras","4.83","114"
"1995","HND","Honduras","5.12026565464896","113"
"2000","HND","Honduras","5.43","113"
"2005","HND","Honduras","5.71423986486486","118"
"2010","HND","Honduras","5.79","120"
"2015","HND","Honduras","6.16954","119"
"2020","HND","Honduras","7.088479996","116"
"1870","JAM","Jamaica","0.507","38"
"1880","JAM","Jamaica","0.699","39"
"1890","JAM","Jamaica","1.192","31"
"1900","JAM","Jamaica","1.657","28"
"1913","JAM","Jamaica","2.241","25"
"1925","JAM","Jamaica","2.55499111900533","30"
"1929","JAM","Jamaica","2.562","32"
"1933","JAM","Jamaica","2.74465329052969","33"
"1938","JAM","Jamaica","2.901","34"
"1950","JAM","Jamaica","3.131","54"
"1955","JAM","Jamaica","3.9115509383378","44"
"1960","JAM","Jamaica","4.82","42"
"1965","JAM","Jamaica","5.35761741122566","42"
"1970","JAM","Jamaica","5.81","42"
"1975","JAM","Jamaica","6.47031078610603","41"
"1980","JAM","Jamaica","7.25","54"
