"anio","geocodigoFundar","geonombreFundar","pib_pc","ranking"
"1870","ARG","Argentina","1559.55379738376","16"
"1880","ARG","Argentina","1687.98869434032","16"
"1890","ARG","Argentina","3115.99158472919","8"
"1900","ARG","Argentina","2877.17541911681","11"
"1913","ARG","Argentina","3962.25676052043","9"
"1925","ARG","Argentina","4090.71353285928","10"
"1929","ARG","Argentina","4558.18164187427","10"
"1933","ARG","Argentina","3780.14510874928","11"
"1938","ARG","Argentina","4246.12784375987","14"
"1950","ARG","Argentina","5203.51385427776","18"
"1955","ARG","Argentina","5460.46301555506","21"
"1960","ARG","Argentina","5802.53590646835","24"
"1965","ARG","Argentina","6651.48539475533","25"
"1970","ARG","Argentina","7623.19215302597","28"
"1975","ARG","Argentina","8073.9109194055","27"
"1980","ARG","Argentina","8367.40899770681","37"
"1985","ARG","Argentina","7020.33631359049","44"
"1990","ARG","Argentina","6432.92166121807","53"
"1995","ARG","Argentina","7930.6701462566","41"
"2000","ARG","Argentina","8509.05993721277","44"
"2005","ARG","Argentina","8866.95749222115","48"
"2010","ARG","Argentina","10687.0591802576","47"
"2015","ARG","Argentina","10915.0665638963","50"
"2020","ARG","Argentina","8979.94061892487","62"
"1950","BHS","Bahamas","10800","4"
"1955","BHS","Bahamas","9576.34971654872","6"
"1960","BHS","Bahamas","8515.73638580785","11"
"1965","BHS","Bahamas","10955.365179077","6"
"1970","BHS","Bahamas","12087.3745526981","8"
"1975","BHS","Bahamas","8124.89146285516","26"
"1980","BHS","Bahamas","12863.6610125718","22"
"1985","BHS","Bahamas","15002.6457999241","14"
"1990","BHS","Bahamas","15354.0856031128","19"
"1995","BHS","Bahamas","13981.8284521245","23"
"2000","BHS","Bahamas","16806.2164956265","23"
"2005","BHS","Bahamas","16506.2055111306","30"
"2010","BHS","Bahamas","14886.4520186439","30"
"2015","BHS","Bahamas","13666.2053865425","38"
"2020","BHS","Bahamas","10501.6366348819","52"
"1950","BRB","Barbados","2123.22274881517","47"
"1955","BRB","Barbados","2592.69176567265","44"
"1960","BRB","Barbados","3335.25114090652","35"
"1965","BRB","Barbados","4057.75589281303","39"
"1970","BRB","Barbados","6396.71440385361","30"
"1975","BRB","Barbados","6414.60933250402","35"
"1980","BRB","Barbados","8081.11609311878","38"
"1985","BRB","Barbados","7593.46275173495","40"
"1990","BRB","Barbados","8152","40"
"1995","BRB","Barbados","7673.67815034796","44"
"2000","BRB","Barbados","8736.71497285242","43"
"2005","BRB","Barbados","9079.42171940859","47"
"2010","BRB","Barbados","9460.82822395112","53"
"2015","BRB","Barbados","9480.86644979976","56"
"2020","BRB","Barbados","8204.25416045025","63"
"1950","BLZ","Belice","1666.66666666667","61"
"1955","BLZ","Belice","1533.38011224938","73"
"1960","BLZ","Belice","1412.70345589962","83"
"1965","BLZ","Belice","1561.24952744271","87"
"1970","BLZ","Belice","1768.91087235499","87"
"1975","BLZ","Belice","2303.97988515817","82"
"1980","BLZ","Belice","3048.22601911387","91"
"1985","BLZ","Belice","2737.37588952116","96"
"1990","BLZ","Belice","3848.16753926702","79"
"1995","BLZ","Belice","4667.41042269187","68"
"2000","BLZ","Belice","5231.85401577739","68"
"2005","BLZ","Belice","5917.54850550426","70"
"2010","BLZ","Belice","5925.24678077821","77"
"2015","BLZ","Belice","6108.93598896035","79"
"2020","BLZ","Belice","4896.73549782212","90"
"1870","BOL","Bolivia","858.315880963481","41"
"1880","BOL","Bolivia","888.749671940863","41"
"1890","BOL","Bolivia","924.419352885391","46"
"1900","BOL","Bolivia","992.614223180215","47"
