anio,vbp_ssi_2022,prop_ssi_total
2003,348265,
2004,407709,0.0032849994967721
2005,445642,0.0032954030622792
2006,563004,0.0038412603717073
2007,600822,0.003772804395551
2008,654232,0.0039703668674938
2009,718331,0.0046299801880363
2010,693397,0.0040436231571115
2011,781184,0.0042852551395815
2012,781102,0.0043451394196885
2013,817544,0.0044430095152507
2014,784504,0.004368028893325
2015,790800,0.0042986129073978
2016,910431,0.0050817576652998
2017,911373,0.0049375982391674
2018,968429,0.0053902341114978
2019,1076703,0.0061573223280214
2020,1143456,0.007254705312387
2021,1265048,0.0071774916830699
2022,1192501,0.0064677018172667
