anio,sector,prop_mujeres
2007,SBC,0.384660708137432
2007,Total economia,0.301125835
2008,SBC,0.388556491340856
2008,Total economia,0.306189186666667
2009,SBC,0.401199194201491
2009,Total economia,0.312776610833333
2010,SBC,0.391844187409651
2010,Total economia,0.314684763333333
2011,SBC,0.388508912064581
2011,Total economia,0.314611916666667
2012,SBC,0.392134815621563
2012,Total economia,0.3177227425
2013,SBC,0.392037077520684
2013,Total economia,0.31918509
2014,SBC,0.396291286916697
2014,Total economia,0.321327196666667
2015,SBC,0.394226229696891
2015,Total economia,0.322410198333333
2016,SBC,0.405197724823425
2016,Total economia,0.3281190625
2017,SBC,0.401962283749831
2017,Total economia,0.327892988333333
2018,SBC,0.402561618369751
2018,Total economia,0.329206898333333
2019,SBC,0.406792354983528
2019,Total economia,0.331670101666667
2020,SBC,0.3932360139504
2020,Total economia,0.333854354166667
2021,SBC,0.386646388769175
2021,Total economia,0.3303332025
2022,SBC,0.398483490078982
2022,Total economia,0.333929940833333
2023,SBC,0.404597200225881
2023,Total economia,0.338032808888889
