"anio","sector","prop_teletrabajo"
2016,"SBC",0.113657305828014
2016,"SSI",0.117738664700232
2016,"Total",0.0104281574196789
2017,"SBC",0.13839791784357
2017,"SSI",0.151249618216095
2017,"Total",0.0128796094800601
2018,"SBC",0.157748042736883
2018,"SSI",0.149736340098438
2018,"Total",0.0130894234675797
2019,"SBC",0.159092205130217
2019,"SSI",0.200838168923275
2019,"Total",0.0155101226426377
2020,"SBC",0.347830768750585
2020,"SSI",0.374028767364462
2020,"Total",0.0973489505281113
2021,"SBC",0.403413175002442
2021,"SSI",0.477442644449038
2021,"Total",0.0856720814219181
2022,"SBC",0.349253069175153
2022,"SSI",0.522677304604502
2022,"Total",0.0416891863520573
