"anio","sector","balanza","exportaciones","importaciones"
"2006","SBC",200.3963856925,2521.420877376,2321.0244916835
"2007","SBC",359.301849914,3307.066349365,2947.764499451
"2008","SBC",475.75628921,4251.379841166,3775.623551956
"2009","SBC",403.170159426,4360.837830503,3957.667671077
"2010","SBC",529.7930944717,5031.5828706,4501.7897761283
"2011","SBC",496.5361077413,6139.965268422,5643.4291606807
"2012","SBC",412.4726833423,6208.098533287,5795.6258499447
"2013","SBC",-299.703299813,5949.95120578,6249.654505593
"2014","SBC",-573.454048484,5313.145712425,5886.599760909
"2015","SBC",-426.1957578996,5390.261611723,5816.4573696226
"2016","SBC",-260.1303000253,5816.046159684,6076.1764597093
"2017","SBC",378.86663809,7367.738243773,6988.871605683
"2018","SBC",61.3131022079997,6951.349026081,6890.035923873
"2019","SBC",451.916816205,6783.780944376,6331.864128171
"2020","SBC",122.046067746,5821.618277538,5699.572209792
"2021","SBC",41.4422230369998,6717.989928377,6676.54770534
"2022","SBC",315.5594495055,8047.51576442,7731.9563149145
"2006","Propiedad intelectual",-814.3116989,80.512422812,894.824121712
"2007","Propiedad intelectual",-1077.9882225,96.694187453,1174.682409953
"2008","Propiedad intelectual",-1432.3590769,99.367650402,1531.726727302
"2009","Propiedad intelectual",-1420.9298711,105.965489617,1526.895360717
"2010","Propiedad intelectual",-1560.0245886,152.187821078,1712.212409678
"2011","Propiedad intelectual",-1923.742723,155.396388284,2079.139111284
"2012","Propiedad intelectual",-2058.8407798,158.152120053,2216.992899853
"2013","Propiedad intelectual",-2149.3676409,179.90242157,2329.27006247
"2014","Propiedad intelectual",-1924.7911521,174.205013477,2098.996165577
"2015","Propiedad intelectual",-2016.3201766,161.74594696,2178.06612356
"2016","Propiedad intelectual",-1939.5809396,168.807424708,2108.388364308
"2017","Propiedad intelectual",-1993.8533487,356.498295971,2350.351644671
"2018","Propiedad intelectual",-1733.1922521,321.051040765,2054.243292865
"2019","Propiedad intelectual",-1404.4948177,284.486041246,1688.980858946
"2020","Propiedad intelectual",-937.681635,209.352775989,1147.034410989
"2021","Propiedad intelectual",-1152.7785518,204.996325595,1357.774877395
"2022","Propiedad intelectual",-1556.5383855,204.704856724,1761.243242224
"2006","SSI",121.2613149908,338.380322309,217.1190073182
"2007","SSI",273.549846137,551.61244237,278.062596233
"2008","SSI",460.908628203,816.85141827,355.942790067
"2009","SSI",542.86309099,929.18292961,386.31983862
"2010","SSI",712.89355252,1142.67162589,429.77807337
"2011","SSI",1005.80667103,1529.50489145,523.69822042
"2012","SSI",925.34915025,1533.43452008,608.08536983
"2013","SSI",768.05062411,1475.77031358,707.71968947
"2014","SSI",511.036265116,1214.3707178,703.334452684
"2015","SSI",643.503420103,1327.53431069,684.030890587
"2016","SSI",678.13651382,1458.73958406,780.60307024
"2017","SSI",1005.78413564,2020.31052698,1014.52639134
"2018","SSI",1001.1789147,2051.56006178,1050.38114708
"2019","SSI",819.85520285,1920.01608929,1100.16088644
"2020","SSI",603.198095574,1838.45264695,1235.254551376
"2021","SSI",488.155483307,2197.16822199,1709.012738683
"2022","SSI",754.9896796,2624.69515137,1869.70547177
"2006","Investigación y desarrollo",106.637260245,123.311501232,16.674240987
"2007","Investigación y desarrollo",126.901831822,147.77473624,20.872904418
