"iso3","anio","prop_expo"
"AFG",2008,9.62170169892756e-05
"AFG",2009,9.54939554997753e-05
"AFG",2010,1.94276383186223e-05
"AFG",2011,1.40619225727773e-05
"AFG",2012,4.81593187779164e-05
"AFG",2013,2.82668127291953e-05
"AFG",2014,9.24529096726786e-05
"AFG",2015,8.18608865121838e-06
"AFG",2016,6.599399509881e-06
"AFG",2017,4.02360427457438e-07
"AFG",2018,6.11394454673597e-06
"AFG",2019,3.14497003505093e-06
"AFG",2020,2.68702281062032e-08
"ALB",2005,1.90568864273486e-05
"ALB",2006,6.39805936332298e-06
"ALB",2007,1.14490876161679e-05
"ALB",2008,8.44587166057853e-05
"ALB",2009,5.30920637865342e-05
"ALB",2010,2.17230034153421e-05
"ALB",2011,3.3537301130539e-05
"ALB",2012,4.87110983239512e-05
"ALB",2013,2.82469251967874e-05
"ALB",2014,3.55009527081215e-05
"ALB",2015,3.06405436260444e-05
"ALB",2016,1.65568165262284e-05
"ALB",2017,5.60378340786177e-05
"ALB",2018,8.85291165202659e-05
"ALB",2019,9.41593030855096e-05
"ALB",2020,9.42086003420017e-05
"ALB",2021,0.000125949020819402
"ALB",2022,0.000181196469135508
"DZA",2005,6.91600773998986e-05
"DZA",2006,0.000167602921818256
"DZA",2007,0.000127931160768411
"DZA",2008,8.21278377422599e-05
"DZA",2009,6.77820804728139e-05
"DZA",2010,3.47739515652699e-05
"DZA",2011,6.87689486694372e-05
"DZA",2012,7.17828404088192e-05
"DZA",2013,4.71665976942366e-05
"DZA",2014,5.0127942361031e-05
"DZA",2015,6.9420240487769e-05
"DZA",2016,9.75859417044755e-05
"DZA",2017,9.26063005643858e-05
"DZA",2018,6.97449975298686e-05
"DZA",2019,6.73002301747701e-05
"DZA",2020,3.6350676822733e-05
"DZA",2021,3.25741440777317e-05
"DZA",2022,3.17079697443408e-05
"AGO",2005,0
"AGO",2006,0
"AGO",2007,0
"AGO",2008,0
"AGO",2012,0
"AGO",2013,0
"AGO",2014,0
"AGO",2015,0
"AGO",2016,0
"AGO",2017,0
"AGO",2018,0
"AGO",2019,0
"AGO",2020,0
"AGO",2021,0
"AGO",2022,0
"ARG",2005,0.00203339272565377
"ARG",2006,0.00246580333412441
"ARG",2007,0.00325538872068536
"ARG",2008,0.00394771040959901
"ARG",2009,0.00456695455520859
"ARG",2010,0.00526676591525903
"ARG",2011,0.00587644286466549
"ARG",2012,0.00564078712115905
"ARG",2013,0.00489157061695176
"ARG",2014,0.0034862791073196
"ARG",2015,0.00366519764300389
"ARG",2016,0.0039567645051557
"ARG",2017,0.00492662543973917
"ARG",2018,0.00410576892775831
"ARG",2019,0.00340574889273454
"ARG",2020,0.00290297093090161
"ARG",2021,0.00287898194735829
"ARG",2022,0.00320450311858287
"ARM",2005,0.000194039835657993
