geocodigoFundar,geonombreFundar,anio,impo
NAM,Namibia,2015,0.0
AND,Andorra,2015,0.0
AND,Andorra,2016,0.0
AND,Andorra,2017,0.0
AND,Andorra,2018,0.0
AND,Andorra,2019,0.0
AND,Andorra,2020,0.0
AND,Andorra,2021,0.0
AND,Andorra,2022,0.0
ARE,Emiratos Árabes Unidos,2015,5.0
ARE,Emiratos Árabes Unidos,2016,0.1
ARE,Emiratos Árabes Unidos,2017,0.1
ARE,Emiratos Árabes Unidos,2018,0.0
ARE,Emiratos Árabes Unidos,2019,0.0
ARE,Emiratos Árabes Unidos,2020,13.4
ARE,Emiratos Árabes Unidos,2021,16.9
ARE,Emiratos Árabes Unidos,2022,0.0
AFG,Afganistán,2017,0.0
AFG,Afganistán,2019,0.0
ATG,Antigua y Barbuda,2017,0.0
ATG,Antigua y Barbuda,2018,0.0
ATG,Antigua y Barbuda,2019,0.0
ATG,Antigua y Barbuda,2020,0.0
ATG,Antigua y Barbuda,2021,0.0
ATG,Antigua y Barbuda,2022,0.0
AIA,Anguila,2017,0.0
AIA,Anguila,2018,0.0
AIA,Anguila,2020,0.0
AIA,Anguila,2021,0.0
AIA,Anguila,2022,0.0
ALB,Albania,2015,0.8
ALB,Albania,2016,0.0
ALB,Albania,2017,0.0
ALB,Albania,2018,0.0
ARM,Armenia,2017,0.0
ARM,Armenia,2018,0.0
ARM,Armenia,2021,0.0
ARM,Armenia,2022,0.0
AGO,Angola,2015,0.0
AGO,Angola,2016,0.0
AGO,Angola,2017,0.0
AGO,Angola,2018,0.0
AGO,Angola,2019,0.0
AGO,Angola,2020,0.0
AGO,Angola,2021,0.0
AGO,Angola,2022,0.0
ARG,Argentina,2021,0.0
ARG,Argentina,2022,0.0
AUT,Austria,2015,3.1
AUT,Austria,2016,3.6
AUT,Austria,2017,1.5
AUT,Austria,2018,1.3
AUT,Austria,2019,0.7
AUT,Austria,2020,0.6
AUT,Austria,2021,0.5
AUT,Austria,2022,0.5
AUS,Australia,2015,18.9
AUS,Australia,2016,14.3
AUS,Australia,2017,4.4
AUS,Australia,2018,9.2
AUS,Australia,2019,2.9
AUS,Australia,2020,9.1
AUS,Australia,2021,3.7
AUS,Australia,2022,3.9
ABW,Aruba,2015,0.0
ABW,Aruba,2016,0.0
ABW,Aruba,2017,0.0
ABW,Aruba,2018,0.0
ABW,Aruba,2019,0.0
ABW,Aruba,2020,0.0
ABW,Aruba,2021,0.0
ABW,Aruba,2022,0.0
AZE,Azerbaiyán,2015,0.0
AZE,Azerbaiyán,2016,0.0
AZE,Azerbaiyán,2017,0.0
AZE,Azerbaiyán,2018,0.0
AZE,Azerbaiyán,2019,0.0
AZE,Azerbaiyán,2020,0.0
AZE,Azerbaiyán,2021,0.0
BIH,Bosnia y Herzegovina,2015,0.0
BIH,Bosnia y Herzegovina,2016,0.0
BIH,Bosnia y Herzegovina,2017,0.0
BIH,Bosnia y Herzegovina,2018,0.0
BIH,Bosnia y Herzegovina,2019,0.0
BIH,Bosnia y Herzegovina,2022,0.0
BRB,Barbados,2015,12.7
BRB,Barbados,2016,0.0
BRB,Barbados,2017,0.0
BRB,Barbados,2018,0.0
BRB,Barbados,2019,0.0
BRB,Barbados,2020,0.0
BRB,Barbados,2021,0.0
BRB,Barbados,2022,0.0
BGD,Bangladesh,2015,0.0
BGD,Bangladesh,2016,0.0
BGD,Bangladesh,2017,0.0
BGD,Bangladesh,2018,0.0
BGD,Bangladesh,2019,0.0
BGD,Bangladesh,2020,0.0
BGD,Bangladesh,2021,0.0
BGD,Bangladesh,2022,0.0
BEL,Bélgica,2015,22.6
BEL,Bélgica,2016,98.6
BEL,Bélgica,2017,73.6
BEL,Bélgica,2018,69.4
BEL,Bélgica,2019,70.4
BEL,Bélgica,2020,61.7
BEL,Bélgica,2021,43.7
BEL,Bélgica,2022,51.8
BFA,Burkina Faso,2017,0.0
BFA,Burkina Faso,2018,0.0
BFA,Burkina Faso,2019,0.0
BFA,Burkina Faso,2020,0.0
BGR,Bulgaria,2015,0.2
