geocodigoFundar,geonombreFundar,anio,valor_en_gw
AFG,Afganistán,2012,0.000100000005
AFG,Afganistán,2013,0.000100000005
AFG,Afganistán,2014,0.000100000005
AFG,Afganistán,2015,0.000100000005
AFG,Afganistán,2016,0.000100000005
AFG,Afganistán,2017,0.00040000002
AFG,Afganistán,2018,0.00040000002
AFG,Afganistán,2019,0.00040000002
AFG,Afganistán,2020,0.00040000002
AFG,Afganistán,2021,0.00040000002
AFG,Afganistán,2022,0.00040000002
AFG,Afganistán,2000,
AFG,Afganistán,2001,
AFG,Afganistán,2002,
AFG,Afganistán,2003,
AFG,Afganistán,2004,
AFG,Afganistán,2005,
AFG,Afganistán,2006,
AFG,Afganistán,2007,
AFG,Afganistán,2008,
AFG,Afganistán,2009,
AFG,Afganistán,2010,
AFG,Afganistán,2011,
DZA,Argelia,2012,
DZA,Argelia,2013,
DZA,Argelia,2014,0.0102
DZA,Argelia,2015,0.0102
DZA,Argelia,2016,0.0102
DZA,Argelia,2017,0.0102
DZA,Argelia,2018,0.010000001
DZA,Argelia,2019,0.010000001
DZA,Argelia,2020,0.010000001
DZA,Argelia,2021,0.010000001
DZA,Argelia,2022,0.010000001
DZA,Argelia,2000,
DZA,Argelia,2001,
DZA,Argelia,2002,
DZA,Argelia,2003,
DZA,Argelia,2004,
DZA,Argelia,2005,
DZA,Argelia,2006,
DZA,Argelia,2007,
DZA,Argelia,2008,
DZA,Argelia,2009,
DZA,Argelia,2010,
DZA,Argelia,2011,
ATG,Antigua y Barbuda,2012,
ATG,Antigua y Barbuda,2013,
ATG,Antigua y Barbuda,2014,
ATG,Antigua y Barbuda,2015,
ATG,Antigua y Barbuda,2016,
ATG,Antigua y Barbuda,2017,
ATG,Antigua y Barbuda,2018,
ATG,Antigua y Barbuda,2019,
ATG,Antigua y Barbuda,2020,0.004
ATG,Antigua y Barbuda,2021,0.004
ATG,Antigua y Barbuda,2022,0.004
ATG,Antigua y Barbuda,2000,
ATG,Antigua y Barbuda,2001,
ATG,Antigua y Barbuda,2002,
ATG,Antigua y Barbuda,2003,
ATG,Antigua y Barbuda,2004,
ATG,Antigua y Barbuda,2005,
ATG,Antigua y Barbuda,2006,
ATG,Antigua y Barbuda,2007,
ATG,Antigua y Barbuda,2008,
ATG,Antigua y Barbuda,2009,
ATG,Antigua y Barbuda,2010,
ATG,Antigua y Barbuda,2011,
ARG,Argentina,2012,0.13697901
ARG,Argentina,2013,0.18997902
ARG,Argentina,2014,0.21518701
ARG,Argentina,2015,0.18710402
ARG,Argentina,2016,0.187442
ARG,Argentina,2017,0.22674201
ARG,Argentina,2018,0.750342
ARG,Argentina,2019,1.609359
ARG,Argentina,2020,2.6239042
ARG,Argentina,2021,3.2921243
ARG,Argentina,2022,3.3093152
ARG,Argentina,2000,0.014112001
ARG,Argentina,2001,0.024829002
ARG,Argentina,2002,0.025798002
ARG,Argentina,2003,0.025729
ARG,Argentina,2004,0.027829003
ARG,Argentina,2005,0.027829003
ARG,Argentina,2006,0.027829003
ARG,Argentina,2007,0.027829003
ARG,Argentina,2008,0.027829003
ARG,Argentina,2009,0.027829003
ARG,Argentina,2010,0.027829003
ARG,Argentina,2011,0.059579
ARM,Armenia,2012,0.0026400003
ARM,Armenia,2013,0.0026400003
ARM,Armenia,2014,0.0026400003
ARM,Armenia,2015,0.0026
ARM,Armenia,2016,0.0029250002
ARM,Armenia,2017,0.0029250002
ARM,Armenia,2018,0.0029250002
ARM,Armenia,2019,0.0029250002
ARM,Armenia,2020,0.0029250002
ARM,Armenia,2021,0.0029250002
ARM,Armenia,2022,0.0029250002
ARM,Armenia,2000,
ARM,Armenia,2001,
ARM,Armenia,2002,
ARM,Armenia,2003,
ARM,Armenia,2004,
ARM,Armenia,2005,0.0026400003
ARM,Armenia,2006,0.0026400003
ARM,Armenia,2007,0.0026400003
ARM,Armenia,2008,0.0026400003
ARM,Armenia,2009,0.0026400003
ARM,Armenia,2010,0.0026400003
ARM,Armenia,2011,0.0026400003
ABW,Aruba,2012,0.030000001
ABW,Aruba,2013,0.030000001
ABW,Aruba,2014,0.030000001
ABW,Aruba,2015,0.030000001
ABW,Aruba,2016,0.030000001
ABW,Aruba,2017,0.030000001
ABW,Aruba,2018,0.030000001
ABW,Aruba,2019,0.030000001
ABW,Aruba,2020,0.030000001
ABW,Aruba,2021,0.030000001
ABW,Aruba,2022,0.030000001
ABW,Aruba,2000,
ABW,Aruba,2001,
ABW,Aruba,2002,
ABW,Aruba,2003,
ABW,Aruba,2004,
ABW,Aruba,2005,
ABW,Aruba,2006,
ABW,Aruba,2007,
ABW,Aruba,2008,
ABW,Aruba,2009,0.030000001
ABW,Aruba,2010,0.030000001
ABW,Aruba,2011,0.030000001
AUS,Australia,2012,2.561
AUS,Australia,2013,3.2210002
AUS,Australia,2014,3.7970002
AUS,Australia,2015,4.181
AUS,Australia,2016,4.3240004
AUS,Australia,2017,4.8120003
AUS,Australia,2018,5.4420004
AUS,Australia,2019,6.2790003
AUS,Australia,2020,8.603001
AUS,Australia,2021,8.9506
AUS,Australia,2022,10.134001
AUS,Australia,2000,0.033
AUS,Australia,2001,0.076000005
AUS,Australia,2002,0.106000006
AUS,Australia,2003,0.19000001
AUS,Australia,2004,0.379
AUS,Australia,2005,0.74
AUS,Australia,2006,0.81900007
AUS,Australia,2007,1.2490001
AUS,Australia,2008,1.4410001
AUS,Australia,2009,1.7030001
AUS,Australia,2010,1.8640001
AUS,Australia,2011,2.127
AUT,Austria,2012,1.3371501
AUT,Austria,2013,1.674538
AUT,Austria,2014,2.110275
AUT,Austria,2015,2.4887261
AUT,Austria,2016,2.7299962
AUT,Austria,2017,2.8866982
AUT,Austria,2018,3.132713
AUT,Austria,2019,3.224117
AUT,Austria,2020,3.225979
AUT,Austria,2021,3.4078112
AUT,Austria,2022,3.7358112
AUT,Austria,2000,0.05
AUT,Austria,2001,0.067
AUT,Austria,2002,0.109000005
AUT,Austria,2003,0.32200003
AUT,Austria,2004,0.58100003
AUT,Austria,2005,0.82521904
AUT,Austria,2006,0.96826905
AUT,Austria,2007,0.991159
AUT,Austria,2008,0.99197406
AUT,Austria,2009,1.000985
AUT,Austria,2010,1.015828
AUT,Austria,2011,1.105966
AZE,Azerbaiyán,2012,0.002
AZE,Azerbaiyán,2013,0.0027
AZE,Azerbaiyán,2014,0.0027
AZE,Azerbaiyán,2015,0.008
AZE,Azerbaiyán,2016,0.015700001
AZE,Azerbaiyán,2017,0.015700001
AZE,Azerbaiyán,2018,0.066
AZE,Azerbaiyán,2019,0.066
AZE,Azerbaiyán,2020,0.066
AZE,Azerbaiyán,2021,0.066
AZE,Azerbaiyán,2022,0.066
AZE,Azerbaiyán,2000,
AZE,Azerbaiyán,2001,
AZE,Azerbaiyán,2002,
AZE,Azerbaiyán,2003,
AZE,Azerbaiyán,2004,
AZE,Azerbaiyán,2005,
AZE,Azerbaiyán,2006,
AZE,Azerbaiyán,2007,
AZE,Azerbaiyán,2008,
AZE,Azerbaiyán,2009,0.002
AZE,Azerbaiyán,2010,0.002
AZE,Azerbaiyán,2011,0.002
BHR,Bahrein,2012,0.00068000006
BHR,Bahrein,2013,0.00068000006
BHR,Bahrein,2014,0.00068000006
BHR,Bahrein,2015,0.00068000006
BHR,Bahrein,2016,0.00068000006
BHR,Bahrein,2017,0.00068000006
BHR,Bahrein,2018,0.00068000006
BHR,Bahrein,2019,0.00068000006
BHR,Bahrein,2020,0.00068000006
BHR,Bahrein,2021,0.00068000006
BHR,Bahrein,2022,0.00074000005
BHR,Bahrein,2000,
BHR,Bahrein,2001,
BHR,Bahrein,2002,
BHR,Bahrein,2003,
BHR,Bahrein,2004,
BHR,Bahrein,2005,
BHR,Bahrein,2006,
BHR,Bahrein,2007,
BHR,Bahrein,2008,0.000675
BHR,Bahrein,2009,0.000675
BHR,Bahrein,2010,0.00068000006
BHR,Bahrein,2011,0.00068000006
BGD,Bangladesh,2012,0.0019
BGD,Bangladesh,2013,0.0019
BGD,Bangladesh,2014,0.0019
BGD,Bangladesh,2015,0.0029000002
BGD,Bangladesh,2016,0.0029000002
BGD,Bangladesh,2017,0.0029000002
BGD,Bangladesh,2018,0.0029000002
BGD,Bangladesh,2019,0.0029000002
BGD,Bangladesh,2020,0.0029000002
BGD,Bangladesh,2021,0.0029000002
BGD,Bangladesh,2022,0.0029000002
BGD,Bangladesh,2000,
BGD,Bangladesh,2001,
BGD,Bangladesh,2002,
BGD,Bangladesh,2003,
BGD,Bangladesh,2004,
BGD,Bangladesh,2005,
BGD,Bangladesh,2006,0.00090000004
BGD,Bangladesh,2007,0.00090000004
BGD,Bangladesh,2008,0.0019
BGD,Bangladesh,2009,0.0019
BGD,Bangladesh,2010,0.0019
BGD,Bangladesh,2011,0.0019
BRB,Barbados,2012,4.0000003e-05
BRB,Barbados,2013,4.0000003e-05
BRB,Barbados,2014,4.0000003e-05
BRB,Barbados,2015,4.0000003e-05
BRB,Barbados,2016,6.0000002e-05
BRB,Barbados,2017,6.0000002e-05
BRB,Barbados,2018,6.0000002e-05
BRB,Barbados,2019,6.0000002e-05
BRB,Barbados,2020,6.0000002e-05
BRB,Barbados,2021,6.0000002e-05
BRB,Barbados,2022,0.00116
BRB,Barbados,2000,4.0000003e-05
BRB,Barbados,2001,4.0000003e-05
BRB,Barbados,2002,4.0000003e-05
BRB,Barbados,2003,4.0000003e-05
BRB,Barbados,2004,4.0000003e-05
BRB,Barbados,2005,4.0000003e-05
BRB,Barbados,2006,4.0000003e-05
BRB,Barbados,2007,4.0000003e-05
BRB,Barbados,2008,4.0000003e-05
BRB,Barbados,2009,4.0000003e-05
BRB,Barbados,2010,4.0000003e-05
BRB,Barbados,2011,4.0000003e-05
BLR,Belarús,2012,0.0050000004
BLR,Belarús,2013,0.007
BLR,Belarús,2014,0.009000001
BLR,Belarús,2015,0.022000002
BLR,Belarús,2016,0.062000003
BLR,Belarús,2017,0.08400001
BLR,Belarús,2018,0.09200001
BLR,Belarús,2019,0.112
BLR,Belarús,2020,0.112
BLR,Belarús,2021,0.111700006
BLR,Belarús,2022,0.111700006
BLR,Belarús,2000,0.00025
BLR,Belarús,2001,0.0006
BLR,Belarús,2002,0.0011000001
BLR,Belarús,2003,0.0011000001
BLR,Belarús,2004,0.0011000001
BLR,Belarús,2005,0.0011000001
BLR,Belarús,2006,0.0011000001
BLR,Belarús,2007,0.0019
BLR,Belarús,2008,0.0019
BLR,Belarús,2009,0.0019
BLR,Belarús,2010,0.0019
BLR,Belarús,2011,0.002
BEL,Bélgica,2012,1.3669001
BEL,Bélgica,2013,1.769
BEL,Bélgica,2014,1.9327
BEL,Bélgica,2015,2.1813002
BEL,Bélgica,2016,2.3338
BEL,Bélgica,2017,2.7794
BEL,Bélgica,2018,3.3049002
BEL,Bélgica,2019,3.8635
BEL,Bélgica,2020,4.6727004
BEL,Bélgica,2021,4.9484
BEL,Bélgica,2022,5.2514
BEL,Bélgica,2000,0.014
BEL,Bélgica,2001,0.026
BEL,Bélgica,2002,0.031000001
BEL,Bélgica,2003,0.067
BEL,Bélgica,2004,0.096
BEL,Bélgica,2005,0.16700001
BEL,Bélgica,2006,0.21200001
BEL,Bélgica,2007,0.27600002
BEL,Bélgica,2008,0.324
BEL,Bélgica,2009,0.60800004
BEL,Bélgica,2010,0.91200006
BEL,Bélgica,2011,1.069
BLZ,Belice,2012,2.0000001e-05
BLZ,Belice,2013,2.0000001e-05
BLZ,Belice,2014,2.0000001e-05
BLZ,Belice,2015,2.0000001e-05
BLZ,Belice,2016,2.0000001e-05
BLZ,Belice,2017,2.0000001e-05
BLZ,Belice,2018,2.0000001e-05
BLZ,Belice,2019,2.0000001e-05
BLZ,Belice,2020,2.0000001e-05
BLZ,Belice,2021,2.0000001e-05
