"anio","iso3","valor_en_gw"
"2009","AFG","2.0000002e-06"
"2010","AFG","0.000102000005"
"2011","AFG","0.000120000004"
"2012","AFG","0.016122"
"2013","AFG","0.016843"
"2014","AFG","0.018363"
"2015","AFG","0.018932"
"2016","AFG","0.020170001"
"2017","AFG","0.022023002"
"2018","AFG","0.021555"
"2019","AFG","0.031089002"
"2020","AFG","0.030521002"
"2021","AFG","0.030521002"
"2022","AFG","0.032538"
"2000","AFG",
"2001","AFG",
"2002","AFG",
"2003","AFG",
"2004","AFG",
"2005","AFG",
"2006","AFG",
"2007","AFG",
"2008","AFG",
"2009","ALB","3e-04"
"2010","ALB","0.00040000002"
"2011","ALB","0.00056400005"
"2012","ALB","0.00067900005"
"2013","ALB","0.00075800007"
"2014","ALB","0.0008740001"
"2015","ALB","0.00105"
"2016","ALB","0.001"
"2017","ALB","0.001"
"2018","ALB","0.001"
"2019","ALB","0.014"
"2020","ALB","0.021000002"
"2021","ALB","0.023000002"
"2022","ALB","0.028600002"
"2000","ALB",
"2001","ALB","0.000100000005"
"2002","ALB","0.00020000001"
"2003","ALB","0.00020000001"
"2004","ALB","0.00020000001"
"2005","ALB","0.00020000001"
"2006","ALB","0.00020000001"
"2007","ALB","0.00020000001"
"2008","ALB","0.00020000001"
"2009","DZA",
"2010","DZA","0.025"
"2011","DZA","0.025"
"2012","DZA","0.025"
"2013","DZA","0.025"
"2014","DZA","0.0283"
"2015","DZA","0.091296"
"2016","DZA","0.33039603"
"2017","DZA","0.42339602"
"2018","DZA","0.44839603"
"2019","DZA","0.44839603"
"2020","DZA","0.44839603"
"2021","DZA","0.44839603"
"2022","DZA","0.46039602"
"2000","DZA",
"2001","DZA",
"2002","DZA",
"2003","DZA",
"2004","DZA",
"2005","DZA",
"2006","DZA",
"2007","DZA",
"2008","DZA",
"2009","ASM",
"2010","ASM",
"2011","ASM",
"2012","ASM","0.002416"
"2013","ASM","0.002416"
"2014","ASM","0.002416"
"2015","ASM","0.002416"
"2016","ASM","0.00392"
"2017","ASM","0.0042700004"
"2018","ASM","0.00516"
"2019","ASM","0.00516"
"2020","ASM","0.00516"
"2021","ASM","0.00516"
"2022","ASM","0.00516"
"2000","ASM",
"2001","ASM",
"2002","ASM",
"2003","ASM",
