geocodigoFundar,geonombreFundar,anio,valor_en_porcentaje
GBR,Reino Unido,1965,2.442916
GBR,Reino Unido,1966,3.040986
GBR,Reino Unido,1967,3.4573169
GBR,Reino Unido,1968,3.5381756
GBR,Reino Unido,1969,3.6926992
GBR,Reino Unido,1970,3.4190855
GBR,Reino Unido,1971,3.5202503
GBR,Reino Unido,1972,3.673574
GBR,Reino Unido,1973,3.404124
GBR,Reino Unido,1974,4.2407827
GBR,Reino Unido,1975,4.079702
GBR,Reino Unido,1976,4.759385
GBR,Reino Unido,1977,5.044491
GBR,Reino Unido,1978,4.711753
GBR,Reino Unido,1979,4.645052
GBR,Reino Unido,1980,4.902943
GBR,Reino Unido,1981,5.2179065
GBR,Reino Unido,1982,6.0469975
GBR,Reino Unido,1983,6.7592278
GBR,Reino Unido,1984,7.263492
GBR,Reino Unido,1985,7.7404714
GBR,Reino Unido,1986,7.396672
GBR,Reino Unido,1987,6.8945527
GBR,Reino Unido,1988,7.82496
GBR,Reino Unido,1989,8.7464695
GBR,Reino Unido,1990,8.117698
GBR,Reino Unido,1991,8.425737
GBR,Reino Unido,1992,9.304894
GBR,Reino Unido,1993,10.514933
GBR,Reino Unido,1994,10.672816
GBR,Reino Unido,1995,10.679225
GBR,Reino Unido,1996,10.681777
GBR,Reino Unido,1997,11.414352
GBR,Reino Unido,1998,11.634089
GBR,Reino Unido,1999,11.335975
GBR,Reino Unido,2000,10.194643
GBR,Reino Unido,2001,10.520065
GBR,Reino Unido,2002,10.64097
GBR,Reino Unido,2003,10.484807
GBR,Reino Unido,2004,9.828594
GBR,Reino Unido,2005,10.196096
GBR,Reino Unido,2006,9.813735
GBR,Reino Unido,2007,8.99011
GBR,Reino Unido,2008,8.441787
GBR,Reino Unido,2009,11.170614
GBR,Reino Unido,2010,10.341919
GBR,Reino Unido,2011,12.718905
GBR,Reino Unido,2012,13.2539835
GBR,Reino Unido,2013,14.725645
GBR,Reino Unido,2014,16.250021
GBR,Reino Unido,2015,18.923151
GBR,Reino Unido,2016,19.29581
GBR,Reino Unido,2017,20.920961
GBR,Reino Unido,2018,21.838362
GBR,Reino Unido,2019,22.630589
GBR,Reino Unido,2020,26.367626
GBR,Reino Unido,2021,23.89951
GBR,Reino Unido,2022,25.527786
GBR,Reino Unido,2023,25.781885
FRA,Francia,1965,10.479143
FRA,Francia,1966,11.592111
FRA,Francia,1967,9.713719
FRA,Francia,1968,10.451939
FRA,Francia,1969,10.059343
FRA,Francia,1970,10.274313
FRA,Francia,1971,9.253075
FRA,Francia,1972,9.44671
FRA,Francia,1973,8.570728
FRA,Francia,1974,9.902781
FRA,Francia,1975,11.5055685
FRA,Francia,1976,8.941665
FRA,Francia,1977,12.785724
FRA,Francia,1978,12.863886
FRA,Francia,1979,13.425851
FRA,Francia,1980,16.503122
FRA,Francia,1981,22.54984
FRA,Francia,1982,23.642761
FRA,Francia,1983,27.419838
FRA,Francia,1984,31.73101
FRA,Francia,1985,34.123978
FRA,Francia,1986,36.85994
FRA,Francia,1987,38.269566
FRA,Francia,1988,39.576088
FRA,Francia,1989,38.799824
FRA,Francia,1990,39.874287
FRA,Francia,1991,39.419643
FRA,Francia,1992,40.978287
FRA,Francia,1993,43.56541
FRA,Francia,1994,44.69205
FRA,Francia,1995,44.618286
FRA,Francia,1996,44.25515
FRA,Francia,1997,44.601162
FRA,Francia,1998,42.670567
FRA,Francia,1999,43.709286
FRA,Francia,2000,44.50427
FRA,Francia,2001,45.17849
FRA,Francia,2002,45.386734
FRA,Francia,2003,44.87714
FRA,Francia,2004,44.92906
FRA,Francia,2005,44.69806
FRA,Francia,2006,45.251892
FRA,Francia,2007,45.423016
FRA,Francia,2008,46.0379
FRA,Francia,2009,45.456776
FRA,Francia,2010,46.239697
FRA,Francia,2011,47.604855
FRA,Francia,2012,47.71401
FRA,Francia,2013,48.129074
FRA,Francia,2014,50.8118
FRA,Francia,2015,49.953346
FRA,Francia,2016,48.188892
FRA,Francia,2017,47.06813
FRA,Francia,2018,49.50656
FRA,Francia,2019,49.133205
FRA,Francia,2020,51.244648
FRA,Francia,2021,50.35634
FRA,Francia,2022,46.670742
FRA,Francia,2023,51.969982
BEL,Bélgica,1965,0.19477375
BEL,Bélgica,1966,0.22650358
BEL,Bélgica,1967,0.23236643
BEL,Bélgica,1968,0.19221336
BEL,Bélgica,1969,0.14537379
BEL,Bélgica,1970,0.16478363
BEL,Bélgica,1971,0.07485565
BEL,Bélgica,1972,0.10013115
BEL,Bélgica,1973,0.19139794
BEL,Bélgica,1974,0.2676896
BEL,Bélgica,1975,3.871629
BEL,Bélgica,1976,5.2734094
BEL,Bélgica,1977,6.416232
BEL,Bélgica,1978,6.437148
BEL,Bélgica,1979,5.7608137
BEL,Bélgica,1980,6.6043563
BEL,Bélgica,1981,7.1601987
BEL,Bélgica,1982,8.852228
BEL,Bélgica,1983,13.9216795
BEL,Bélgica,1984,15.309538
BEL,Bélgica,1985,18.222717
