"anio","iso3","valor_en_twh"
"1965","GBR","15.135"
"1966","GBR","20.217"
"1967","GBR","23.277"
"1968","GBR","26.19"
"1969","GBR","29.125"
"1970","GBR","26.012"
"1971","GBR","27.548"
"1972","GBR","29.378"
"1973","GBR","27.997"
"1974","GBR","33.617"
"1975","GBR","30.338"
"1976","GBR","36.155"
"1977","GBR","40.021"
"1978","GBR","37.224"
"1979","GBR","38.308"
"1980","GBR","37.023"
"1981","GBR","37.969"
"1982","GBR","43.972"
"1983","GBR","49.928"
"1984","GBR","53.979"
"1985","GBR","61.095"
"1986","GBR","59.079"
"1987","GBR","55.238"
"1988","GBR","63.456"
"1989","GBR","71.734"
"1990","GBR","65.75"
"1991","GBR","70.54"
"1992","GBR","76.81"
"1993","GBR","89.35"
"1994","GBR","88.28"
"1995","GBR","88.96"
"1996","GBR","94.67"
"1997","GBR","98.15"
"1998","GBR","99.49"
"1999","GBR","95.13"
"2000","GBR","85.06"
"2001","GBR","90.09"
"2002","GBR","87.85"
"2003","GBR","88.69"
"2004","GBR","80"
"2005","GBR","81.62"
"2006","GBR","75.45"
"2007","GBR","63.03"
"2008","GBR","52.49"
"2009","GBR","69.1"
"2010","GBR","62.14"
"2011","GBR","68.98"
"2012","GBR","70.41"
"2013","GBR","70.61"
"2014","GBR","63.75"
"2015","GBR","70.34"
"2016","GBR","71.73"
"2017","GBR","70.34"
"2018","GBR","65.06"
"2019","GBR","56.18"
"2020","GBR","50.28"
"2021","GBR","45.9"
"2022","GBR","47.72"
"2023","GBR","41.29"
"1965","IRL","0"
"1966","IRL","0"
"1967","IRL","0"
"1968","IRL","0"
"1969","IRL","0"
"1970","IRL","0"
"1971","IRL","0"
"1972","IRL","0"
"1973","IRL","0"
"1974","IRL","0"
"1975","IRL","0"
"1976","IRL","0"
"1977","IRL","0"
"1978","IRL","0"
"1979","IRL","0"
"1980","IRL","0"
"1981","IRL","0"
"1982","IRL","0"
"1983","IRL","0"
"1984","IRL","0"
"1985","IRL","0"
"1986","IRL","0"
"1987","IRL","0"
"1988","IRL","0"
"1989","IRL","0"
"1990","IRL","0"
"1991","IRL","0"
"1992","IRL","0"
"1993","IRL","0"
"1994","IRL","0"
"1995","IRL","0"
"1996","IRL","0"
"1997","IRL","0"
"1998","IRL","0"
"1999","IRL","0"
"2000","IRL","0"
"2001","IRL","0"
"2002","IRL","0"
"2003","IRL","0"
"2004","IRL","0"
"2005","IRL","0"
"2006","IRL","0"
"2007","IRL","0"
"2008","IRL","0"
"2009","IRL","0"
"2010","IRL","0"
"2011","IRL","0"
"2012","IRL","0"
"2013","IRL","0"
"2014","IRL","0"
"2015","IRL","0"
"2016","IRL","0"
"2017","IRL","0"
"2018","IRL","0"
"2019","IRL","0"
"2020","IRL","0"
"2021","IRL","0"
"2022","IRL","0"
"2023","IRL","0"
"1965","FRA","0.897"
"1966","FRA","1.395"
"1967","FRA","2.076"
"1968","FRA","3.085"
"1969","FRA","3.6"
"1970","FRA","5.711"
"1971","FRA","9.329"
"1972","FRA","14.591"
"1973","FRA","14.751"
"1974","FRA","14.71"
"1975","FRA","18.248"
"1976","FRA","15.778"
"1977","FRA","17.941"
"1978","FRA","30.452"
"1979","FRA","39.96"
"1980","FRA","61.251"
"1981","FRA","105.326"
"1982","FRA","108.919"
"1983","FRA","144.261"
"1984","FRA","191.234"
"1985","FRA","224.1"
"1986","FRA","254.155"
"1987","FRA","265.52"
"1988","FRA","275.521"
"1989","FRA","303.931"
"1990","FRA","314.08"
"1991","FRA","331.34"
"1992","FRA","338.45"
"1993","FRA","368.19"
"1994","FRA","359.98"
"1995","FRA","377.23"
"1996","FRA","397.34"
"1997","FRA","395.48"
"1998","FRA","387.99"
"1999","FRA","394.24"
"2000","FRA","415.16"
"2001","FRA","421.08"
"2002","FRA","436.76"
"2003","FRA","441.07"
"2004","FRA","448.24"
"2005","FRA","451.53"
"2006","FRA","450.19"
"2007","FRA","439.73"
"2008","FRA","439.45"
"2009","FRA","409.74"
"2010","FRA","428.52"
"2011","FRA","442.39"
"2012","FRA","425.41"
"2013","FRA","423.68"
"2014","FRA","436.48"
"2015","FRA","437.43"
"2016","FRA","403.2"
"2017","FRA","398.36"
"2018","FRA","412.94"
"2019","FRA","399.01"
"2020","FRA","353.83"
"2021","FRA","379.36"
"2022","FRA","294.73"
"2023","FRA","335.65"
"1965","BEL","0"
"1966","BEL","0.006"
"1967","BEL","0.094"
"1968","BEL","0.061"
"1969","BEL","0.022"
"1970","BEL","0.057"
"1971","BEL","0"
"1972","BEL","0.011"
"1973","BEL","0.076"
"1974","BEL","0.148"
"1975","BEL","6.784"
"1976","BEL","10.036"
"1977","BEL","11.939"
"1978","BEL","12.513"
"1979","BEL","11.407"
"1980","BEL","12.549"
"1981","BEL","12.859"
"1982","BEL","15.664"
"1983","BEL","24.106"
"1984","BEL","27.743"
"1985","BEL","34.601"
"1986","BEL","39.394"
"1987","BEL","41.967"
"1988","BEL","43.102"
"1989","BEL","41.217"
"1990","BEL","42.72"
"1991","BEL","42.86"
"1992","BEL","43.46"
"1993","BEL","41.93"
"1994","BEL","40.62"
"1995","BEL","41.36"
"1996","BEL","43.34"
"1997","BEL","47.41"
"1998","BEL","46.17"
"1999","BEL","49.02"
"2000","BEL","48.16"
"2001","BEL","46.35"
"2002","BEL","47.36"
"2003","BEL","47.38"
"2004","BEL","47.31"
"2005","BEL","47.6"
"2006","BEL","46.65"
"2007","BEL","48.23"
"2008","BEL","45.57"
"2009","BEL","47.22"
"2010","BEL","47.94"
"2011","BEL","48.23"
"2012","BEL","40.29"
"2013","BEL","42.64"
"2014","BEL","33.7"
"2015","BEL","26.1"
"2016","BEL","43.52"
"2017","BEL","42.23"
"2018","BEL","28.6"
"2019","BEL","43.52"
"2020","BEL","34.43"
"2021","BEL","50.33"
