"anio","iso3","valor_en_gco2_por_kwh"
"2000","AFG","249.99998"
"2001","AFG","217.39131"
"2002","AFG","169.01408"
"2003","AFG","241.75824"
"2004","AFG","227.84811"
"2005","AFG","219.5122"
"2006","AFG","255.55556"
"2007","AFG","227.72278"
"2008","AFG","256.41025"
"2009","AFG","123.595505"
"2010","AFG","147.72726"
"2011","AFG","194.8052"
"2012","AFG","147.72726"
"2013","AFG","180.18018"
"2014","AFG","129.31035"
"2015","AFG","118.644066"
"2016","AFG","115.702484"
"2017","AFG","126.98412"
"2018","AFG","153.84616"
"2019","AFG","149.5327"
"2020","AFG","125"
"2021","AFG","132.53012"
"2022","AFG","132.53012"
"2023","AFG",
"1990","AFG",
"1991","AFG",
"1992","AFG",
"1993","AFG",
"1994","AFG",
"1995","AFG",
"1996","AFG",
"1997","AFG",
"1998","AFG",
"1999","AFG",
"2000","ALB","48.625793"
"2001","ALB","51.49051"
"2002","ALB","61.994606"
"2003","ALB","36.32887"
"2004","ALB","39.639637"
"2005","ALB","33.39518"
"2006","ALB","35.714287"
"2007","ALB","42.40283"
"2008","ALB","23.936172"
"2009","ALB","23.076921"
"2010","ALB","23.778072"
"2011","ALB","33.412888"
"2012","ALB","23.305084"
"2013","ALB","24.42529"
"2014","ALB","23.305084"
"2015","ALB","23.7691"
"2016","ALB","23.136248"
"2017","ALB","24.282558"
"2018","ALB","23.391811"
"2019","ALB","23.076921"
"2020","ALB","24.482107"
"2021","ALB","23.437498"
"2022","ALB","24.285715"
"2023","ALB",
"1990","ALB",
"1991","ALB",
"1992","ALB",
"1993","ALB",
"1994","ALB",
"1995","ALB",
"1996","ALB",
"1997","ALB",
"1998","ALB",
"1999","ALB",
"2000","DZA","638.58264"
"2001","DZA","638.2419"
"2002","DZA","637.9747"
"2003","DZA","634.0886"
"2004","DZA","634.56"
"2005","DZA","629.3129"
"2006","DZA","635.8217"
"2007","DZA","635.92365"
"2008","DZA","635.34674"
"2009","DZA","634.5455"
"2010","DZA","636.99976"
"2011","DZA","633.3463"
"2012","DZA","632.7526"
"2013","DZA","635.9993"
"2014","DZA","637.0002"
"2015","DZA","637.4201"
"2016","DZA","636.40204"
"2017","DZA","634.1528"
"2018","DZA","633.03345"
"2019","DZA","632.9983"
"2020","DZA","633.6784"
"2021","DZA","634.52313"
"2022","DZA","634.611"
