"anio","iso3","valor_en_kwh_por_dolar"
"1980","AFG","0.50820976"
"1981","AFG","0.561018"
"1982","AFG","0.5849867"
"1983","AFG","0.6825386"
"1984","AFG","0.6729698"
"1985","AFG","0.65565634"
"1986","AFG","0.6497442"
"1987","AFG","1.1689829"
"1988","AFG","2.2481165"
"1989","AFG","2.3760397"
"1990","AFG","2.4296339"
"1991","AFG","1.154009"
"1992","AFG","0.72315145"
"1993","AFG","0.92585003"
"1994","AFG","1.1131392"
"1995","AFG","0.6036066"
"1996","AFG","0.6036235"
"1997","AFG","0.5854468"
"1998","AFG","0.57749987"
"1999","AFG","0.5859591"
"2000","AFG","0.5240796"
"2001","AFG","0.42318857"
"2002","AFG","0.23547938"
"2003","AFG","0.24710909"
"2004","AFG","0.21539715"
"2005","AFG","0.24227834"
"2006","AFG","0.26983196"
"2007","AFG","0.26594257"
"2008","AFG","0.43935668"
"2009","AFG","0.60195595"
"2010","AFG","0.70349663"
"2011","AFG","0.7876996"
"2012","AFG","0.6818223"
"2013","AFG","0.5311434"
"2014","AFG","0.44161993"
"2015","AFG","0.52153295"
"2016","AFG","0.46423474"
"2017","AFG","0.45358047"
"2018","AFG","0.5137799"
"2019","AFG","0.414777"
"2020","AFG","0.383562"
"2021","AFG","0.47909042"
"1965","AFG",
"1966","AFG",
"1967","AFG",
"1968","AFG",
"1969","AFG",
"1970","AFG",
"1971","AFG",
"1972","AFG",
"1973","AFG",
"1974","AFG",
"1975","AFG",
"1976","AFG",
"1977","AFG",
"1978","AFG",
"1979","AFG",
"2022","AFG",
"1980","ALB","4.779512"
"1981","ALB","4.633807"
"1982","ALB","4.5378914"
"1983","ALB","4.596843"
"1984","ALB","4.507273"
"1985","ALB","4.382778"
"1986","ALB","4.1707764"
"1987","ALB","4.078187"
"1988","ALB","4.0181684"
"1989","ALB","3.7244287"
"1990","ALB","2.599493"
"1991","ALB","3.0108917"
"1992","ALB","2.8212824"
"1993","ALB","2.2455046"
"1994","ALB","1.941014"
"1995","ALB","1.9591495"
"1996","ALB","2.0059123"
"1997","ALB","2.0729246"
"1998","ALB","2.0431833"
"1999","ALB","1.6172689"
"2000","ALB","1.9496664"
"2001","ALB","1.6910896"
"2002","ALB","1.7313477"
"2003","ALB","1.8309386"
"2004","ALB","1.8342515"
"2005","ALB","1.7027625"
"2006","ALB","1.5060503"
"2007","ALB","1.2200133"
"2008","ALB","1.2393216"
"2009","ALB","1.3079364"
"2010","ALB","1.3481714"
"2011","ALB","1.1478106"
"2012","ALB","1.1074826"
"2013","ALB","1.3760561"
"2014","ALB","1.1910152"
"2015","ALB","1.1659744"
"2016","ALB","1.318748"
"2017","ALB","1.1758795"
"2018","ALB","1.2889812"
"2019","ALB","1.0001737"
"2020","ALB","0.995568"
"2021","ALB","1.1544633"
"1965","ALB",
"1966","ALB",
"1967","ALB",
"1968","ALB",
"1969","ALB",
"1970","ALB",
"1971","ALB",
"1972","ALB",
"1973","ALB",
"1974","ALB",
"1975","ALB",
"1976","ALB",
"1977","ALB",
"1978","ALB",
"1979","ALB",
"2022","ALB",
"1980","DZA","1.8748927"
"1981","DZA","2.2216086"
"1982","DZA","2.4071338"
"1983","DZA","2.498992"
"1984","DZA","2.2743096"
"1985","DZA","2.1791906"
"1986","DZA","2.3290148"
"1987","DZA","2.4101179"
"1988","DZA","2.6369996"
"1989","DZA","2.4804795"
"1990","DZA","2.6728208"
"1991","DZA","2.5770588"
"1992","DZA","2.5021107"
"1993","DZA","2.2874165"
"1994","DZA","2.2484465"
"1995","DZA","2.1588056"
"1996","DZA","1.9793491"
"1997","DZA","1.8091089"
"1998","DZA","1.7134033"
"1999","DZA","1.6121469"
"2000","DZA","1.4382145"
"2001","DZA","1.3911582"
"2002","DZA","1.3121507"
"2003","DZA","1.2315814"
"2004","DZA","1.1786015"
"2005","DZA","1.1205951"
"2006","DZA","1.0969459"
"2007","DZA","1.075268"
"2008","DZA","1.0705112"
"2009","DZA","1.0731901"
"2010","DZA","0.97401655"
"2011","DZA","0.9636113"
"2012","DZA","1.0185672"
"2013","DZA","1.0480187"
"2014","DZA","1.1011007"
"2015","DZA","1.1196623"
"2016","DZA","1.0840266"
"2017","DZA","1.0808399"
"2018","DZA","1.1464827"
"2019","DZA","1.1770518"
"2020","DZA","1.1591206"
"2021","DZA","1.2145873"
"1965","DZA","0.69633406"
"1966","DZA","0.87916917"
"1967","DZA","0.76149297"
"1968","DZA","0.73254794"
"1969","DZA","0.7389528"
"1970","DZA","0.7359777"
"1971","DZA","0.8694045"
"1972","DZA","0.8074641"
"1973","DZA","0.9326213"
"1974","DZA","0.9724495"
"1975","DZA","1.0845491"
"1976","DZA","1.1873028"
"1977","DZA","1.1958504"
"1978","DZA","1.3320358"
"1979","DZA","1.6014444"
"2022","DZA","1.1494575"
"1980","AGO","1.6558344"
"1981","AGO","1.6757332"
"1982","AGO","1.8844619"
"1983","AGO","2.083437"
"1984","AGO","1.8733537"
"1985","AGO","2.2949479"
"1986","AGO","2.4913905"
"1987","AGO","2.308001"
"1988","AGO","2.0813792"
"1989","AGO","1.9816961"
"1990","AGO","2.031873"
"1991","AGO","1.9815141"
"1992","AGO","2.0070348"
"1993","AGO","2.4396422"
"1994","AGO","2.208811"
"1995","AGO","1.9397461"
"1996","AGO","1.5489525"
"1997","AGO","1.5314792"
"1998","AGO","1.2445397"
"1999","AGO","1.2844467"
"2000","AGO","1.380053"
"2001","AGO","1.3543695"
"2002","AGO","1.1961315"
"2003","AGO","1.1876988"
"2004","AGO","1.1154686"
"2005","AGO","0.7548868"
"2006","AGO","0.7410263"
"2007","AGO","0.65285444"
"2008","AGO","0.6310721"
"2009","AGO","0.65792686"
"2010","AGO","0.6550323"
"2011","AGO","0.62073505"
"2012","AGO","0.5972638"
"2013","AGO","0.6368646"
"2014","AGO","0.6687135"
"2015","AGO","0.690939"
"2016","AGO","0.6471159"
"2017","AGO","0.6182102"
"2018","AGO","0.6476715"
"2019","AGO","0.7351163"
"2020","AGO","0.77413595"
"2021","AGO","0.6255134"
"1965","AGO",
"1966","AGO",
"1967","AGO",
"1968","AGO",
"1969","AGO",
"1970","AGO",
"1971","AGO",
"1972","AGO",
"1973","AGO",
"1974","AGO",
"1975","AGO",
"1976","AGO",
"1977","AGO",
"1978","AGO",
"1979","AGO",
"2022","AGO",
"1980","ARG","1.272025"
"1981","ARG","1.3092825"
"1982","ARG","1.3771126"
"1983","ARG","1.3850996"
"1984","ARG","1.3618884"
"1985","ARG","1.4412332"
"1986","ARG","1.4189498"
"1987","ARG","1.4456276"
"1988","ARG","1.4982162"
"1989","ARG","1.5403508"
"1990","ARG","1.51445"
"1991","ARG","1.386348"
"1992","ARG","1.3423002"
"1993","ARG","1.2991642"
"1994","ARG","1.2872208"
"1995","ARG","1.3609946"
"1996","ARG","1.3427049"
"1997","ARG","1.2506531"
"1998","ARG","1.2413738"
"1999","ARG","1.2931527"
"2000","ARG","1.3025198"
"2001","ARG","1.3256314"
"2002","ARG","1.421043"
"2003","ARG","1.3943546"
"2004","ARG","1.3534596"
"2005","ARG","1.3152099"
"2006","ARG","1.2732588"
"2007","ARG","1.2111584"
"2008","ARG","1.1740204"
"2009","ARG","1.2076578"
"2010","ARG","1.1249503"
"2011","ARG","1.0851673"
"2012","ARG","1.1381649"
"2013","ARG","1.1558256"
"2014","ARG","1.1837592"
"2015","ARG","1.1723788"
"2016","ARG","1.1918588"
"2017","ARG","1.157982"
"2018","ARG","1.1806428"
"2019","ARG","1.1350026"
"2020","ARG","1.1821312"
"2021","ARG","1.1887763"
"1965","ARG","1.4518319"
"1966","ARG","1.4886891"
"1967","ARG","1.4920429"
"1968","ARG","1.479559"
"1969","ARG","1.4086905"
"1970","ARG","1.2674432"
"1971","ARG","1.281436"
"1972","ARG","1.258241"
"1973","ARG","1.2391708"
"1974","ARG","1.2101389"
"1975","ARG","1.1922524"
"1976","ARG","1.2549356"
"1977","ARG","1.236031"
"1978","ARG","1.294788"
"1979","ARG","1.2972058"
"2022","ARG","1.1708463"
"1980","ARM",
"1981","ARM",
"1982","ARM",
"1983","ARM",
"1984","ARM",
"1985","ARM",
"1986","ARM",
"1987","ARM",
"1988","ARM",
"1989","ARM",
"1990","ARM",
"1991","ARM",
"1992","ARM","3.6606445"
"1993","ARM","3.3419414"
"1994","ARM","2.923462"
"1995","ARM","2.736497"
"1996","ARM","3.4352756"
"1997","ARM","2.8872142"
"1998","ARM","2.9774058"
"1999","ARM","1.8390989"
"2000","ARM","1.9267958"
"2001","ARM","1.7849029"
"2002","ARM","1.5357269"
"2003","ARM","1.5268388"
"2004","ARM","1.4781256"
"2005","ARM","1.5473711"
"2006","ARM","1.407334"
"2007","ARM","1.4317057"
"2008","ARM","1.3322529"
"2009","ARM","1.429718"
"2010","ARM","1.6065521"
"2011","ARM","1.6659027"
"2012","ARM","1.6477059"
"2013","ARM","1.5631516"
"2014","ARM","1.5378337"
"2015","ARM","1.3799502"
"2016","ARM","1.3870906"
"2017","ARM","1.3748894"
"2018","ARM","1.2852719"
"2019","ARM","1.269429"
"2020","ARM","1.4361628"
"2021","ARM","1.3991842"
"1965","ARM",
"1966","ARM",
"1967","ARM",
"1968","ARM",
"1969","ARM",
"1970","ARM",
"1971","ARM",
"1972","ARM",
"1973","ARM",
"1974","ARM",
"1975","ARM",
"1976","ARM",
"1977","ARM",
"1978","ARM",
"1979","ARM",
"2022","ARM",
"1980","AUS","2.5144622"
"1981","AUS","2.4597878"
"1982","AUS","2.4401834"
"1983","AUS","2.3566263"
"1984","AUS","2.2891157"
"1985","AUS","2.243109"
"1986","AUS","2.2409353"
"1987","AUS","2.1980314"
"1988","AUS","2.200097"
"1989","AUS","2.213772"
"1990","AUS","2.225766"
"1991","AUS","2.222634"
"1992","AUS","2.1774232"
"1993","AUS","2.1216865"
"1994","AUS","2.0937126"
"1995","AUS","2.1023993"
"1996","AUS","2.0671673"
"1997","AUS","2.0238454"
"1998","AUS","1.9631983"
"1999","AUS","1.9523054"
"2000","AUS","1.8860513"
"2001","AUS","1.84256"
"2002","AUS","1.7960202"
"2003","AUS","1.757196"
"2004","AUS","1.734326"
"2005","AUS","1.6788038"
"2006","AUS","1.6970971"
"2007","AUS","1.6528567"
"2008","AUS","1.6331831"
"2009","AUS","1.5673321"
"2010","AUS","1.5181693"
"2011","AUS","1.5220721"
"2012","AUS","1.4455318"
"2013","AUS","1.43231"
"2014","AUS","1.4062976"
"2015","AUS","1.4057293"
"2016","AUS","1.3733431"
"2017","AUS","1.3373901"
"2018","AUS","1.3198241"
"2019","AUS","1.33831"
"2020","AUS","1.2879443"
"2021","AUS","1.2281818"
"1965","AUS","2.3000114"
"1966","AUS","2.344724"
"1967","AUS","2.3292372"
"1968","AUS","2.3329544"
"1969","AUS","2.2900732"
"1970","AUS","2.349533"
"1971","AUS","2.3627217"
"1972","AUS","2.403107"
"1973","AUS","2.4370391"
"1974","AUS","2.529188"
"1975","AUS","2.5039525"
"1976","AUS","2.4906867"
"1977","AUS","2.5863757"
"1978","AUS","2.5940118"
"1979","AUS","2.5556076"
"2022","AUS","1.2357718"
"1980","AUT","1.9379461"
"1981","AUT","1.8833417"
"1982","AUT","1.7875646"
"1983","AUT","1.7340229"
"1984","AUT","1.710908"
"1985","AUT","1.7765783"
"1986","AUT","1.7392923"
"1987","AUT","1.8055722"
"1988","AUT","1.7245951"
"1989","AUT","1.6638564"
"1990","AUT","1.6115438"
"1991","AUT","1.6274318"
"1992","AUT","1.5626446"
"1993","AUT","1.5757648"
"1994","AUT","1.5232664"
"1995","AUT","1.5498009"
"1996","AUT","1.5093758"
"1997","AUT","1.5019897"
"1998","AUT","1.4677324"
"1999","AUT","1.4436294"
"2000","AUT","1.3958683"
"2001","AUT","1.4206675"
"2002","AUT","1.394104"
"2003","AUT","1.3931023"
"2004","AUT","1.3759654"
"2005","AUT","1.3660967"
"2006","AUT","1.3024777"
"2007","AUT","1.2250586"
"2008","AUT","1.2249007"
"2009","AUT","1.228697"
"2010","AUT","1.2400135"
"2011","AUT","1.1325521"
"2012","AUT","1.177314"
"2013","AUT","1.1675845"
"2014","AUT","1.1136386"
"2015","AUT","1.1025841"
"2016","AUT","1.1170509"
"2017","AUT","1.1170671"
"2018","AUT","1.0673732"
"2019","AUT","1.10476"
"2020","AUT","1.104109"
"2021","AUT","1.0626832"
"1965","AUT","2.114098"
"1966","AUT","2.0948138"
"1967","AUT","2.0537293"
"1968","AUT","2.1024177"
"1969","AUT","2.0490966"
"1970","AUT","2.1906374"
"1971","AUT","2.0753047"
"1972","AUT","2.0214088"
"1973","AUT","2.07218"
"1974","AUT","2.0037978"
"1975","AUT","1.9976834"
