"anio","tipo_energia","valor_en_twh","porcentaje"
1800,"Otras renovables","0","0"
1810,"Otras renovables","0","0"
1820,"Otras renovables","0","0"
1830,"Otras renovables","0","0"
1840,"Otras renovables","0","0"
1850,"Otras renovables","0","0"
1860,"Otras renovables","0","0"
1870,"Otras renovables","0","0"
1880,"Otras renovables","0","0"
1890,"Otras renovables","0","0"
1900,"Otras renovables","0","0"
1910,"Otras renovables","0","0"
1920,"Otras renovables","0","0"
1930,"Otras renovables","0","0"
1940,"Otras renovables","0","0"
1950,"Otras renovables","0","0"
1960,"Otras renovables","0","0"
1965,"Otras renovables","55.949085","0.106522269931056"
1966,"Otras renovables","61.737606","0.112349404564428"
1967,"Otras renovables","62.35338","0.109998886994036"
1968,"Otras renovables","69.03191","0.115867075188493"
1969,"Otras renovables","72.558716","0.115011580746435"
1970,"Otras renovables","80.33795","0.120610167386504"
1971,"Otras renovables","87.339066","0.126692902619299"
1972,"Otras renovables","93.40202","0.129270832213152"
1973,"Otras renovables","100.24631","0.132011426818197"
1974,"Otras renovables","106.87296","0.139970779206025"
1975,"Otras renovables","108.1472","0.14068635631016"
1976,"Otras renovables","120.57106","0.14974562566019"
1977,"Otras renovables","127.266624","0.153090613644929"
1978,"Otras renovables","135.02682","0.15690021027466"
1979,"Otras renovables","144.51552","0.163025608906827"
1980,"Otras renovables","153.78857","0.174753292348169"
1981,"Otras renovables","164.9076","0.187893481895708"
1982,"Otras renovables","191.2329","0.218573895860389"
1983,"Otras renovables","211.77058","0.238151982119844"
1984,"Otras renovables","236.32065","0.255315517415245"
1985,"Otras renovables","243.1773","0.25631195911812"
1986,"Otras renovables","263.69818","0.272243286977406"
1987,"Otras renovables","282.46243","0.282204814734894"
1988,"Otras renovables","290.88327","0.280958331273881"
1989,"Otras renovables","322.37277","0.3057326447824"
1990,"Otras renovables","361.2137","0.3386724706844"
1991,"Otras renovables","376.84134","0.350380998105895"
1992,"Otras renovables","404.81308","0.373954535167703"
1993,"Otras renovables","418.26727","0.383150592945912"
1994,"Otras renovables","434.6814","0.393218574037408"
1995,"Otras renovables","454.28992","0.402587928891764"
1996,"Otras renovables","466.36444","0.402400012447364"
1997,"Otras renovables","499.9769","0.427004833156462"
1998,"Otras renovables","520.5851","0.441769913367431"
1999,"Otras renovables","546.1845","0.455751451718344"
2000,"Otras renovables","571.59485","0.46521030671873"
2001,"Otras renovables","593.6476","0.478958315816406"
2002,"Otras renovables","639.16516","0.506151224767815"
2003,"Otras renovables","674.7164","0.518457420265772"
2004,"Otras renovables","729.3295","0.53670988451648"
2005,"Otras renovables","790.01874","0.564497165527713"
2006,"Otras renovables","841.3214","0.586361484168267"
2007,"Otras renovables","913.18494","0.619387290875052"
2008,"Otras renovables","976.65955","0.655653436484406"
2009,"Otras renovables","1049.248","0.71523639524591"
2010,"Otras renovables","1175.8253","0.767888213021223"
2011,"Otras renovables","1235.6885","0.790785313066169"
2012,"Otras renovables","1340.7991","0.847610281064273"
2013,"Otras renovables","1447.8152","0.901339913190883"
2014,"Otras renovables","1569.6025","0.968226957922806"
2015,"Otras renovables","1696.5197","1.03987508181171"
2016,"Otras renovables","1720.5377","1.04453068772902"
2017,"Otras renovables","1817.4558","1.0794861149979"
2018,"Otras renovables","1964.74","1.13812570943651"
2019,"Otras renovables","2063.5725","1.18285053229095"
2020,"Otras renovables","2181.6753","1.29262459721678"
2021,"Otras renovables","2351.194","1.32955983549994"
2022,"Otras renovables","2414.3037","1.34262845811933"
2023,"Otras renovables","2427.8613","1.32503431269494"
1800,"Biocombustibles","0","0"
1810,"Biocombustibles","0","0"
1820,"Biocombustibles","0","0"
1830,"Biocombustibles","0","0"
1840,"Biocombustibles","0","0"
1850,"Biocombustibles","0","0"
1860,"Biocombustibles","0","0"
1870,"Biocombustibles","0","0"
1880,"Biocombustibles","0","0"
1890,"Biocombustibles","0","0"
1900,"Biocombustibles","0","0"
1910,"Biocombustibles","0","0"
1920,"Biocombustibles","0","0"
1930,"Biocombustibles","0","0"
1940,"Biocombustibles","0","0"
1950,"Biocombustibles","0","0"
1960,"Biocombustibles","0","0"
1965,"Biocombustibles","9.029861","0.0171920826029937"
1966,"Biocombustibles","9.209844","0.0167599710544537"
1967,"Biocombustibles","9.383716","0.0165540074310026"
1968,"Biocombustibles","9.5538","0.0160356400820406"
1969,"Biocombustibles","9.723981","0.0154133161060664"
1970,"Biocombustibles","13.501494","0.0202695917845536"
