"region","tipo_energia","valor_en_mw","porcentaje"
"CABA y Provincia de Buenos Aires","Bioenergía","41.458","2.096636016341"
"CABA y Provincia de Buenos Aires","Eólica","1935.9","97.903363983659"
"CABA y Provincia de Buenos Aires","Fotovoltaica","0","0"
"CABA y Provincia de Buenos Aires","Hidro","0","0"
"Centro","Bioenergía","24.66","3.35345953002611"
"Centro","Eólica","413.3","56.2037641427328"
"Centro","Fotovoltaica","180.4","24.5322019147084"
"Centro","Hidro","117","15.9105744125326"
"Comahue","Bioenergía","2","0.646443751313089"
"Comahue","Eólica","253.185","81.8349305881022"
"Comahue","Fotovoltaica","10.3","3.32918531926241"
"Comahue","Hidro","43.9","14.1894403413223"
"Cuyo","Bioenergía","0","0"
"Cuyo","Eólica","0","0"
"Cuyo","Fotovoltaica","837.93","80.9343970946181"
"Cuyo","Hidro","197.39","19.0656029053819"
"Litoral","Bioenergía","11.815","100"
"Litoral","Eólica","0","0"
"Litoral","Fotovoltaica","0","0"
"Litoral","Hidro","0","0"
"Noreste Argentino","Bioenergía","107.7","27.4255156608098"
"Noreste Argentino","Eólica","0","0"
"Noreste Argentino","Fotovoltaica","285","72.5744843391902"
"Noreste Argentino","Hidro","0","0"
"Noroeste Argentino","Bioenergía","5","0.407109764934822"
"Noroeste Argentino","Eólica","250.45","20.3921281255852"
"Noroeste Argentino","Fotovoltaica","853.5","69.4936368743741"
"Noroeste Argentino","Hidro","119.22","9.70712523510589"
"Patagonia","Bioenergía","0","0"
"Patagonia","Eólica","1660.78","97.2592792138582"
"Patagonia","Fotovoltaica","0","0"
"Patagonia","Hidro","46.8","2.74072078614179"
"Total","Bioenergía","192.633","2.60396221089616"
"Total","Eólica","4513.615","61.0138600059911"
"Total","Fotovoltaica","2167.13","29.2946931527796"
"Total","Hidro","524.31","7.08748463033315"
