"anio","iso3","tipo_energia","valor_en_twh","porcentaje"
"1985","GBR","Otras renovables","0","0"
"1986","GBR","Otras renovables","0","0"
"1987","GBR","Otras renovables","0","0"
"1988","GBR","Otras renovables","0","0"
"1989","GBR","Otras renovables","0","0"
"1990","GBR","Otras renovables","0","0"
"1991","GBR","Otras renovables","0","0"
"1992","GBR","Otras renovables","0","0"
"1993","GBR","Otras renovables","0","0"
"1994","GBR","Otras renovables","0","0"
"1995","GBR","Otras renovables","0","0"
"1996","GBR","Otras renovables","0","0"
"1997","GBR","Otras renovables","0","0"
"1998","GBR","Otras renovables","0","0"
"1999","GBR","Otras renovables","0","0"
"2000","GBR","Otras renovables","0","0"
"2001","GBR","Otras renovables","0","0"
"2002","GBR","Otras renovables","0","0"
"2003","GBR","Otras renovables","0","0"
"2004","GBR","Otras renovables","0","0"
"2005","GBR","Otras renovables","0","0"
"2006","GBR","Otras renovables","0","0"
"2007","GBR","Otras renovables","0","0"
"2008","GBR","Otras renovables","0","0"
"2009","GBR","Otras renovables","0","0"
"2010","GBR","Otras renovables","0","0"
"2011","GBR","Otras renovables","0","0"
"2012","GBR","Otras renovables","0","0"
"2013","GBR","Otras renovables","0","0"
"2014","GBR","Otras renovables","0","0"
"2015","GBR","Otras renovables","0","0"
"2016","GBR","Otras renovables","0","0"
"2017","GBR","Otras renovables","0","0"
"2018","GBR","Otras renovables","0.01","0.00300543984612148"
"2019","GBR","Otras renovables","0.01","0.00308746796751984"
"2020","GBR","Otras renovables","0","0"
"2021","GBR","Otras renovables","0","0"
"2022","GBR","Otras renovables","0","0"
"2023","GBR","Otras renovables","0","0"
"1985","FRA","Otras renovables","0","0"
"1986","FRA","Otras renovables","0","0"
"1987","FRA","Otras renovables","0","0"
"1988","FRA","Otras renovables","0","0"
"1989","FRA","Otras renovables","0","0"
"1990","FRA","Otras renovables","0.5","0.120180751850784"
"1991","FRA","Otras renovables","0.52","0.115468312830306"
"1992","FRA","Otras renovables","0.52","0.113403410825664"
"1993","FRA","Otras renovables","0.49","0.104685196658619"
"1994","FRA","Otras renovables","0.5","0.105744014888757"
"1995","FRA","Otras renovables","0.51","0.104207106516009"
"1996","FRA","Otras renovables","0.49","0.0964965832332263"
"1997","FRA","Otras renovables","0.51","0.102140954517234"
"1998","FRA","Otras renovables","0.52","0.102781017136758"
