"geocodigoFundar","geonombreFundar","anio","categoria","porcentaje_pbi","porcentaje_total"
"ARG","Argentina","2024","Al volumen de negocios y otros impuestos generales sobre bienes y servicios","3.92622","14.21150"
"ARG","Argentina","2024","A las transacciones financieras y de capital","1.98781","7.19517"
"ARG","Argentina","2024","Otros impuestos al comercio exterior","1.11112","4.02185"
"ARG","Argentina","2024","A las exportaciones","1.03273","3.73810"
"ARG","Argentina","2024","Aranceles de aduanas","0.65444","2.36884"
"BRA","Brasil","2024","Al volumen de negocios y otros impuestos generales sobre bienes y servicios","5.10555","15.16013"
"BRA","Brasil","2024","A las transacciones financieras y de capital","0.78670","2.33599"
"BRA","Brasil","2024","Aranceles de aduanas","0.65982","1.95924"
"BRA","Brasil","2024","Otros impuestos al comercio exterior","0.14122","0.41932"
"BRA","Brasil","2024","A las exportaciones","0.00005","0.00015"
"BOL","Bolivia","2024","Al volumen de negocios y otros impuestos generales sobre bienes y servicios","1.87745","7.95361"
"BOL","Bolivia","2024","Aranceles de aduanas","1.27874","5.41724"
"BOL","Bolivia","2024","A las transacciones financieras y de capital","0.06429","0.27234"
"BOL","Bolivia","2024","A las exportaciones","0.00000","0.00000"
"BOL","Bolivia","2024","Otros impuestos al comercio exterior","0.00000","0.00000"
"ECU","Ecuador","2024","Otros impuestos al comercio exterior","1.02026","4.70290"
"ECU","Ecuador","2024","Aranceles de aduanas","0.89614","4.13078"
"ECU","Ecuador","2024","Al volumen de negocios y otros impuestos generales sobre bienes y servicios","0.07771","0.35819"
"ECU","Ecuador","2024","A las transacciones financieras y de capital","0.00020","0.00091"
"ECU","Ecuador","2024","A las exportaciones","0.00000","0.00000"
"LAC","América Latina y el Caribe","2024","Aranceles de aduanas","1.41530","6.51492"
"LAC","América Latina y el Caribe","2024","A las transacciones financieras y de capital","0.38010","1.67644"
"LAC","América Latina y el Caribe","2024","A las exportaciones","0.11140","0.51286"
"LAC","América Latina y el Caribe","2024","Al volumen de negocios y otros impuestos generales sobre bienes y servicios","0.00000","0.00000"
"LAC","América Latina y el Caribe","2024","Otros impuestos al comercio exterior","0.00000","0.00000"
"PRY","Paraguay","2024","Aranceles de aduanas","1.09755","6.96578"
"PRY","Paraguay","2024","A las transacciones financieras y de capital","0.01131","0.07177"
"PRY","Paraguay","2024","Al volumen de negocios y otros impuestos generales sobre bienes y servicios","0.00000","0.00000"
"PRY","Paraguay","2024","A las exportaciones","0.00000","0.00000"
"PRY","Paraguay","2024","Otros impuestos al comercio exterior","0.00000","0.00000"
"COL","Colombia","2024","A las transacciones financieras y de capital","0.82493","4.15248"
"COL","Colombia","2024","Aranceles de aduanas","0.35316","1.77774"
"COL","Colombia","2024","Al volumen de negocios y otros impuestos generales sobre bienes y servicios","0.00000","0.00000"
"COL","Colombia","2024","A las exportaciones","0.00000","0.00000"
"COL","Colombia","2024","Otros impuestos al comercio exterior","0.00000","0.00000"
"URY","Uruguay","2024","Aranceles de aduanas","1.09579","4.02111"
"URY","Uruguay","2024","A las transacciones financieras y de capital","0.15926","0.58443"
"URY","Uruguay","2024","A las exportaciones","0.03664","0.13444"
"URY","Uruguay","2024","Al volumen de negocios y otros impuestos generales sobre bienes y servicios","0.00000","0.00000"
"URY","Uruguay","2024","Otros impuestos al comercio exterior","0.00000","0.00000"
"MEX","México","2024","Aranceles de aduanas","0.41277","2.25803"
"MEX","México","2024","A las transacciones financieras y de capital","0.11318","0.61916"
"MEX","México","2024","A las exportaciones","0.00000","0.00001"
"MEX","México","2024","Al volumen de negocios y otros impuestos generales sobre bienes y servicios","0.00000","0.00000"
"MEX","México","2024","Otros impuestos al comercio exterior","0.00000","0.00000"
"CRI","Costa Rica","2024","Aranceles de aduanas","0.37407","1.50592"
"CRI","Costa Rica","2024","A las transacciones financieras y de capital","0.13076","0.52641"
"CRI","Costa Rica","2024","Al volumen de negocios y otros impuestos generales sobre bienes y servicios","0.05225","0.21034"
"CRI","Costa Rica","2024","A las exportaciones","0.01035","0.04167"
"CRI","Costa Rica","2024","Otros impuestos al comercio exterior","0.00736","0.02961"
"OECD","Países OCDE","2023","A las transacciones financieras y de capital","0.37415","1.18169"
"OECD","Países OCDE","2023","Aranceles de aduanas","0.21363","0.70748"
"OECD","Países OCDE","2023","Al volumen de negocios y otros impuestos generales sobre bienes y servicios","0.06903","0.19204"
"OECD","Países OCDE","2023","A las exportaciones","0.00060","0.00196"
"OECD","Países OCDE","2023","Otros impuestos al comercio exterior","0.00022","0.00090"
"CHL","Chile","2024","A las transacciones financieras y de capital","0.24883","1.21502"
"CHL","Chile","2024","Aranceles de aduanas","0.17271","0.84332"
"CHL","Chile","2024","Al volumen de negocios y otros impuestos generales sobre bienes y servicios","0.00000","0.00000"
"CHL","Chile","2024","A las exportaciones","0.00000","0.00000"
"CHL","Chile","2024","Otros impuestos al comercio exterior","0.00000","0.00000"
"PER","Perú","2024","A las transacciones financieras y de capital","0.11596","0.71292"
"PER","Perú","2024","Aranceles de aduanas","0.03453","0.21231"
"PER","Perú","2024","Al volumen de negocios y otros impuestos generales sobre bienes y servicios","0.00000","0.00000"
"PER","Perú","2024","A las exportaciones","0.00000","0.00000"
"PER","Perú","2024","Otros impuestos al comercio exterior","0.00000","0.00000"
