"decada","categoria","indicador","valor"
"1981-1990","Al ingreso","Porcentaje de la recaudación","7.49332"
"1981-1990","Seguridad social","Porcentaje de la recaudación","20.42188"
"1981-1990","A los bienes y servicios","Porcentaje de la recaudación","38.92680"
"1981-1990","Al comercio exterior","Porcentaje de la recaudación","12.22455"
"1981-1990","A la propiedad","Porcentaje de la recaudación","4.07090"
"1981-1990","Impuestos provinciales","Porcentaje de la recaudación","16.61232"
"1981-1990","Otros Impuestos","Porcentaje de la recaudación","2.02825"
"1991-2000","Al ingreso","Porcentaje de la recaudación","12.51104"
"1991-2000","Seguridad social","Porcentaje de la recaudación","21.33897"
"1991-2000","A los bienes y servicios","Porcentaje de la recaudación","43.01814"
"1991-2000","Al comercio exterior","Porcentaje de la recaudación","4.56925"
"1991-2000","A la propiedad","Porcentaje de la recaudación","0.87028"
"1991-2000","Impuestos provinciales","Porcentaje de la recaudación","17.50717"
"1991-2000","Otros Impuestos","Porcentaje de la recaudación","1.37859"
"2001-2010","Al ingreso","Porcentaje de la recaudación","18.03669"
"2001-2010","Seguridad social","Porcentaje de la recaudación","15.38117"
"2001-2010","A los bienes y servicios","Porcentaje de la recaudación","39.48921"
"2001-2010","Al comercio exterior","Porcentaje de la recaudación","10.93627"
"2001-2010","A la propiedad","Porcentaje de la recaudación","1.27051"
"2001-2010","Impuestos provinciales","Porcentaje de la recaudación","15.43833"
"2001-2010","Otros Impuestos","Porcentaje de la recaudación","0.57076"
"2011-2020","Al ingreso","Porcentaje de la recaudación","18.05113"
"2011-2020","Seguridad social","Porcentaje de la recaudación","21.58648"
"2011-2020","A los bienes y servicios","Porcentaje de la recaudación","34.71780"
"2011-2020","Al comercio exterior","Porcentaje de la recaudación","7.56177"
"2011-2020","A la propiedad","Porcentaje de la recaudación","0.98625"
"2011-2020","Impuestos provinciales","Porcentaje de la recaudación","16.72017"
"2011-2020","Otros Impuestos","Porcentaje de la recaudación","0.95894"
"2021-2025","Al ingreso","Porcentaje de la recaudación","17.19040"
"2021-2025","Seguridad social","Porcentaje de la recaudación","18.64506"
"2021-2025","A los bienes y servicios","Porcentaje de la recaudación","35.67935"
"2021-2025","Al comercio exterior","Porcentaje de la recaudación","9.26375"
"2021-2025","A la propiedad","Porcentaje de la recaudación","1.62297"
"2021-2025","Impuestos provinciales","Porcentaje de la recaudación","17.69089"
"2021-2025","Otros Impuestos","Porcentaje de la recaudación","0.30888"
