"geocodigoFundar","geonombreFundar","categoria","indicador","valor"
"BRA","Brasil","Ingreso bruto","Coeficiente de Gini","0.57600"
"BRA","Brasil","Ingreso disponible","Coeficiente de Gini","0.56800"
"BRA","Brasil","Ingreso consumible","Coeficiente de Gini","0.57900"
"HND","Honduras","Ingreso bruto","Coeficiente de Gini","0.55000"
"HND","Honduras","Ingreso disponible","Coeficiente de Gini","0.53600"
"HND","Honduras","Ingreso consumible","Coeficiente de Gini","0.54300"
"MEX","México","Ingreso bruto","Coeficiente de Gini","0.53200"
"MEX","México","Ingreso disponible","Coeficiente de Gini","0.52000"
"MEX","México","Ingreso consumible","Coeficiente de Gini","0.52200"
"COL","Colombia","Ingreso bruto","Coeficiente de Gini","0.53100"
"COL","Colombia","Ingreso disponible","Coeficiente de Gini","0.51900"
"COL","Colombia","Ingreso consumible","Coeficiente de Gini","0.52200"
"DOM","Rep. Dominicana","Ingreso bruto","Coeficiente de Gini","0.52400"
"DOM","Rep. Dominicana","Ingreso disponible","Coeficiente de Gini","0.51800"
"DOM","Rep. Dominicana","Ingreso consumible","Coeficiente de Gini","0.53500"
"CHL","Chile","Ingreso bruto","Coeficiente de Gini","0.51000"
"CHL","Chile","Ingreso disponible","Coeficiente de Gini","0.49600"
"CHL","Chile","Ingreso consumible","Coeficiente de Gini","0.51800"
"ARG","Argentina","Ingreso bruto","Coeficiente de Gini","0.48400"
"ARG","Argentina","Ingreso disponible","Coeficiente de Gini","0.47100"
"ARG","Argentina","Ingreso consumible","Coeficiente de Gini","0.49300"
"PER","Perú","Ingreso bruto","Coeficiente de Gini","0.44900"
"PER","Perú","Ingreso disponible","Coeficiente de Gini","0.43200"
"PER","Perú","Ingreso consumible","Coeficiente de Gini","0.43700"
"URY","Uruguay","Ingreso bruto","Coeficiente de Gini","0.42100"
"URY","Uruguay","Ingreso disponible","Coeficiente de Gini","0.39800"
"URY","Uruguay","Ingreso consumible","Coeficiente de Gini","0.42100"
"BOL","Bolivia","Ingreso bruto","Coeficiente de Gini","0.41400"
"BOL","Bolivia","Ingreso disponible","Coeficiente de Gini","0.41100"
"BOL","Bolivia","Ingreso consumible","Coeficiente de Gini","0.41600"
