"geocodigoFundar","geonombreFundar","anio","sector_institucional","indicador","valor"
"CHL","Chile","2024","Gobierno nacional","Porcentaje del total","86.89834"
"CHL","Chile","2024","Gobierno provincial o regional","Porcentaje del total","0.00000"
"CHL","Chile","2024","Gobierno municipal local","Porcentaje del total","8.37036"
"CHL","Chile","2024","Fondos de seguridad social","Porcentaje del total","4.73130"
"PER","Perú","2024","Gobierno nacional","Porcentaje del total","86.27204"
"PER","Perú","2024","Gobierno provincial o regional","Porcentaje del total","0.00000"
"PER","Perú","2024","Gobierno municipal local","Porcentaje del total","2.48822"
"PER","Perú","2024","Fondos de seguridad social","Porcentaje del total","11.23975"
"MEX","México","2024","Gobierno nacional","Porcentaje del total","80.12104"
"MEX","México","2024","Gobierno provincial o regional","Porcentaje del total","4.53204"
"MEX","México","2024","Gobierno municipal local","Porcentaje del total","1.59800"
"MEX","México","2024","Fondos de seguridad social","Porcentaje del total","13.74892"
"ECU","Ecuador","2024","Gobierno nacional","Porcentaje del total","74.73893"
"ECU","Ecuador","2024","Gobierno provincial o regional","Porcentaje del total","0.00000"
"ECU","Ecuador","2024","Gobierno municipal local","Porcentaje del total","2.84970"
"ECU","Ecuador","2024","Fondos de seguridad social","Porcentaje del total","22.41137"
"COL","Colombia","2024","Gobierno nacional","Porcentaje del total","74.15688"
"COL","Colombia","2024","Gobierno provincial o regional","Porcentaje del total","4.62331"
"COL","Colombia","2024","Gobierno municipal local","Porcentaje del total","12.67618"
"COL","Colombia","2024","Fondos de seguridad social","Porcentaje del total","8.54364"
"PRY","Paraguay","2024","Gobierno nacional","Porcentaje del total","72.69053"
"PRY","Paraguay","2024","Gobierno provincial o regional","Porcentaje del total","0.00000"
"PRY","Paraguay","2024","Gobierno municipal local","Porcentaje del total","2.33830"
"PRY","Paraguay","2024","Fondos de seguridad social","Porcentaje del total","24.97117"
"BOL","Bolivia","2024","Gobierno nacional","Porcentaje del total","70.79223"
"BOL","Bolivia","2024","Gobierno provincial o regional","Porcentaje del total","0.00000"
"BOL","Bolivia","2024","Gobierno municipal local","Porcentaje del total","4.60733"
"BOL","Bolivia","2024","Fondos de seguridad social","Porcentaje del total","24.60044"
"URY","Uruguay","2024","Gobierno nacional","Porcentaje del total","66.98979"
"URY","Uruguay","2024","Gobierno provincial o regional","Porcentaje del total","0.00000"
"URY","Uruguay","2024","Gobierno municipal local","Porcentaje del total","5.87330"
"URY","Uruguay","2024","Fondos de seguridad social","Porcentaje del total","27.13691"
"ARG","Argentina","2024","Gobierno nacional","Porcentaje del total","64.00932"
"ARG","Argentina","2024","Gobierno provincial o regional","Porcentaje del total","17.38719"
"ARG","Argentina","2024","Gobierno municipal local","Porcentaje del total","0.00000"
"ARG","Argentina","2024","Fondos de seguridad social","Porcentaje del total","18.60349"
"CRI","Costa Rica","2024","Gobierno nacional","Porcentaje del total","59.61140"
"CRI","Costa Rica","2024","Gobierno provincial o regional","Porcentaje del total","0.00000"
"CRI","Costa Rica","2024","Gobierno municipal local","Porcentaje del total","2.79707"
"CRI","Costa Rica","2024","Fondos de seguridad social","Porcentaje del total","37.59154"
"BRA","Brasil","2024","Gobierno nacional","Porcentaje del total","46.65665"
"BRA","Brasil","2024","Gobierno provincial o regional","Porcentaje del total","22.97619"
"BRA","Brasil","2024","Gobierno municipal local","Porcentaje del total","6.35402"
"BRA","Brasil","2024","Fondos de seguridad social","Porcentaje del total","24.01314"
