"geocodigoFundar","geonombreFundar","anio","indicador","valor"
"AR-B","Buenos Aires","2022","PBG per cápita","11287.52055"
"AR-C","CABA","2022","PBG per cápita","38128.27995"
"AR-K","Catamarca","2022","PBG per cápita","8793.23495"
"AR-H","Chaco","2022","PBG per cápita","8179.26440"
"AR-U","Chubut","2022","PBG per cápita","19254.11924"
"AR-W","Corrientes","2022","PBG per cápita","6473.47282"
"AR-X","Córdoba","2022","PBG per cápita","13178.54122"
"AR-E","Entre Ríos","2022","PBG per cápita","11611.17046"
"AR-P","Formosa","2022","PBG per cápita","5811.10636"
"AR-Y","Jujuy","2022","PBG per cápita","8208.55600"
"AR-L","La Pampa","2022","PBG per cápita","17243.25769"
"AR-F","La Rioja","2022","PBG per cápita","8733.79846"
"AR-M","Mendoza","2022","PBG per cápita","9774.83146"
"AR-N","Misiones","2022","PBG per cápita","6122.82366"
"AR-Q","Neuquén","2022","PBG per cápita","29953.72971"
"AR-R","Río Negro","2022","PBG per cápita","10973.30348"
"AR-A","Salta","2022","PBG per cápita","7575.66303"
"AR-J","San Juan","2022","PBG per cápita","9396.98134"
"AR-D","San Luis","2022","PBG per cápita","11826.04279"
"AR-Z","Santa Cruz","2022","PBG per cápita","24987.17936"
"AR-S","Santa Fe","2022","PBG per cápita","13151.40227"
"AR-G","Santiago del Estero","2022","PBG per cápita","10484.42326"
"AR-V","Tierra del Fuego","2022","PBG per cápita","32618.54023"
"AR-T","Tucumán","2022","PBG per cápita","6760.98982"
"AR-B","Buenos Aires","2022","Recursos propios","48.93478"
"AR-C","CABA","2022","Recursos propios","87.83524"
"AR-K","Catamarca","2022","Recursos propios","11.70529"
"AR-H","Chaco","2022","Recursos propios","13.77023"
"AR-U","Chubut","2022","Recursos propios","35.27715"
"AR-W","Corrientes","2022","Recursos propios","13.00883"
"AR-X","Córdoba","2022","Recursos propios","36.39290"
"AR-E","Entre Ríos","2022","Recursos propios","24.73230"
"AR-P","Formosa","2022","Recursos propios","7.83187"
"AR-Y","Jujuy","2022","Recursos propios","13.80048"
"AR-L","La Pampa","2022","Recursos propios","28.29989"
"AR-F","La Rioja","2022","Recursos propios","9.79957"
"AR-M","Mendoza","2022","Recursos propios","35.37765"
"AR-N","Misiones","2022","Recursos propios","36.56001"
"AR-Q","Neuquén","2022","Recursos propios","53.36714"
"AR-R","Río Negro","2022","Recursos propios","25.33577"
"AR-A","Salta","2022","Recursos propios","23.94667"
"AR-J","San Juan","2022","Recursos propios","13.93550"
"AR-D","San Luis","2022","Recursos propios","21.75153"
"AR-Z","Santa Cruz","2022","Recursos propios","28.75845"
"AR-S","Santa Fe","2022","Recursos propios","33.56716"
"AR-G","Santiago del Estero","2022","Recursos propios","10.49865"
"AR-V","Tierra del Fuego","2022","Recursos propios","27.79442"
"AR-T","Tucumán","2022","Recursos propios","26.12507"
