"geocodigoFundar","geonombreFundar","anio","categoria","indicador","porcentaje_pbi","porcentaje_total"
"ALB","Albania","2015","A los bienes y servicios","Ingreso no percibido (Revenue Forgone)","0.51469","2.81284"
"ALB","Albania","2015","Otros","Ingreso no percibido (Revenue Forgone)","0.00040","0.00217"
"ALB","Albania","2016","A los bienes y servicios","Ingreso no percibido (Revenue Forgone)","0.66087","3.80175"
"ALB","Albania","2016","Al ingreso","Ingreso no percibido (Revenue Forgone)","0.04805","0.27643"
"ALB","Albania","2017","A los bienes y servicios","Ingreso no percibido (Revenue Forgone)","1.14652","6.14249"
"ALB","Albania","2017","Al ingreso","Ingreso no percibido (Revenue Forgone)","0.06379","0.34178"
"ALB","Albania","2018","A los bienes y servicios","Ingreso no percibido (Revenue Forgone)","5.35350","29.20966"
"ALB","Albania","2018","Al ingreso","Ingreso no percibido (Revenue Forgone)","0.15192","0.82890"
"ALB","Albania","2019","A los bienes y servicios","Ingreso no percibido (Revenue Forgone)","4.78238","26.67108"
"ALB","Albania","2019","Al ingreso","Ingreso no percibido (Revenue Forgone)","0.14925","0.83237"
"ALB","Albania","2020","A los bienes y servicios","Ingreso no percibido (Revenue Forgone)","5.08899","30.12025"
"ALB","Albania","2020","Al ingreso","Ingreso no percibido (Revenue Forgone)","0.15273","0.90395"
"ALB","Albania","2021","A los bienes y servicios","Ingreso no percibido (Revenue Forgone)","4.17772","23.08612"
"ALB","Albania","2021","Al ingreso","Ingreso no percibido (Revenue Forgone)","0.69741","3.85387"
"ALB","Albania","2022","A los bienes y servicios","Ingreso no percibido (Revenue Forgone)","3.96743","22.11193"
"ALB","Albania","2022","Al ingreso","Ingreso no percibido (Revenue Forgone)","0.76305","4.25277"
"DEU","Alemania","1990","A los bienes y servicios","Ingreso no percibido (Revenue Forgone)","0.37496","3.44457"
"DEU","Alemania","1990","Al ingreso","Ingreso no percibido (Revenue Forgone)","0.79007","7.25794"
"DEU","Alemania","1990","Otros","Ingreso no percibido (Revenue Forgone)","0.04681","0.43006"
"DEU","Alemania","1991","A los bienes y servicios","Ingreso no percibido (Revenue Forgone)","0.36160","3.22726"
"DEU","Alemania","1991","Al ingreso","Ingreso no percibido (Revenue Forgone)","0.76456","6.82355"
"DEU","Alemania","1991","Otros","Ingreso no percibido (Revenue Forgone)","0.05489","0.48988"
"DEU","Alemania","1992","A los bienes y servicios","Ingreso no percibido (Revenue Forgone)","0.34535","2.99071"
"DEU","Alemania","1992","Al ingreso","Ingreso no percibido (Revenue Forgone)","0.70795","6.13070"
"DEU","Alemania","1992","Otros","Ingreso no percibido (Revenue Forgone)","0.06749","0.58444"
"DEU","Alemania","1993","A los bienes y servicios","Ingreso no percibido (Revenue Forgone)","0.36777","3.28344"
"DEU","Alemania","1993","Al ingreso","Ingreso no percibido (Revenue Forgone)","0.84654","7.55792"
"DEU","Alemania","1993","Otros","Ingreso no percibido (Revenue Forgone)","0.09913","0.88499"
"DEU","Alemania","1994","A los bienes y servicios","Ingreso no percibido (Revenue Forgone)","0.36206","3.16697"
"DEU","Alemania","1994","Al ingreso","Ingreso no percibido (Revenue Forgone)","0.80380","7.03080"
"DEU","Alemania","1994","Otros","Ingreso no percibido (Revenue Forgone)","0.11355","0.99319"
"DEU","Alemania","1995","A los bienes y servicios","Ingreso no percibido (Revenue Forgone)","0.33849","2.97408"
"DEU","Alemania","1995","Al ingreso","Ingreso no percibido (Revenue Forgone)","0.84404","7.41594"
"DEU","Alemania","1995","Otros","Ingreso no percibido (Revenue Forgone)","0.12529","1.10078"
"DEU","Alemania","1996","A los bienes y servicios","Ingreso no percibido (Revenue Forgone)","0.30571","2.89435"
"DEU","Alemania","1996","Al ingreso","Ingreso no percibido (Revenue Forgone)","0.83887","7.94215"
"DEU","Alemania","1996","Otros","Ingreso no percibido (Revenue Forgone)","0.12819","1.21362"
"DEU","Alemania","1997","A los bienes y servicios","Ingreso no percibido (Revenue Forgone)","0.30025","2.91363"
