"geocodigoFundar","geonombreFundar","anio","indicador","valor"
"AFG","Afganistán","2018","Paying Taxes score","42.20000"
"ALB","Albania","2018","Paying Taxes score","65.20000"
"DEU","Alemania","2018","Paying Taxes score","82.20000"
"LCN","América Latina y el Caribe","2018","Paying Taxes score","60.50000"
"AGO","Angola","2018","Paying Taxes score","69.50000"
"ATG","Antigua y Barbuda","2018","Paying Taxes score","58.90000"
"SAU","Arabia Saudita","2018","Paying Taxes score","80.50000"
"DZA","Argelia","2018","Paying Taxes score","53.90000"
"ARG","Argentina","2018","Paying Taxes score","49.30000"
"ARM","Armenia","2018","Paying Taxes score","81.50000"
"F5303","Asia del Sur","2018","Paying Taxes score","60.20000"
"APA","Asia y el Pacífico","2018","Paying Taxes score","73.60000"
"AUS","Australia","2018","Paying Taxes score","85.70000"
"AUT","Austria","2018","Paying Taxes score","83.50000"
"AZE","Azerbaiyán","2018","Paying Taxes score","84.00000"
"BHS","Bahamas","2018","Paying Taxes score","81.70000"
"BHR","Bahrein","2018","Paying Taxes score","100.00000"
"BGD","Bangladesh","2018","Paying Taxes score","56.10000"
"BRB","Barbados","2018","Paying Taxes score","72.30000"
"BLR","Belarús","2018","Paying Taxes score","71.20000"
"BLZ","Belice","2018","Paying Taxes score","79.90000"
"BEN","Benin","2018","Paying Taxes score","49.30000"
"BTN","Bhután","2018","Paying Taxes score","89.20000"
"BOL","Bolivia","2018","Paying Taxes score","21.60000"
"BIH","Bosnia y Herzegovina","2018","Paying Taxes score","60.40000"
"BWA","Botswana","2018","Paying Taxes score","80.00000"
"BRA","Brasil","2018","Paying Taxes score","34.40000"
"BRN","Brunei","2018","Paying Taxes score","74.00000"
"BGR","Bulgaria","2018","Paying Taxes score","72.30000"
"BFA","Burkina Faso","2018","Paying Taxes score","55.90000"
"BDI","Burundi","2018","Paying Taxes score","60.90000"
"BEL","Bélgica","2018","Paying Taxes score","78.40000"
"CPV","Cabo Verde","2018","Paying Taxes score","74.80000"
"KHM","Camboya","2018","Paying Taxes score","61.30000"
"CMR","Camerún","2018","Paying Taxes score","36.30000"
"CAN","Canadá","2018","Paying Taxes score","88.10000"
"TCD","Chad","2018","Paying Taxes score","17.90000"
"CZE","Chequia","2018","Paying Taxes score","81.40000"
"CHL","Chile","2018","Paying Taxes score","75.30000"
"CHN","China","2018","Paying Taxes score","70.10000"
"CYP","Chipre","2018","Paying Taxes score","85.50000"
"COL","Colombia","2018","Paying Taxes score","58.60000"
"COM","Comoras","2018","Paying Taxes score","49.90000"
"COG","Congo","2018","Paying Taxes score","26.80000"
"KOR","Corea del Sur","2018","Paying Taxes score","87.40000"
"CRI","Costa Rica","2018","Paying Taxes score","78.00000"
"CIV","Costa de Marfil","2018","Paying Taxes score","68.00000"
"HRV","Croacia","2018","Paying Taxes score","81.80000"
"DNK","Dinamarca","2018","Paying Taxes score","91.10000"
"DJI","Djibouti","2018","Paying Taxes score","62.70000"
"DMA","Dominica","2018","Paying Taxes score","75.60000"
"ECU","Ecuador","2018","Paying Taxes score","58.60000"
"EGY","Egipto","2018","Paying Taxes score","55.10000"
"SLV","El Salvador","2018","Paying Taxes score","77.50000"
"ARE","Emiratos Árabes Unidos","2018","Paying Taxes score","85.30000"
"ERI","Eritrea","2018","Paying Taxes score","55.90000"
"SVK","Eslovaquia","2018","Paying Taxes score","80.60000"
"SVN","Eslovenia","2018","Paying Taxes score","83.30000"
"ESP","España","2018","Paying Taxes score","84.70000"
"USA","Estados Unidos","2018","Paying Taxes score","86.80000"
"EST","Estonia","2018","Paying Taxes score","89.90000"
