"anio","flujo","valor"
"1976","expo_turistica","180000000"
"1976","impo_turistica","115000000"
"1976","balanza","65000000"
"1977","expo_turistica","212000000"
"1977","impo_turistica","188000000"
"1977","balanza","24000000"
"1978","expo_turistica","279000000"
"1978","impo_turistica","587000000"
"1978","balanza","-308000000"
"1979","expo_turistica","267000000"
"1979","impo_turistica","1265000000"
"1979","balanza","-998000000"
"1980","expo_turistica","344000000"
"1980","impo_turistica","1792000000"
"1980","balanza","-1448000000"
"1981","expo_turistica","413000000"
"1981","impo_turistica","1471000000"
"1981","balanza","-1058000000"
"1982","expo_turistica","610000000"
"1982","impo_turistica","565000000"
"1982","balanza","45000000"
"1983","expo_turistica","453000000"
"1983","impo_turistica","507000000"
"1983","balanza","-54000000"
"1984","expo_turistica","440000000"
"1984","impo_turistica","600000000"
"1984","balanza","-160000000"
"1985","expo_turistica","523000000"
"1985","impo_turistica","671000000"
"1985","balanza","-148000000"
"1986","expo_turistica","562000000"
"1986","impo_turistica","888000000"
"1986","balanza","-326000000"
"1987","expo_turistica","615000000"
"1987","impo_turistica","890000000"
"1987","balanza","-275000000"
"1988","expo_turistica","634000000"
"1988","impo_turistica","975000000"
"1988","balanza","-341000000"
"1989","expo_turistica","790000000"
"1989","impo_turistica","1014000000"
"1989","balanza","-224000000"
"1990","expo_turistica","903000000"
"1990","impo_turistica","1171000000"
"1990","balanza","-268000000"
"1991","expo_turistica","782000000"
"1991","impo_turistica","1739000000"
"1991","balanza","-957000000"
"1992","expo_turistica","1478900000"
"1992","impo_turistica","2700900000"
"1992","balanza","-1222000000"
"1993","expo_turistica","1695600000"
"1993","impo_turistica","3213400000"
"1993","balanza","-1517800000"
"1994","expo_turistica","1933000000"
"1994","impo_turistica","3398100000"
"1994","balanza","-1465100000"
"1995","expo_turistica","2222000000"
"1995","impo_turistica","3277900000"
"1995","balanza","-1055900000"
"1996","expo_turistica","2620600000"
"1996","impo_turistica","3583900000"
"1996","balanza","-963300000"
"1997","expo_turistica","2777500000"
"1997","impo_turistica","3962400000"
"1997","balanza","-1184900000"
"1998","expo_turistica","3024800000"
"1998","impo_turistica","4230200000"
"1998","balanza","-1205400000"
"1999","expo_turistica","2897900000"
"1999","impo_turistica","4194700000"
"1999","balanza","-1296800000"
"2000","expo_turistica","2903700000"
"2000","impo_turistica","4425000000"
"2000","balanza","-1521300000"
"2001","expo_turistica","2641800000"
"2001","impo_turistica","3893000000"
"2001","balanza","-1251200000"
"2002","expo_turistica","1535110000"
"2002","impo_turistica","2327590000"
"2002","balanza","-792480000"
"2003","expo_turistica","2005480000"
"2003","impo_turistica","2511220000"
"2003","balanza","-505740000"
"2004","expo_turistica","2234770000"
"2004","impo_turistica","2604070000"
"2004","balanza","-369300000"
"2005","expo_turistica","2729100000"
"2005","impo_turistica","2789700000"
"2005","balanza","-60600000"
"2006","expo_turistica","3351272644.11116"
"2006","impo_turistica","3107585001.90213"
"2006","balanza","243687642.20903"
"2007","expo_turistica","4325191391.9352"
"2007","impo_turistica","3935244958.39579"
"2007","balanza","389946433.53941"
"2008","expo_turistica","4664069619.98559"
"2008","impo_turistica","4586010899.70902"
"2008","balanza","78058720.2765703"
"2009","expo_turistica","3988854964.44718"
"2009","impo_turistica","4536354347.66973"
"2009","balanza","-547499383.22255"
"2010","expo_turistica","4989210424.10833"
"2010","impo_turistica","4950672672.56975"
"2010","balanza","38537751.5385799"
"2011","expo_turistica","5430952856.39422"
"2011","impo_turistica","5666691704.62542"
"2011","balanza","-235738848.231199"
"2012","expo_turistica","5013728806.3777"
"2012","impo_turistica","6117434911.48508"
"2012","balanza","-1103706105.10738"
"2013","expo_turistica","4524642219.33038"
"2013","impo_turistica","5932290215.8716"
"2013","balanza","-1407647996.54122"
"2014","expo_turistica","4960045051.11692"
"2014","impo_turistica","5982892704.9039"
"2014","balanza","-1022847653.78698"
"2015","expo_turistica","4926954792.94362"
"2015","impo_turistica","6981652450.43629"
"2015","balanza","-2054697657.49267"
"2016","expo_turistica","4966910642.60252"
"2016","impo_turistica","9679476060.91668"
"2016","balanza","-4712565418.31416"
"2017","expo_turistica","5369617695.92281"
"2017","impo_turistica","11378356757.9698"
"2017","balanza","-6008739062.04699"
"2018","expo_turistica","5562807828.32514"
"2018","impo_turistica","10669893784.129"
"2018","balanza","-5107085955.80386"
"2019","expo_turistica","5240662736.77672"
"2019","impo_turistica","7850155232.27907"
"2019","balanza","-2609492495.50235"
"2020","expo_turistica","1727467524.49954"
"2020","impo_turistica","2889516278.84919"
"2020","balanza","-1162048754.34965"
"2021","expo_turistica","394199529.154335"
"2021","impo_turistica","1356901555.02634"
"2021","balanza","-962702025.872005"
"2022","expo_turistica","3473519648.00575"
"2022","impo_turistica","5566291579.47847"
"2022","balanza","-2092771931.47272"
"2023","expo_turistica","5486319784.79593"
"2023","impo_turistica","7305897029.49083"
"2023","balanza","-1819577244.6949"
"2024","expo_turistica","4959480767.20387"
"2024","impo_turistica","7804571194.24071"
"2024","balanza","-2845090427.03684"
