"anio","rama_etq","fem_tasa","joven_tasa","inform_tasa"
"2016","Agencias de viaje","44.4829657130378","28.7972264686613","26.5606916740418"
"2016","Alojamiento","56.5722932345797","28.0425808678108","21.2533945519191"
"2016","Arte, recreación y cultura","46.1322981692283","30.801727604959","47.6504108774278"
"2016","Gastronomía","49.1362906740653","45.9380680549797","53.264597848205"
"2016","Resto de actividades","24.7052180109442","23.8514594565524","15.348909900758"
"2016","Transporte de pasajeros","13.106653473659","19.2208129691264","44.4990610566919"
"2017","Agencias de viaje","44.9425101214575","46.3222672064777","19.1398542262312"
"2017","Alojamiento","50.9439512931365","36.0658463584968","25.8419326453884"
"2017","Arte, recreación y cultura","43.8216288208889","33.9280135488433","51.7006802721088"
"2017","Gastronomía","50.5046265585625","42.6850934648415","53.6212162293514"
"2017","Resto de actividades","22.7863819806147","29.9955158497465","12.35367811142"
"2017","Transporte de pasajeros","12.5221063557884","18.7173959023926","41.5165494018124"
"2018","Agencias de viaje","48.9743676108997","44.080299100677","22.5927595012769"
"2018","Alojamiento","64.0574966199388","30.5030954244645","29.1727632571965"
"2018","Arte, recreación y cultura","38.8834252594185","34.4175002337104","51.7277642689321"
"2018","Gastronomía","48.5322878091584","48.0450333883609","55.1950562093222"
"2018","Resto de actividades","23.0698167499621","39.8621838558231","21.5626496408619"
"2018","Transporte de pasajeros","10.2018729185444","18.4570519802755","40.0148441365661"
"2019","Agencias de viaje","32.4051848295727","25.7732665797956","64.6698195831144"
"2019","Alojamiento","59.0561601599347","27.2057891846992","22.0414648910412"
"2019","Arte, recreación y cultura","41.4529887121601","33.8901359671626","51.1115804108426"
"2019","Gastronomía","48.4348985662771","46.6535945649515","53.0616809175088"
"2019","Resto de actividades","22.0771094389269","30.9769441814944","13.9011434230665"
"2019","Transporte de pasajeros","8.86960709219611","20.5678572487904","41.7252318432356"
"2020","Agencias de viaje","59.504842236801","42.1508903467666","14.5460435733377"
"2020","Alojamiento","45.7326434298061","27.0711320862","3.19353597537514"
"2020","Arte, recreación y cultura","45.2646463149575","23.0691809918988","29.3680737824439"
"2020","Gastronomía","49.2522558069957","45.3548370312236","54.7840527360626"
"2020","Resto de actividades","22.8664794653267","45.9037391004483","11.9083670306571"
"2020","Transporte de pasajeros","8.78346489781933","12.4560643577692","40.0264852066935"
"2021","Agencias de viaje","31.9357951056925","13.9943864573283","35.7690935046395"
"2021","Alojamiento","47.6370775487309","11.9363598118331","15.0485503375926"
"2021","Arte, recreación y cultura","40.3929449323032","40.7315389317139","43.8537149985307"
"2021","Gastronomía","51.0245919364744","43.3894573857984","62.1345197626703"
"2021","Resto de actividades","28.1276337774098","45.3549407815942","16.1016949152542"
"2021","Transporte de pasajeros","13.0231805444027","14.0695416332082","44.6077234378215"
"2022","Agencias de viaje","54.4676722236923","31.0987621651819","42.073544433095"
"2022","Alojamiento","47.7817734086423","26.540543709813","31.4779984705372"
"2022","Arte, recreación y cultura","37.1046819722163","38.2071464975367","57.8910019322069"
"2022","Gastronomía","47.602434779264","49.8639331493466","60.0513461141222"
"2022","Resto de actividades","35.3527670761752","36.3250053737661","27.3328790704347"
"2022","Transporte de pasajeros","9.44623096025543","13.5538949223533","33.9861315954578"
"2023","Agencias de viaje","50.9662007143026","28.3261193500319","34.7290765708471"
"2023","Alojamiento","44.9223891435574","25.243952253438","22.2538177988415"
"2023","Arte, recreación y cultura","36.9395042348761","39.1744147936037","66.3708620199668"
"2023","Gastronomía","56.3223305791964","53.9692676938356","64.2763186593783"
"2023","Resto de actividades","34.5596315872102","31.5987231147627","10.7901539844892"
"2023","Transporte de pasajeros","11.6408544279063","11.7714974820505","35.042735042735"
"2024","Agencias de viaje","57.9138730444645","48.760799226125","21.4489534059789"
"2024","Alojamiento","56.2077027193306","38.105491981461","21.506167132441"
"2024","Arte, recreación y cultura","44.1874471141251","41.0279960130449","59.0251050741558"
"2024","Gastronomía","46.0743462599078","48.1453599859538","59.7798387537443"
"2024","Resto de actividades","24.2331459732481","30.2975784733319","9.78701889654301"
"2024","Transporte de pasajeros","15.6576113718208","17.4852819323236","41.7233788796071"
"2016","Media turismo","35.0601179696905","31.1674369833801","44.2308320322119"
"2017","Media turismo","34.7490855503803","31.8529211637288","44.6314619437006"
"2018","Media turismo","32.2411012917527","33.4660380494929","45.2040317421162"
"2019","Media turismo","31.5737567605298","32.5659551719058","45.1287452962656"
"2020","Media turismo","31.8790738066028","29.0019189271805","38.2185727953273"
"2021","Media turismo","33.7859840624376","30.0831328083179","45.8107579222876"
"2022","Media turismo","33.7145159394987","34.0037939196562","48.2374912998426"
"2023","Media turismo","39.1856758930359","36.832199629745","50.3467091965225"
"2024","Media turismo","37.7600409787877","37.7131116784433","48.292829722168"
"2016","Media total","42.3029347744502","26.7299782331307","35.6502685684638"
"2017","Media total","41.5094102856636","26.3456474054457","36.1411109355845"
"2018","Media total","43.0102916287926","25.8571772167819","36.2443439211903"
"2019","Media total","42.7257301421996","26.024139289811","37.0400748177929"
"2020","Media total","42.5102844238585","25.149023464496","31.7130004751876"
"2021","Media total","42.702249967492","24.9535668714112","36.3122138464083"
"2022","Media total","42.5187884520289","25.4501447475661","39.3190918340935"
"2023","Media total","43.6384783812961","25.8948323871132","37.9958798498073"
"2024","Media total","43.3304266453949","25.0916107399352","37.9158402120988"
