"anio","geocodigoFundar","geonombreFundar","pernoctes","share"
"2024","AR-B","Buenos Aires","6988105","19.5945222973228"
"2024","AR-C","CABA","8955903","25.1121929373071"
"2024","AR-K","Catamarca","103123","0.289155060329921"
"2024","AR-H","Chaco","232049","0.650661274347118"
"2024","AR-U","Chubut","245906","0.689516056219171"
"2024","AR-W","Corrientes","166032","0.465550778940658"
"2024","AR-X","Córdoba","3389445","9.50394357669918"
"2024","AR-E","Entre Ríos","393204","1.10253703191302"
"2024","AR-P","Formosa","92649","0.259786150369043"
"2024","AR-Y","Jujuy","198024","0.555255778698954"
"2024","AR-L","La Pampa","179206","0.502490440944152"
"2024","AR-F","La Rioja","75162","0.210752912973028"
"2024","AR-M","Mendoza","2087654","5.85374473510275"
"2024","AR-N","Misiones","1847291","5.17977115242885"
"2024","AR-Q","Neuquén","1236135","3.46610058377789"
"2024","AR-R","Río Negro","3334935","9.35109850490545"
"2024","AR-A","Salta","1160090","3.2528717544887"
"2024","AR-J","San Juan","188294","0.527973031523153"
"2024","AR-D","San Luis","542689","1.52169031676139"
"2024","AR-Z","Santa Cruz","1048468","2.93988564911796"
"2024","AR-S","Santa Fe","1016582","2.85047787147689"
"2024","AR-G","Santiago del Estero","949559","2.662546569939"
"2024","AR-V","Tierra del Fuego","894085","2.50699845926784"
"2024","AR-T","Tucumán","338974","0.950477075145939"
