"anio","region","expo_turisticas"
1976,"Américas","9.11311445684183"
1976,"Asia","3.73445221760307"
1976,"Europa","20.3867556374999"
1976,"Oceanía","0.0123368331315176"
1976,"África","1.60192040375713"
1977,"Américas","10.2958807456661"
1977,"Asia","5.07360441129449"
1977,"Europa","27.9363229559295"
1977,"Oceanía","0.012818400215796"
1977,"África","2.71360580035778"
1978,"Américas","12.0376474171575"
1978,"Asia","6.14705260940742"
1978,"Europa","35.8054430261158"
1978,"Oceanía","0.0125025724017546"
1978,"África","3.04741583573564"
1979,"Américas","18.4122591684347"
1979,"Asia","7.18668221410067"
1979,"Europa","41.9889151559516"
1979,"Oceanía","0.140634577315807"
1979,"África","3.38706947186349"
1980,"Américas","20.5648437562119"
1980,"Asia","9.24991086825659"
1980,"Europa","48.981777926676"
1980,"Oceanía","0.155789504665408"
1980,"África","4.14051520608823"
1981,"Américas","25.7151842311766"
1981,"Asia","10.3831833714414"
1981,"Europa","44.6973806998968"
1981,"Oceanía","0.169404158144661"
1981,"África","4.06725424848703"
1982,"Américas","24.9281139995494"
1982,"Asia","9.51106965299953"
1982,"Europa","44.8395050415642"
1982,"Oceanía","0.200991316350694"
1982,"África","3.73039857264815"
1983,"Américas","23.632927444802"
1983,"Asia","10.1325189005179"
1983,"Europa","45.717406754215"
1983,"Oceanía","0.184284345498602"
1983,"África","3.78122466233581"
1984,"Américas","31.3908042521019"
1984,"Asia","9.99640763501497"
1984,"Europa","46.9719293428882"
1984,"Oceanía","0.199110964197795"
1984,"África","3.57177451411986"
1985,"Américas","32.5462583756708"
1985,"Asia","11.2473745444843"
1985,"Europa","50.411062523165"
1985,"Oceanía","0.190459922735731"
1985,"África","3.48427181914694"
1986,"Américas","38.9809739153878"
1986,"Asia","12.8458524312086"
1986,"Europa","64.7354909180597"
1986,"Oceanía","0.208799566360843"
1986,"África","3.82380110895514"
1987,"Américas","43.2595944257037"
1987,"Asia","16.3808436025265"
1987,"Europa","81.7625834879394"
1987,"Oceanía","0.172996378086405"
1987,"África","5.03585293307577"
1988,"Américas","50.8446501031518"
1988,"Asia","20.6172044870338"
1988,"Europa","89.0116517848388"
1988,"Oceanía","0.198967938559479"
1988,"África","6.23482748698091"
1989,"Américas","61.4634332979332"
1989,"Asia","23.2144307265315"
1989,"Europa","91.6699608445112"
1989,"Oceanía","3.86104258681698"
1989,"África","6.05527409126688"
1990,"Américas","71.8473238450491"
1990,"Asia","27.313098407701"
1990,"Europa","114.37391175155"
1990,"Oceanía","4.54566669269079"
1990,"África","7.16165391339068"
1991,"Américas","78.7996092395249"
1991,"Asia","27.8760111204496"
1991,"Europa","118.020590859246"
1991,"Oceanía","4.92031581295267"
1991,"África","6.94084648442605"
1992,"Américas","87.4613463328802"
1992,"Asia","34.7416300951971"
1992,"Europa","137.704754734787"
1992,"Oceanía","5.0976735700726"
1992,"África","8.50049506530383"
1993,"Américas","93.0702162291791"
1993,"Asia","39.2382020011007"
1993,"Europa","132.446815139667"
1993,"Oceanía","5.70293244499095"
1993,"África","8.27464847509319"
1994,"Américas","96.2814367203397"
1994,"Asia","46.1980729087058"
1994,"Europa","148.042020735251"
1994,"Oceanía","7.22572244616272"
1994,"África","8.99095618847484"
1995,"Américas","103.625494194044"
1995,"Asia","55.7164518616376"
1995,"Europa","174.877468946237"
1995,"Oceanía","8.54176487637479"
1995,"África","10.3219221573772"
1996,"Américas","113.580478352542"
1996,"Asia","64.6656176729362"
1996,"Europa","184.975489997418"
1996,"Oceanía","9.93961129959467"
1996,"África","11.958605539428"
1997,"Américas","120.107535231008"
1997,"Asia","66.388078480049"
1997,"Europa","181.442601873224"
1997,"Oceanía","9.87955475597509"
1997,"África","12.6596032060984"
1998,"Américas","120.947120514677"
1998,"Asia","67.4233402313429"
1998,"Europa","188.878320330199"
1998,"Oceanía","8.49932705694428"
1998,"África","12.2605515334656"
1999,"Américas","126.236095190825"
1999,"Asia","71.4733287120868"
1999,"Europa","204.942732332163"
1999,"Oceanía","9.64060173190243"
1999,"África","14.1014524482385"
2000,"Américas","137.295323865514"
2000,"Asia","78.8672436283924"
2000,"Europa","200.024641813238"
2000,"Oceanía","12.5431636457585"
2000,"África","13.8985178251684"
