"anio","indicador","impo_turisticas"
"1976","Viajes","115"
"1977","Viajes","188"
"1978","Viajes","587"
"1979","Viajes","1265"
"1980","Viajes","1792"
"1981","Viajes","1471"
"1982","Viajes","565"
"1983","Viajes","507"
"1984","Viajes","600"
"1985","Viajes","671"
"1986","Viajes","888"
"1987","Viajes","890"
"1988","Viajes","975"
"1989","Viajes","1014"
"1990","Viajes","1171"
"1991","Viajes","1739"
"1992","Viajes","2700.9"
"1993","Viajes","3213.4"
"1994","Viajes","3398.1"
"1995","Viajes","3277.9"
"1996","Viajes","3583.9"
"1997","Viajes","3962.4"
"1998","Viajes","4230.2"
"1999","Viajes","4194.7"
"2000","Viajes","4425"
"2001","Viajes","3893"
"2002","Viajes","2327.59"
"2003","Viajes","2511.22"
"2004","Viajes","2604.07"
"2005","Viajes","2789.7"
"2006","Viajes","3107.58500190213"
"2007","Viajes","3935.24495839579"
"2008","Viajes","4586.01089970902"
"2009","Viajes","4536.35434766973"
"2010","Viajes","4950.67267256975"
"2011","Viajes","5666.69170462542"
"2012","Viajes","6117.43491148508"
"2013","Viajes","5932.2902158716"
"2014","Viajes","5982.8927049039"
"2015","Viajes","6981.65245043629"
"2016","Viajes","9679.47606091668"
"2017","Viajes","11378.3567579698"
"2018","Viajes","10669.893784129"
"2019","Viajes","7850.15523227907"
"2020","Viajes","2889.51627884919"
"2021","Viajes","1356.90155502634"
"2022","Viajes","5566.29157947847"
"2023","Viajes","7305.89702949083"
"2024","Viajes","7804.57119424071"
"2006","Viajes y transporte","4046.95312625185"
"2007","Viajes y transporte","5077.03999752138"
"2008","Viajes y transporte","5986.67240239892"
"2009","Viajes y transporte","5808.05889691858"
"2010","Viajes y transporte","6447.66373952403"
"2011","Viajes y transporte","7601.59877057187"
"2012","Viajes y transporte","8466.84055057024"
"2013","Viajes y transporte","8420.86894636796"
"2014","Viajes y transporte","7836.94919752595"
"2015","Viajes y transporte","9347.51091720909"
"2016","Viajes y transporte","12273.6167807626"
"2017","Viajes y transporte","14180.0979871875"
"2018","Viajes y transporte","13083.4305506609"
"2019","Viajes y transporte","9845.61443449871"
"2020","Viajes y transporte","3295.57465317988"
"2021","Viajes y transporte","1866.45008634627"
"2022","Viajes y transporte","7400.16233376802"
"2023","Viajes y transporte","9350.79017139243"
"2024","Viajes y transporte","9841.2268716834"
