"geocodigoFundar","geonombreFundar","ratio_emisivo_ponderado"
"ABW","Aruba","16.7892726904426"
"AFG","Afganistán","1.48702021499427"
"AGO","Angola","3.96317464348398"
"AIA","Anguila","3.51713207362813"
"ALB","Albania","22.0767551605508"
"AND","Andorra","9.69358280160029"
"ARE","Emiratos Árabes Unidos","6.3757737252616"
"ARG","Argentina","9.04265360124204"
"ARM","Armenia","13.6687261197719"
"ATG","Antigua y Barbuda","6.96383484804291"
"AUS","Australia","8.69324109808249"
"AUT","Austria","4.47664073298159"
"AZE","Azerbaiyán","7.85821611491338"
"BDI","Burundi","2.24010497415269"
"BEL","Bélgica","3.97562837043716"
"BEN","Benin","1.3787381945325"
"BFA","Burkina Faso","1.87797590393158"
"BGD","Bangladesh","1.36002861082298"
"BGR","Bulgaria","3.33663212253393"
"BHR","Bahrein","6.15374052893161"
"BHS","Bahamas","4.86210089803047"
"BIH","Bosnia y Herzegovina","2.27842417038299"
"BLR","Belarús","1.35138381111846"
"BLZ","Belice","4.034870354352"
"BMU","Bermuda","11.6672719000688"
"BOL","Bolivia","5.98025226616106"
"BRA","Brasil","5.04664759329465"
"BRB","Barbados","2.34307362371629"
"BRN","Brunei","5.22069618170774"
"BTN","Bhután","5.26110202425205"
"BWA","Botswana","2.18661294198259"
"CAN","Canadá","4.80208551267552"
"CHE","Suiza","3.57174607710758"
"CHL","Chile","2.27989123314128"
"CHN","China","7.60128485607837"
"CIV","Costa de Marfil","2.29953016750615"
"CMR","Camerún","7.17523458019546"
"COD","Rep. Dem. Congo","0.663560901948674"
"COG","Congo","1.88676768662168"
"COL","Colombia","6.13284185217017"
"COM","Comoras","11.1559426993941"
"CPV","Cabo Verde","5.77131672446182"
"CRI","Costa Rica","4.58288846438883"
"CUW","Curazao","13.1303732815494"
"CYM","Islas Caimán","7.92378290841192"
"CYP","Chipre","5.80065137138377"
"CZE","Chequia","3.05114077177967"
"DEU","Alemania","5.56206963658112"
"DJI","Djibouti","0.505359195647728"
"DMA","Dominica","5.57108076783589"
"DNK","Dinamarca","4.61826003280807"
"DOM","Rep. Dominicana","2.63219933779824"
"DZA","Argelia","0.961794479062745"
"ECU","Ecuador","3.84093789317294"
"EGY","Egipto","4.44887652121533"
"ESP","España","4.72829546863829"
"EST","Estonia","4.63739186332484"
"ETH","Etiopía","2.3729515019338"
"FIN","Finlandia","4.20330228492191"
"FJI","Fiji","4.45298712373006"
"FRA","Francia","5.04314988456554"
"GBR","Reino Unido","7.90581162680538"
"GEO","Georgia","3.39939112158761"
"GHA","Ghana","2.33248583135349"
"GIN","Guinea","0.0749545186759796"
"GMB","Gambia","1.06194222835881"
"GNB","Guinea-Bissau","14.1448620527557"
"GRC","Grecia","2.34649721308898"
"GRD","Granada","2.75486217776621"
"GTM","Guatemala","3.23848817605369"
"GUY","Guyana","1.4130888592226"
"HKG","Hong Kong","2.82327920499662"
"HND","Honduras","2.95063159991846"
"HRV","Croacia","4.22961976206877"
"HTI","Haití","1.34759599755234"
"HUN","Hungría","1.87678896650269"
"IDN","Indonesia","3.63695729234948"
"IND","India","3.23175283724252"
"IRL","Irlanda","1.60824406946551"
"IRQ","Iraq","13.5758227626664"
"ISL","Islandia","12.2844487896026"
"ISR","Israel","5.79828047195724"
"ITA","Italia","4.2476231595645"
"JAM","Jamaica","3.20149829503849"
"JOR","Jordania","5.45215646344271"
"JPN","Japón","1.43835999481118"
"KAZ","Kazajstán","4.73671359667214"
"KEN","Kenia","1.73620076228408"
"KGZ","Kirguistán","4.37721849528799"
"KHM","Camboya","2.29802992114015"
"KIR","Kiribati","5.77103985520758"
"KNA","Saint Kitts y Nevis","6.25042881105112"
"KOR","Corea del Sur","4.01853051708398"
"KWT","Kuwait","21.3940093932708"
"LAO","Laos","8.77726984560624"
"LBN","Líbano","16.1707975512927"
"LBR","Liberia","0.527313875072374"
"LBY","Libia","9.24892506482211"
"LCA","Santa Lucía","4.79789967586649"
"LKA","Sri Lanka","4.29735807757287"
"LSO","Lesotho","14.1216242807111"
"LTU","Lituania","2.69157484039798"
"LUX","Luxemburgo","2.79133814293581"
"LVA","Letonia","3.65690031003934"
"MAC","Macao","7.09781253399819"
"MAR","Marruecos","3.19511252046433"
"MDA","Moldavia","5.16822082314047"
"MDG","Madagascar","3.12276047410729"
"MDV","Maldivas","7.70457020460364"
"MEX","México","1.57622939545675"
"MHL","Islas Marshall","9.41971764036576"
"MKD","Macedonia del Norte","2.64860376710896"
"MLI","Malí","2.33541406133349"
"MLT","Malta","2.37532589681382"
"MMR","Myanmar","0.596400584373544"
"MNE","Montenegro","1.60347661014501"
"MNG","Mongolia","8.7966516084058"
"MOZ","Mozambique","1.44796947882563"
"MRT","Mauritania","0.660497975098434"
"MSR","Montserrat","11.3531680760567"
"MUS","Mauricio","6.49581529457702"
"MWI","Malawi","3.76241784494693"
"MYS","Malasia","4.13315758271883"
"NAM","Namibia","1.21484087814329"
"NCL","Nueva Caledonia","4.54446468878944"
"NER","Níger","2.57129509781366"
"NGA","Nigeria","8.632455363629"
"NIC","Nicaragua","1.94817423400689"
"NLD","Países Bajos","2.67407705976005"
"NOR","Noruega","8.47381016328939"
"NPL","Nepal","6.07826300694917"
"NRU","Nauru","9.47559506797417"
"NZL","Nueva Zelanda","5.81628822292021"
"OMN","Omán","5.50776954787652"
"PAK","Pakistán","2.71623566755168"
"PAN","Panamá","3.73088524659319"
"PER","Perú","4.14333996781549"
"PHL","Filipinas","6.69710866938333"
"PLW","Palau","9.35162102222725"
"PNG","Papúa Nueva Guinea","1.60293671567448"
"POL","Polonia","2.57368340128625"
"PRT","Portugal","4.78081637863457"
"PRY","Paraguay","4.37354354577868"
"PYF","Polinesia Francesa","8.11526137197203"
"QAT","Qatar","16.3328562964482"
"ROU","Rumania","4.87471539794047"
"RUS","Rusia","7.80290472633848"
"RWA","Ruanda","7.00184418341989"
"SAU","Arabia Saudita","7.11368121953679"
"SDN","Sudán","0.455397546137316"
"SEN","Senegal","1.43370054053728"
"SGP","Singapur","3.42116482177936"
"SLB","Islas Salomón","6.7717619113908"
"SLE","Sierra Leona","1.97170803631122"
"SLV","El Salvador","3.71766459798636"
"SMR","San Marino","6.84716172299195"
"SRB","Serbia","5.72367140194"
"SSD","Sudán del Sur","1.04617123710074"
"STP","Santo Tomé y Príncipe","7.40047997043059"
"SUR","Suriname","4.26933461896168"
"SVK","Eslovaquia","2.14154807074341"
"SVN","Eslovenia","3.95923179145316"
"SWE","Suecia","4.81343377253935"
"SWZ","Eswatini","1.98555726171827"
"SXM","San Martín (parte holandesa)","5.45880286049496"
"SYC","Seychelles","2.89572061083393"
"TCA","Islas Turcas y Caicos","0.872502999440208"
"TGO","Togo","1.60883890782217"
"THA","Tailandia","3.38947870269366"
"TJK","Tayikistán","0.204615609706033"
"TLS","Timor-Leste","7.95704940304965"
"TON","Tonga","10.6079194086746"
"TTO","Trinidad y Tobago","2.36133032217948"
"TUN","Túnez","3.62770010741131"
"TUR","Turquía","1.64765482144545"
"TUV","Tuvalu","14.7636649734861"
"TZA","Tanzanía","4.44658316556315"
"UGA","Uganda","2.55231165602469"
"UKR","Ucrania","13.3443968931396"
"URY","Uruguay","6.35648309573735"
"USA","Estados Unidos","3.43652376581868"
"UZB","Uzbekistán","8.21676870414392"
"VCT","San Vicente y las Granadinas","4.73524569020162"
"VEN","Venezuela","7.02053467648198"
"VUT","Vanuatu","16.7158616387802"
"WBG","Cisjordania y Gaza","9.96881507482635"
"WSM","Samoa","0.966457057641295"
"YEM","Yemen","0.592062164061122"
"ZAF","Sudáfrica","2.27197884151325"
"ZMB","Zambia","3.09336255227847"
"ZWE","Zimbabwe","3.1414487091306"
